구,도보점수,parking_score,인구점수_500m,인구점수_1000m,인구점수_2000m,구평균_500m,구최고_500m,rank_평균_500m,rank_최고_500m,구평균_1000m,구최고_1000m,rank_평균_1000m,rank_최고_1000m,구평균_2000m,구최고_2000m,rank_평균_2000m,rank_최고_2000m
강남구,60.265,0.0,,14.478,33.701,45.3727,55.3063,24,23,39.94655,48.9882,25,24,42.8992,56.4522,24,21
강동구,72.1855,0.0,,24.383499999999998,55.064499999999995,52.525000000000006,54.9091,19,24,48.188,49.6316,19,23,54.3242,56.6778,16,20
강북구,73.5095,49.336,,,23.1995,63.1866,66.7393,10,12,58.6524,62.2051,11,12,58.6128,60.6584,13,14
강서구,75.71733333333333,37.666666666666664,,45.991,100.0,62.17743333333333,77.4773,14,2,59.149466666666655,72.94309999999999,10,5,64.63333333333333,75.76799999999999,6,3
관악구,72.185,64.98,,,,65.5207,69.3459,7,8,60.9865,64.8117,9,9,63.811400000000006,67.6366,9,7
광진구,74.172,45.58,98.25,37.4185,62.875,68.05105,97.882,3,1,61.1029,83.532,8,1,66.1942,88.7418,2,1
구로구,66.556,34.42,,,34.403499999999994,56.0313,57.511300000000006,18,21,51.4971,52.9771,18,22,53.6983,55.608200000000004,18,22
금천구,60.596,14.52,,,29.244999999999997,48.475300000000004,48.7963,23,26,43.94109999999999,44.2621,23,26,45.1106,46.663199999999996,23,26
노원구,49.006499999999996,31.7,,,7.995,44.9576,67.3867,25,10,40.423399999999994,62.85249999999999,24,10,40.2956,59.772000000000006,25,18
도봉구,87.417,36.396,,,31.064500000000002,68.94309999999999,71.14689999999999,2,6,64.40889999999999,66.61269999999999,5,8,65.94229999999999,71.22619999999999,3,5
동대문구,79.47,14.4,78.901,86.282,52.3325,63.058949999999996,73.3958,11,5,61.529949999999985,74.87199999999999,7,3,61.028499999999994,74.37719999999999,10,4
동작구,82.7815,56.16,,22.472,17.052,70.1146,75.6667,1,3,65.48785,71.1325,2,6,64.3113,68.6484,7,6
마포구,88.7415,12.14,,10.7405,47.795,64.88659999999999,65.23989999999999,8,16,57.821,60.322399999999995,13,17,65.2319,66.3474,4,10
서대문구,88.07900000000001,38.376,20.223,22.779,17.4115,67.15174999999999,67.5642,5,9,65.14025,68.07539999999999,3,7,64.00489999999999,67.3514,8,8
서초구,64.238,5.0,,35.488,68.339,48.7565,57.2929,22,22,45.431349999999995,55.1768,21,21,50.1289,61.747,20,11
성동구,75.16550000000001,18.22,70.6705,80.048,37.027,62.877399999999994,73.7778,12,4,64.7529,73.7778,4,4,56.1487,61.4902,15,12
성북구,81.4565,23.616,,4.087,26.593,62.8108,66.7393,13,12,56.34555,62.2051,15,12,58.9157,60.6584,12,14
송파구,68.543,66.48,,10.002,52.2595,63.63550000000001,65.8721,9,15,56.422200000000004,60.3732,14,15,64.8737,66.485,5,9
양천구,69.2055,15.0,75.234,40.2555,47.147499999999994,56.653549999999996,64.75559999999999,17,17,52.5744,60.339999999999996,17,16,53.952799999999996,53.9794,17,23
영등포구,83.11250000000001,10.0,,16.58,6.2175,61.0812,61.6907,15,18,55.86525,55.9375,16,20,53.111000000000004,53.745000000000005,19,24
용산,60.927,21.92,,17.07,40.771,50.1539,50.1539,21,25,44.3542,44.3542,22,25,49.0944,49.0944,21,25
용산구,84.768,0.0,50.796,36.771,33.308,61.019999999999996,61.019999999999996,16,19,58.214999999999996,58.214999999999996,12,19,57.5224,57.5224,14,19
은평구,88.4105,23.616,,,14.1565,66.9832,67.2271,6,11,62.449,62.69289999999999,6,11,60.60079999999999,60.6584,11,14
종로구,62.91366666666667,29.464,19.85,19.7545,22.167333333333332,51.1068,66.7393,20,12,47.83476666666667,62.2051,20,12,48.074466666666666,60.6584,22,14
중구,44.0395,25.1,27.006,15.264499999999998,23.881,38.751149999999996,60.248599999999996,26,20,34.4966,59.6506,26,18,36.219899999999996,61.14139999999999,26,13
중랑구,91.72200000000001,39.48,0.0,27.680500000000002,57.797,67.53604999999999,70.1706,4,7,68.4653,77.1332,1,2,74.48859999999999,79.637,1,2
