구,구평균_500m_500,rank_평균_500m_500,구최고_500m_500,rank_최고_500m_500,구평균_1000m_1000,rank_평균_1000m_1000,구최고_1000m_1000,rank_최고_1000m_1000,구평균_2000m_2000,rank_평균_2000m_2000,구최고_2000m_2000,rank_최고_2000m_2000
중랑구,67.53604999999999,4.0,70.1706,7.0,68.4653,1.0,77.1332,2.0,74.48859999999999,1.0,79.637,2.0
동작구,70.1146,1.0,75.6667,3.0,65.48785,2.0,71.1325,6.0,64.3113,7.0,68.6484,6.0
서대문구,67.15174999999999,5.0,67.5642,9.0,65.14025,3.0,68.07539999999999,7.0,64.00489999999999,8.0,67.3514,8.0
성동구,62.877399999999994,12.0,73.7778,4.0,64.7529,4.0,73.7778,4.0,56.1487,14.0,61.4902,12.0
도봉구,68.94309999999999,2.0,71.14689999999999,6.0,64.40889999999999,5.0,66.61269999999999,8.0,65.94229999999999,3.0,71.22619999999999,5.0
은평구,66.9832,6.0,67.2271,11.0,62.449,6.0,62.69289999999999,11.0,60.60079999999999,11.0,60.6584,14.0
동대문구,63.058949999999996,11.0,73.3958,5.0,61.529949999999985,7.0,74.87199999999999,3.0,61.028499999999994,10.0,74.37719999999999,4.0
광진구,68.05105,3.0,97.882,1.0,61.1029,8.0,83.532,1.0,66.1942,2.0,88.7418,1.0
관악구,65.5207,7.0,69.3459,8.0,60.9865,9.0,64.8117,9.0,63.811400000000006,9.0,67.6366,7.0
강서구,62.17743333333333,14.0,77.4773,2.0,59.149466666666655,10.0,72.94309999999999,5.0,64.63333333333333,6.0,75.76799999999999,3.0
강북구,63.1866,10.0,66.7393,12.0,58.6524,11.0,62.2051,12.0,58.6128,13.0,60.6584,14.0
마포구,64.88659999999999,8.0,65.23989999999999,16.0,57.821,12.0,60.322399999999995,17.0,65.2319,4.0,66.3474,10.0
송파구,63.63550000000001,9.0,65.8721,15.0,56.422200000000004,13.0,60.3732,15.0,64.8737,5.0,66.485,9.0
성북구,62.8108,13.0,66.7393,12.0,56.34555,14.0,62.2051,12.0,58.9157,12.0,60.6584,14.0
영등포구,61.0812,15.0,61.6907,18.0,55.86525,15.0,55.9375,20.0,53.111000000000004,19.0,53.745000000000005,24.0
양천구,56.653549999999996,16.0,64.75559999999999,17.0,52.5744,16.0,60.339999999999996,16.0,53.952799999999996,16.0,53.9794,23.0
구로구,56.0313,17.0,57.511300000000006,21.0,51.4971,17.0,52.9771,22.0,53.6983,17.0,55.608200000000004,22.0
용산구,55.58695,18.0,61.019999999999996,19.0,51.2846,18.0,58.214999999999996,19.0,53.3084,18.0,57.5224,19.0
강동구,52.525000000000006,19.0,54.9091,24.0,48.188,19.0,49.6316,23.0,54.3242,15.0,56.6778,20.0
종로구,51.1068,20.0,66.7393,12.0,47.83476666666667,20.0,62.2051,12.0,48.074466666666666,21.0,60.6584,14.0
서초구,48.7565,21.0,57.2929,22.0,45.431349999999995,21.0,55.1768,21.0,50.1289,20.0,61.747,11.0
금천구,48.475300000000004,22.0,48.7963,25.0,43.94109999999999,22.0,44.2621,25.0,45.1106,22.0,46.663199999999996,25.0
노원구,44.9576,24.0,67.3867,10.0,40.423399999999994,23.0,62.85249999999999,10.0,40.2956,24.0,59.772000000000006,18.0
강남구,45.3727,23.0,55.3063,23.0,39.94655,24.0,48.9882,24.0,42.8992,23.0,56.4522,21.0
중구,38.751149999999996,25.0,60.248599999999996,20.0,34.4966,25.0,59.6506,18.0,36.219899999999996,25.0,61.14139999999999,13.0
