구,구평균_500m,구최고_500m,rank_평균_500m,rank_최고_500m,반경,구평균_1000m,구최고_1000m,rank_평균_1000m,rank_최고_1000m,구평균_2000m,구최고_2000m,rank_평균_2000m,rank_최고_2000m,구평균_500m_norm100,구최고_500m_norm100,구평균_1000m_norm100,구최고_1000m_norm100,구평균_2000m_norm100,구최고_2000m_norm100
동작구,70.1146,75.6667,1.0,3.0,500,,,,,,,,,88.64,82.24,,,,
도봉구,68.94309999999999,71.14689999999999,2.0,6.0,500,,,,,,,,,86.16,68.13,,,,
광진구,68.05105,97.882,3.0,1.0,500,,,,,,,,,83.99,97.96,,,,
중랑구,67.53604999999999,70.1706,4.0,7.0,500,,,,,,,,,82.63,64.49,,,,
서대문구,67.15174999999999,67.5642,5.0,9.0,500,,,,,,,,,81.55,54.13,,,,
은평구,66.9832,67.2271,6.0,11.0,500,,,,,,,,,81.07,52.76,,,,
관악구,65.5207,69.3459,7.0,8.0,500,,,,,,,,,76.47,61.3,,,,
마포구,64.88659999999999,65.23989999999999,8.0,16.0,500,,,,,,,,,74.28,44.61,,,,
송파구,63.63550000000001,65.8721,9.0,15.0,500,,,,,,,,,69.62,47.19,,,,
강북구,63.1866,66.7393,10.0,12.0,500,,,,,,,,,67.86,50.75,,,,
동대문구,63.058949999999996,73.3958,11.0,5.0,500,,,,,,,,,67.34,75.78,,,,
성동구,62.877399999999994,73.7778,12.0,4.0,500,,,,,,,,,66.61,76.96,,,,
성북구,62.8108,66.7393,13.0,12.0,500,,,,,,,,,66.34,50.75,,,,
강서구,62.17743333333333,77.4773,14.0,2.0,500,,,,,,,,,63.72,86.42,,,,
영등포구,61.0812,61.6907,15.0,18.0,500,,,,,,,,,59.03,30.88,,,,
양천구,56.653549999999996,64.75559999999999,16.0,17.0,500,,,,,,,,,39.39,42.65,,,,
구로구,56.0313,57.511300000000006,17.0,21.0,500,,,,,,,,,36.74,17.93,,,,
용산구,55.58695,61.019999999999996,18.0,19.0,500,,,,,,,,,34.89,28.52,,,,
