공원명,도보점수,parking_score,구_list,인구점수_500m,인구점수_1000m,인구점수_2000m,총점_500m,총점_1000m,총점_2000m,한강_종합점수,rank
강서한강공원,0.0,30.08,[],,,,6.016,11.577100000000002,12.2168,9.936633333333333,11
광나루한강공원,53.425,67.56,[],,,40.437,45.567,51.1281,53.6544,50.1165,9
난지한강공원,49.315,76.72,[],,43.009,77.791,44.933,53.5348,60.4912,52.986333333333334,8
뚝섬한강공원,68.493,78.96000000000001,[],,,19.247,56.8878,62.4489,60.7372,60.024633333333334,4
망원한강공원,60.274,49.28,[],,,17.868,46.0204,51.581500000000005,49.594,49.0653,10
반포한강공원,60.274,92.75999999999999,[],,15.399,44.235,54.7164,57.7962,63.5634,58.692,6
양화한강공원,100.0,64.03999999999999,[],,,32.704,72.80799999999999,78.3691,79.34880000000001,76.84196666666666,1
여의도한강공원,86.301,100.0,[],,,26.318,71.78059999999999,77.3417,77.0442,75.38883333333332,2
이촌한강공원,64.384,66.84,[],,,29.304,51.998400000000004,57.55950000000001,57.8592,55.8057,7
잠실한강공원,69.863,67.48,[],,23.736,57.034,55.4138,60.161,66.82060000000001,60.79846666666668,3
잠원한강공원,63.014,88.88,[],,31.875,24.272,55.5844,61.9594,60.4388,59.32753333333333,5
