공원명,도보점수,parking_score,구_list,인구점수_500m,인구점수_1000m,인구점수_2000m,총점_500m,총점_1000m,총점_2000m,한강_종합점수,rank,인구가중점수,인구가중점수_std,rank_pop
난지한강공원,49.315,76.72,[],,43.009,77.791,44.933,53.5348,60.4912,52.9863333333,8,51.704499999999996,98.32480000436547,1
광나루한강공원,53.425,67.56,[],,,40.437,45.567,51.1281,53.6544,50.1165,9,40.437,86.49964333230484,2
양화한강공원,100.0,64.04,[],,,32.704,72.808,78.3691,79.3488,76.8419666667,1,32.704,65.57857311111351,3
잠실한강공원,69.863,67.48,[],,23.736,57.034,55.4138,60.161,66.8206,60.7984666667,3,32.0605,63.40378831161117,4
잠원한강공원,63.014,88.88,[],,31.875,24.272,55.5844,61.9594,60.4388,59.3275333333,5,29.974249999999998,56.086480264943084,5
이촌한강공원,64.384,66.84,[],,,29.304,51.9984,57.5595,57.8592,55.8057,7,29.304,53.67749349376323,6
여의도한강공원,86.301,100.0,[],,,26.318,71.7806,77.3417,77.0442,75.3888333333,2,26.318,42.905577368791,7
반포한강공원,60.274,92.76,[],,15.399,44.235,54.7164,57.7962,63.5634,58.692,6,22.607999999999997,30.306719110633733,8
뚝섬한강공원,68.493,78.96,[],,,19.247,56.8878,62.4489,60.7372,60.0246333333,4,19.247,20.58986089757865,9
망원한강공원,60.274,49.28,[],,,17.868,46.0204,51.5815,49.594,49.0653,10,17.868,17.209199369919382,10
강서한강공원,0.0,30.08,[],,,,6.016,11.5771,12.2168,9.9366333333,11,8.934,3.945689327301549,11
