공원명,도보점수,parking_score,구_list,인구점수_500m,인구점수_1000m,인구점수_2000m,총점_500m,총점_1000m,총점_2000m,rank_500m,rank_1000m,rank_2000m,컴포넌트_종합(평균)
경의선숲길,93.377,0.0,['마포구'],,21.481,40.451,65.23989999999999,60.322399999999995,64.1164,14,15,12,38.82725
고척근린공원,63.576,35.96,['구로구'],,,32.254,54.551300000000005,50.0171,51.7884,32,31,35,43.93
관악산공원(관악산),77.483,29.96,['관악구'],,,,61.69550000000001,57.1613,59.98620000000001,20,21,20,53.721500000000006
국립서울현충원,86.755,72.0,['동작구'],,,10.977,75.6667,71.1325,68.6484,3,6,7,56.577333333333335
금천체육공원,56.291,29.04,['금천구'],,,19.877,48.7963,44.2621,43.558,37,40,42,35.069333333333326
금천폭포근린공원,64.901,0.0,['금천구'],,,38.613,48.1543,43.620099999999994,46.663199999999996,39,41,40,34.504666666666665
길동생태공원,76.159,0.0,['강동구'],,19.681,54.912,54.9091,49.6316,56.6778,31,32,26,37.688
낙산공원,62.914,21.16,['종로구'],19.85,29.393,44.973,45.950399999999995,47.858999999999995,50.974999999999994,41,35,36,35.658
남산공원,0.0,40.2,['중구'],,6.513,16.292,17.253700000000002,9.342600000000001,11.2984,47,47,47,15.75125
달맞이근린공원,72.848,0.0,['성동구'],41.341,60.096,35.492,51.977,55.727999999999994,50.807199999999995,34,24,37,41.9554
도산근린공원,76.821,0.0,['강남구'],,14.478,51.798,55.3063,48.9882,56.4522,30,33,28,35.774249999999995
독립공원(서대문독립공원),96.026,29.52,['서대문구'],20.223,22.779,19.159,67.5642,68.07539999999999,67.3514,9,7,9,37.541399999999996
매헌시민의숲,80.132,0.0,['서초구'],,35.488,68.339,57.2929,55.1768,61.747,29,26,14,45.98975
문화비축기지,84.106,24.28,['마포구'],,0.0,55.139,64.5333,55.319599999999994,66.3474,18,25,11,40.88125
방화근린공원,88.079,0.0,['강서구'],,,,62.061099999999996,57.52689999999999,60.3518,19,20,19,44.0395
배봉산근린공원(배봉산),62.914,28.8,['동대문구'],,,20.857,52.7221,48.18789999999999,47.67979999999999,33,34,39,37.523666666666664
보라매공원,78.808,40.32,['동작구'],,22.472,23.127,64.5625,59.8432,59.9742,17,16,21,41.18175000000001
북서울꿈의숲,66.887,51.44,['강북구'],,,30.735,59.6339,55.0997,56.5672,26,27,27,49.687333333333335
북한산국립공원(북한산),80.132,47.232,"['강북구', '도봉구', '서대문구', '성북구', '은평구', '종로구']",,,15.664,66.7393,62.2051,60.6584,12,12,17,47.675999999999995
불암산도시자연공원(불암산),86.755,30.6,['노원구'],,,7.995,67.3867,62.85249999999999,59.772000000000006,10,10,22,41.78333333333333
사가정공원(용마산),86.093,20.16,['중랑구'],,20.548,68.262,64.9015,59.797399999999996,69.3402,15,17,6,48.76575
