공원명,구_list,인구점수_500m,인구점수_1000m,인구점수_2000m,인구가중점수,인구가중점수_std,rank_pop
서울숲,['성동구'],100.0,100.0,38.562,93.85620000000002,99.92057075151958,1
용두근린공원(용두공원),['동대문구'],78.901,86.282,83.808,81.60600000000001,99.49643642935982,2
어린이대공원,['광진구'],98.25,26.5,52.549,72.15490000000001,98.30951235011797,3
파리근린공원(파리공원),['양천구'],75.234,53.156,21.353,63.22250000000001,95.50616324561695,4
우장산근린공원(우장산/우장산근린공원),['강서구'],,45.991,100.0,59.493249999999996,93.55023240325573,5
아차산공원(아차산),['광진구'],,48.337,73.201,54.553,90.01329883727074,6
서울창포원,['도봉구'],,,46.465,46.465,81.49596799879195,7
달맞이근린공원,['성동구'],41.341,60.096,35.492,46.382600000000004,81.3908011147727,8
효창근린공원(효창공원),['용산구'],50.796,36.771,33.308,44.83970000000001,79.35375727076746,9
매헌시민의숲,['서초구'],,35.488,68.339,43.70075,77.76863601183226,10
서서울호수공원,['양천구'],,27.355,72.942,38.751749999999994,70.1326434121672,11
금천폭포근린공원,['금천구'],,,38.613,38.613,69.90247585543602,12
푸른수목원,['구로구'],,,36.553,36.553,66.39571836148139,13
일자산허브천문공원,['강동구'],,29.086,55.217,35.61874999999999,64.75453004059206,14
사가정공원(용마산),['중랑구'],,20.548,68.262,32.476499999999994,59.04655205267755,15
고척근린공원,['구로구'],,,32.254,32.254,58.633381288261035,16
북서울꿈의숲,['강북구'],,,30.735,30.735,55.7894132633586,17
길동생태공원,['강동구'],,19.681,54.912,28.488749999999996,51.53289271425001,18
서울로 7017,['중구'],27.006,24.016,31.47,26.555400000000006,47.853419655139525,19
경의선숲길,['마포구'],,21.481,40.451,26.2235,47.222728554339085,20
송파나루근린공원(석촌호수),['송파구'],,18.574,49.133,26.213749999999997,47.20421091944618,21
낙산공원,['종로구'],19.85,29.393,44.973,25.2252,45.33054044796109,22
도산근린공원,['강남구'],,14.478,51.798,23.808,42.663482157655636,23
용산가족공원,['용산'],,17.07,40.771,22.99525,41.14815706113453,24
보라매공원,['동작구'],,22.472,23.127,22.635749999999998,40.48193881423915,25
독립공원(서대문독립공원),['서대문구'],20.223,22.779,19.159,20.8834,37.27720877975502,26
배봉산근린공원(배봉산),['동대문구'],,,20.857,20.857,37.22953401579569,27
금천체육공원,['금천구'],,,19.877,19.877,35.474200516585,28
북한산국립공원(북한산),"['강북구', '도봉구', '서대문구', '성북구', '은평구', '종로구']",,,15.664,15.664,28.311650505974693,29
율현공원,['강남구'],,,15.604,15.604,28.21482518768325,30
중랑캠핑숲(중랑가족캠핑장),['중랑구'],0.0,34.813,47.332,15.177100000000005,27.53055410001004,31
올림픽공원,['송파구'],,1.43,55.386,14.919,27.120849620148828,32
문화비축기지,['마포구'],,0.0,55.139,13.78475,25.357163545402518,33
진관근린공원(구파발폭포/이말산),['은평구'],,,12.649,12.649,23.653455273164077,34
청량근린공원(천장산),['성북구'],,4.087,37.522,12.445749999999999,23.355350851681866,35
여의도공원(여의도도시근린공원),['영등포구'],,,12.435,12.435,23.339642177048113,36
선유도공원,['영등포구'],,16.58,0.0,12.434999999999997,23.33964217704811,37
국립서울현충원,['동작구'],,,10.977,10.977,21.26418911949442,38
인왕산도시자연공원(인왕산),['종로구'],,10.116,5.865,9.053249999999998,18.697573730480276,39
남산공원,['중구'],,6.513,16.292,8.95775,18.575362478959313,40
불암산도시자연공원(불암산),['노원구'],,,7.995,7.995,17.37115464873594,41
수락산도시자연공원(수락산),['노원구'],,,,3.9975,12.915934619612779,42
서울식물원,['강서구'],,,,3.9975,12.915934619612779,43
방화근린공원,['강서구'],,,,3.9975,12.915934619612779,44
서울대공원,['관악구'],,,,3.9975,12.915934619612779,45
청계산도시자연공원(청계산),['서초구'],,,,3.9975,12.915934619612779,46
관악산공원(관악산),['관악구'],,,,3.9975,12.915934619612779,47
