"분류","자치구","공연/행사명","날짜/시간","장소","시작일","종료일"
"전시/미술","구로구","특별기획전 ‘공장도시: 팩토리타임즈’","2023-12-28~2023-03-12","서울시 구로구 디지털로26길 38, G-Tower 3층","2023-12-28 09:00:00+09","2023-03-12 09:00:00+09"
"콘서트","광진구","카이×정선아 [뮤지컬 갈라 콘서트]","2023-06-24~2023-06-24","나루아트센터 대공연장","2023-06-24 09:00:00+09","2023-06-24 09:00:00+09"
"콘서트","마포구","2023 M 레트로 시리즈 《어떤가요 #5》 '3 Rockers'","2023-06-21~2023-06-21","마포아트센터 아트홀맥","2023-06-21 09:00:00+09","2023-06-21 09:00:00+09"
"무용","종로구","일무","2023-05-25~2023-05-28","세종대극장","2023-05-25 09:00:00+09","2023-05-28 09:00:00+09"
"클래식","종로구","세종 어린이 시리즈 Ⅰ `오케스트라 여행`","2023-05-21~2023-05-21","세종대극장","2023-05-21 09:00:00+09","2023-05-21 09:00:00+09"
"콘서트","광진구","신유X박구윤 [트로트 효 콘서트]","2023-05-13~2023-05-13","나루아트센터 대공연장","2023-05-13 09:00:00+09","2023-05-13 09:00:00+09"
"전시/미술","종로구","오늘은 어린이날, 소파 방정환의 이야기세상","2023-05-04~2024-03-11","국림민속박물관 어린이박물관 2층 상설전시2","2023-05-04 09:00:00+09","2024-03-11 09:00:00+09"
"영화","서초구","[서초문화재단] 심산 영화관 가정의달 특별상영 '원더'","2023-05-02~2023-05-02","서초문화재단 반포심산아트홀","2023-05-02 09:00:00+09","2023-05-02 09:00:00+09"
"기타","광진구","NARU STREET DANCE FESTIVAL","2023-04-29~2023-06-10","나루아트센터 야외광장","2023-04-29 09:00:00+09","2023-06-10 09:00:00+09"
"클래식","서초구","Petite Concert 반도네오니스트 연하늘 ＆ 기타리스트 밤하늘별빛 듀오 리사이틀 : SUNSET","2023-04-25~2023-04-25","심산문화센터 반포심산아트홀","2023-04-25 09:00:00+09","2023-04-25 09:00:00+09"
"콘서트","구로구","2023 봄에 내리는 젠틀레인 - Cinema in Jazz 재즈로 듣는 영화음악","2023-04-22~2023-04-22","구로아트밸리 예술극장","2023-04-22 09:00:00+09","2023-04-22 09:00:00+09"
"클래식","종로구","2023 명연주자 시리즈","2023-04-21~2023-04-21","국립극장 해오름극장","2023-04-21 09:00:00+09","2023-04-21 09:00:00+09"
"클래식","광진구","2023년 신춘음악회 [나루 멜로디]","2023-04-15~2023-04-15","나루아트센터 대공연장","2023-04-15 09:00:00+09","2023-04-15 09:00:00+09"
"무용","강동구","유니버설발레단 [지젤]","2023-04-14~2023-04-15","강동아트센터 대극장 한강","2023-04-14 09:00:00+09","2023-04-15 09:00:00+09"
"클래식","종로구","서울시합창단 [마스터 시리즈]","2023-04-13~2023-04-14","세종체임버홀","2023-04-13 09:00:00+09","2023-04-14 09:00:00+09"
"클래식","구로구","해설이 있는 음악회 [봄나는 클래식]","2023-03-11~2023-03-11","오류아트홀","2023-03-11 09:00:00+09","2023-03-11 09:00:00+09"
"무용","마포구","2023 제5회 서울 탭댄스 페스티벌 탭댄스 콩쿠르 [제2회 서울 탭댄스 콩쿠르]","2023-04-09~2023-04-09","ㅁ포문화재단 3층 플레이맥","2023-04-09 09:00:00+09","2023-04-09 09:00:00+09"
"무용","마포구","2023 제5회 서울 탭댄스 페스티벌 탭댄스 경연 쇼 [오버텐 탭댄스 콘서트]","2023-04-08~2023-04-08","마포아트센터 플레이맥","2023-04-08 09:00:00+09","2023-04-08 09:00:00+09"
"뮤지컬/오페라","마포구","2023 제5회 서울 탭댄스 페스티벌 탭댄스 뮤지컬 [카펜터스]","2023-04-07~2023-04-07","마포아트센터 플레이맥","2023-04-07 09:00:00+09","2023-04-07 09:00:00+09"
"무용","마포구"," 2023 제5회 서울 탭댄스 페스티벌 탭댄스 콘서트 [밴드파람 탭 콘서트]","2023-04-06~2023-04-06","마포아트센터 플레이맥","2023-04-06 09:00:00+09","2023-04-06 09:00:00+09"
"무용","마포구","2023 제5회 서울 탭댄스 페스티벌 탭댄스 콘서트 [The Shape of SYMBOL]","2023-04-05~2023-04-05","마포아트센터 3층 플레이맥","2023-04-05 09:00:00+09","2023-04-05 09:00:00+09"
"교육/체험","종로구","[단체 전용]2023 운현궁 예절교실","2023-04-04~2023-06-16","이로당 및 운현궁 일원","2023-04-04 09:00:00+09","2023-06-16 09:00:00+09"
"영화","서초구","[서초문화재단] 심산 영화관 '가버나움'","2023-04-04~2023-04-04","서초문화재단 반포심산아트홀","2023-04-04 09:00:00+09","2023-04-04 09:00:00+09"
"축제-문화/예술","광진구"," 능동로 활성화 [나루랑버스킹×건대프리마켓]","2023-04-01~2023-06-30","나루아트센터 야외광장, 능동로 분수광장, 청춘뜨락","2023-04-01 09:00:00+09","2023-06-30 09:00:00+09"
"클래식","서초구","2023 서울시향 오스모 벤스케의 시벨리우스 교향곡 2번 ②","2023-03-31~2023-03-31","예술의전당 콘서트홀","2023-03-31 09:00:00+09","2023-03-31 09:00:00+09"
"뮤지컬/오페라","종로구","모차르트 `마술피리`","2023-03-30~2023-04-02","세종대극장","2023-03-30 09:00:00+09","2023-04-02 09:00:00+09"
"클래식","서초구","2023 서울시향 오스모 벤스케의 시벨리우스 교향곡 2번 ①","2023-03-30~2023-03-30","예술의전당 콘서트홀","2023-03-30 09:00:00+09","2023-03-30 09:00:00+09"
"뮤지컬/오페라","광진구","가족 뮤지컬 [도서관에 간 사자]","2023-03-28~2023-04-30","광진어린이공연장","2023-03-28 09:00:00+09","2023-04-30 09:00:00+09"
"클래식","서초구","Petite Concert 파라디스 앙상블 : Paradise","2023-03-28~2023-03-28","심산문화센터 반포심산아트홀","2023-03-28 09:00:00+09","2023-03-28 09:00:00+09"
"콘서트","마포구","2023 M 레트로 시리즈<어떤가요 #4>","2023-03-28~2023-03-28","마포아트센터 아트홀맥","2023-03-28 09:00:00+09","2023-03-28 09:00:00+09"
"전시/미술","중구","제7회 대한민국사진축전","2022-09-28~2022-10-02","동대문디자인플라자(DDP) 아트홀 1관(알림1관)","2022-09-28 09:00:00+09","2022-10-02 09:00:00+09"
"교육/체험","송파구","[꿈마을체험교실] '슝슝~ 시간여행, 백제왕성 풍납동 토성'","2023-03-25~2023-04-09","몽촌역사관","2023-03-25 09:00:00+09","2023-04-09 09:00:00+09"
"클래식","강동구","쇼팽으로 만나는 지브리","2023-03-25~2023-03-25","강동아트센터 대극장 한강","2023-03-25 09:00:00+09","2023-03-25 09:00:00+09"
"콘서트","광진구","스탠딩에그×브로콜리너마저 <봄, 나들이 콘서트>","2023-03-25~2023-03-25","나루아트센터 대공연장","2023-03-25 09:00:00+09","2023-03-25 09:00:00+09"
"클래식","송파구","2023 서울시향 리사 바티아슈빌리의 시벨리우스 바이올린 협주곡 ②","2023-03-25~2023-03-25","롯데콘서트홀","2023-03-25 09:00:00+09","2023-03-25 09:00:00+09"
"뮤지컬/오페라","중구","뮤지컬 [맘마미아!]","2023-03-24~2023-06-25","충무아트센터","2023-03-24 09:00:00+09","2023-06-25 09:00:00+09"
"클래식","송파구","2023 서울시향 리사 바티아슈빌리의 시벨리우스 바이올린 협주곡 ①","2023-03-24~2023-03-24","롯데콘서트홀","2023-03-24 09:00:00+09","2023-03-24 09:00:00+09"
"기타","마포구","[독서토론회] 2023년 목, 수다","2023-03-23~2023-12-28","3층 Book C","2023-03-23 09:00:00+09","2023-12-28 09:00:00+09"
"전시/미술","중구","[서울디자인재단] 데이비드 호크니X브리티쉬 팝 아트 전시","2023-03-23~2023-07-02","DDP 뮤지엄 지하2층 전시1관","2023-03-23 09:00:00+09","2023-07-02 09:00:00+09"
"뮤지컬/오페라","금천구","창작 뮤지컬 [나를 닮은 여름에게]","2023-03-23~2023-03-25","금나래아트홀","2023-03-23 09:00:00+09","2023-03-25 09:00:00+09"
"콘서트","노원구","부활 Born Again 콘서트","2023-03-23~2023-03-23","노원문화예술회관","2023-03-23 09:00:00+09","2023-03-23 09:00:00+09"
"클래식","강북구","마티네 콘서트Ⅰ","2023-03-22~2023-03-22","강북 문화예술회관 강북진달래홀","2023-03-22 09:00:00+09","2023-03-22 09:00:00+09"
"연극","구로구","화이트캣시어터컴퍼니[롤로코스터] 2023대한민국연극제 서울대회","2023-03-22~2023-03-22","구로아트밸리 예술극장","2023-03-22 09:00:00+09","2023-03-22 09:00:00+09"
"교육/체험","종로구","2023년 상반기 세종예술아카데미 예술프로그램","2023-03-20~2023-07-22","세종문화회관 세종예술아카데미 스퀘어홀, 오픈스테이지 외","2023-03-20 09:00:00+09","2023-07-22 09:00:00+09"
