공원명,총_축제_수,축제_다양성_지수,여가도_점수
여의도한강공원,11,2.3978952727983707,37.376848000782076
반포한강공원,6,1.7917594692280547,16.750556815368327
뚝섬한강공원,5,1.6094379124341005,13.047189562170502
잠원한강공원,4,1.3862943611198906,9.545177444479563
난지한강공원,3,1.0986122886681096,6.295836866004329
잠실한강공원,3,1.0986122886681096,6.295836866004329
강서한강공원,2,0.6931471805599453,3.386294361119891
광나루한강공원,2,0.6931471805599453,3.386294361119891
양화한강공원,2,0.6931471805599453,3.386294361119891
이촌한강공원,2,0.6931471805599453,3.386294361119891
망원한강공원,1,-0.0,1.0
