공원명,종합_여가도_점수,축제_조정점수,운동_조정점수
여의도한강공원,62.86475175473073,76.8246032261229,48.90490028333857
잠원한강공원,56.78149804442593,50.09954440082738,63.46345168802449
난지한강공원,55.2214260766384,46.97940046525231,63.46345168802449
잠실한강공원,55.2214260766384,46.97940046525231,63.46345168802449
광나루한강공원,50.08314987075882,44.185543932622224,55.98075580889541
반포한강공원,49.67900101718928,57.018431542582746,42.33957049179581
뚝섬한강공원,47.90094196225101,53.46231343270621,42.33957049179581
양화한강공원,46.54522210798039,44.185543932622224,48.90490028333857
강서한강공원,43.26255721220902,44.185543932622224,42.33957049179581
이촌한강공원,43.26255721220902,44.185543932622224,42.33957049179581
망원한강공원,39.177468664968984,41.894130736767245,36.46080659317073
