작성자,내용,별점,작성일
Angela An,화장실 어린이 놀이터 옆 화장실 깨끗하고 온수도 나오네요 (25년 5월) 넓고 조경과 시설이 잘 갖춰져 있는 공원입니다 인근 주민분들 좋으시겠어요,별표 4개,3달 전
한수지,완전 좋고 산책의 알맞춤 호수도 있고 놀이터도 잇어서 좋음,별표 5개,2주 전
BRIANNA “소피” Sopi,"9월7~8일 정원박람회및 행사가열려요,산책하기좋고 책읽기도좋은 공원♤ 놀이터 화장실 놀이터 게이트볼장등이있음",별표 4개,11달 전
Hola Biermann,이용객이 많지 않으나 꽤 넓고 거의 모든 것을 갖추고 잘 관리되고 있는 멋진 공원이다,별표 5개,수정일: 6년 전
WON MAN JIN,"4단지 사잇길 산책로를 따라와 길 건너면 공원입니다 오늘 밤엔 이제 제법 시원해져서 산책하기 좋아요 유아 동반, 반려동물 산책으로도 참 좋구요",별표 5개,4년 전
Ki-Young Shin,인근 유료주차장을 이용하는 것이 좋습니다 주차는 성당앞쪽 길에하면 단속합니다 아이들 데리고 오기에 좋은곳,별표 4개,수정일: 3년 전
K Windrunner,시설도 잘 갖추어져있고 모든 것드리 정돈되어있다,별표 5개,2년 전
Sun L,어린이들이 놀수있는 놀이터도 있고 한여름엔 주민들이 잔디밭에 돗자리 깔고 주말을 보내고 있음 달리기 하기 좋게 구성되어 있음 운동하러 자주가는데 걷기,별표 5개,3년 전
박수연1000,놀이터가 2개 있어요 모래있는 놀이터는 흙장난하기 좋고 잔디있는 공원은 산책하기 좋아요~,별표 5개,3년 전
이은용,"아이가 뛰어놀기 좋은곳 놀이터도 연령대에 맞게 아주어린아이용 유초등용으로 나뉘어있어서 더 좋았고 놀이터 옆에 깔끔한 화장실도 있어요 주차는 바로 옆 공영주차장에, 5분당 100원 현금X 삼성페이 가능하나 인식이 잘 안될수도 있어서 실물카드 지참 추천합니다",별표 5개,3년 전
정운영,오후에 분수도나오고 공중 화장실도있고 인적이드물어서 산책하기 좋아요,별표 5개,3년 전
이미경,집앞에 공원이 있어서 산책하거나 저녁에 걷기 좋아요~,별표 4개,수정일: 3년 전
KD Lee,지금은 단풍이 아름답게 물들어 결심의 계절을 절감하게 해 줍니다,별표 5개,5년 전
수퍼보아12y9y,요즘 율현공원이 저의 힐링 장소 입니다,별표 5개,수정일: 5년 전
고리봉,걷기 및 조깅 운동코스로 최적화된 장소입니다,별표 4개,3년 전
어쩌다 개척까지[상암TV],"서울 강남에 이런 공원이 있다니, 가족단위 쉬기 좋은 공원이에요",별표 5개,4년 전
M C,"가족과 방문하거나 반려동물 데리고 산책하기 좋아요 고즈넉하고 조용한 공원, 작은 축구장, 아담한 장미가든, 놀이터 등등 단 주차비는 내야합니다",별표 4개,2년 전
lucky,날씨도 좋고 공기도 좋고 너무시원하니 좋아요,별표 5개,4년 전
조현경,"바로 가까이에 화장실있는건 좋은데, 장소가 너무 뙤약볕이에요 공원에 큰 나무가 잘 없이 잔디 위주여서 어딜가도 볕이 강하네요",별표 3개,3년 전
김동익,조용히 산책하기 좋은곳 같습니다 꽃정원 단장공사가 한창이고요 완성되면 내년에는 꽃구경 가면 좋을듯--,별표 3개,1년 전
