작성자,내용,별점,작성일
걸어서동네한바퀴,"도심 속 자연, 강동구 길동의 생태공원, 사람이 많지 않아 여유있게 걷기 좋아요 중간중간 도장인증(6곳), 철새스팟, 반딧불이체험관 등 규모는 크진 않지만 가볍게 가기엔 좋아요 상당 구간이 데크길로 되어 있어 걷기에 편하고, 새소리에 풀내음까지 맡을 수 있어요",별표 5개,1년 전
마이진,주차는 길건너 길동생태공원 문화센터 주차장에 주차하시고 가세요 강동구 도심지 가까운곳에 숲길이 있어서 좋습니다 지금 공원은 환경개선 정비작업으로 약간 시끄운데 그래도 맑은 공기 마시며 산책하기 좋습니다,별표 4개,4년 전
shinjohnss,"각종 새, 크고 작은 동믈들 이런곳에 별장 하나 있다면 하는 생각이 드네요 ㅋㅋ 이와 같은 공원들이 더 많이 생겼으면 좋겠어요^^ 서을에 이런 밀림 같은곳이 있다니 놀랍습니다",별표 5개,수정일: 5년 전
삼부자곤충아빠,서울 숲 자연공원 길동생태공원에서 가보새요 서울특별시 공공서비스예약 들어가셔서 예약하고 가셔야되요,별표 5개,3년 전
이소영,간단히 산책하는데 30분 자세히 보려면 시간이 좀 있어야 될거 같아요,별표 4개,3년 전
김미카엘라,아이들 생태교육 받았는데 교육내용도 알차고 재미있었어요 조금만 들어가도 깊은 숲 속 같아요,별표 5개,5년 전
배태천,자연환경을 직접 볼 수 있어 가족과 함께가기 좋습니다,별표 4개,수정일: 2년 전
활사모,좋아요 도심속에서 자연을 온전히 느낄수 있어요,별표 5개,3년 전
K BG,2km 정도의 아담한 순환 산책로가 있는 공원입니다,별표 4개,5년 전
녹색걷기,"운영시간: 매일 ~ (동절기 , 매주 월요일 휴관), 인터넷 사전예약 필수 (일 총정원-400명: 범위 내에서 당일 현장접수 후 입장 가능) 전화: 02 472 2770 *대중교통:둔촌역2번출구 바로뒤 3412번 버스 10분이내 서울시가 ‘공원녹지 확충 5개년 계획’의 일환으로 조성한 환경친화형생태공원 1998년에 준공되었으니 더욱 무성할 따름이다 *대중교통:9호선 중앙보훈병원역 2번출구~20분거리 *길동자연생태공원(25182/25183) 버스정류장 : 342 길동생태공원에서 가장 매력적인 지역은 산림지구다",별표 4개,수정일: 2년 전
인오룡,"도심에서 접근용이, 주차장 완비, 맛집도 근처에 많고 이리저리 둘러보면 약 한시간 정도 소요🚶‍♂️🚶‍♀️ 생태공원엔 들꽃도 많고",별표 5개,3년 전
tama bi,주차장 안내가 제대로 안되어있고 관리 소흘함이 보여 안타까웠습니다 공원이 많지않은 강동에 생태학습 할 수 있는 좋은 곳인데 차라리 키오스크가 있는 것이 인건비도 줄이고 좋을 듯 합니다,별표 3개,5년 전
U긍정,산책로가 너무 잘 꾸며져 있어서 좋았어요,별표 5개,5년 전
Delphine Choi,큰 산의 깊은 숲과 비교할 바는 아니지만 도심에서 숲길의 정취를 즐기기에 부족함이 없습니다 가족과 같이 나들이 하기에 참 좋을 것 같아요 가을 단풍이 너무 아름답습니다,별표 5개,2년 전
Sue jin kim,나무숲 사이로 데크 길도 있고 거미 나비 관찰할 수 있고 걷기도 좋아요 도심에 이런 곳이 있다니,별표 5개,1년 전
김대진,"아이들과 오후 햇살을 즐기며 산책, 혼자여도 좋을 고즈넉한 도심의 공원",별표 5개,1년 전
boss,맨발걷기하기 좋음 날이 더워서 사람들이 없음 모기는 많네요,별표 5개,2년 전
Haruki,길동의 랜드마크 가기 전에 서울시 공공서비스 예약을 해야한다,별표 5개,2년 전
Myungsoon Chang,도심 속 편히 산책하기 좋네요,별표 5개,2년 전
김한나,주차장이 없어 불편하지만 울창한 숲속에 온 것 같은 기분이에요,별표 5개,6년 전
최낙원,생태공원안에 있으면 도심에서 멀리 떨어진 거 같아요,별표 5개,6년 전
김효준,멀리서 봤는데 잘 되있더라,별표 4개,6년 전
Han Yang,모기랑 벌이 많아서 애 데리고 가기에 좋지 않아요,별표 2개,5년 전
임상길,분위기가 좋아요 생태 숲 보러가세요,별표 5개,5년 전
봉필영,맑은 공기가 좋았습니다,별표 5개,3년 전
Jasmine Lee,도심속에 있는 힐링,별표 5개,5년 전
낌민수 (모름지기),공기도 좋고 가족들과 즐거운 산책을 했습니다 이 공원이 우리 집에서 불과 몇 분 거리에 있는데도 내가 여기에 가본 적이 없다는 것이 놀랍습니다,별표 5개,4년 전
