작성자,내용,별점,작성일
Y오키도키 (여행준비),"기념관은 10시 입장 하기에 다음으로 미루고 대신 공원 곳곳에 전시하고 있는 사진자료를 꼼꼼히 보며 도산 안창호선생님의 가족사까지 알게 되었다 시간이 넉넉하다면 서늘한 시간에 산책도 하고 곳곳에 마련된 의자에서 쉬기도 하며 좋은시간을 보낼수 있을것 같아 이 장소를 추천하게 되었다 오전 8시에 나와 봤는데 도심속에 있는데도 공기도 좋고 잣나무산책로도 좋았고, 흐드러지게 피어있는 배롱나무도 아름다웠다",별표 5개,11달 전
BRIANNA “소피” Sopi,"여러번 방문해도 걷기편하고 산책하기좋은곳, 기념관도있는데pm6시까지",별표 4개,2달 전
배태천,도심내에 산책하기 좋은 공원으로도 도산선생의 모역으로 접근하기 좋은 위치에 있는 점도 좋습니다 화장실 공원내에 공중 화장실이 있으며 깔끔하게 화장실 관리가 되어 있습니다 누구나 방문하기 좋은 위치에 쉬어갈 수 있도록 녹음과 조경이 배치되어 있어 좋았습니다,별표 5개,1년 전
joon jay,"방문하기 전에는 그저 흔한 공원이라 생각했는데, 방문하고 보니 도산 안창호 선생님의 뜻을 기리는 역사적으로 중요한 공간이었다💚 묘역, 동상, 기념관 외에도 다양한 역사 기록물이 있으니 산책하며 찬찬히 말씀비 등을 읽어보는 것도 좋을 것 같다 신사동에 위치하고 있는 공원이다",별표 4개,수정일: 1년 전
national_jiographic,압구정 인근에 위치한 도산 안창호 선생님 기념공원입니다,별표 5개,1년 전
태자비,"갑자기 소음이 사라지고 고즈늑한 나무 그늘 아래에 있다 악간 언덕진 곳에 기념관과 묘역이 잘 관리 되어 있어 마음에 묵직함이 올라온다 다큐멘터리에서 봤던 안필립, 안수산 님의 이야기도 다시 만나고 좋은 시간을 가졌다",별표 5개,1년 전
Slowlife Juju,화장실 공원 내 안창호 기념관 건물 내 깨끗한 시설 독립정신을 되새기고 역사적 장소로 도시 위치좋은곳 숲속 느낌 산책하고 도산 안창호 묘역도 참배해주세요,별표 5개,수정일: 1년 전
Jin,가을의 정취를 느끼기 좋은곳 (벚나무는 거의 없어요) 주말에는 큰길 노상주차 가능,별표 4개,4달 전
구기모,"산책하기에도 좋고, 도산 안창호 선생의 발자취를 조금이라도 느끼고 생각할 수 있어서 참 좋은 곳이라 생각됩니다",별표 5개,2년 전
john Dejong,"애국심이 절로 생길수 밖에 없음 맛과 멋의 거리,동네에 이런 존경스러운 위인의 기념공원이 있어 뿌듯해짐 식사후 가볍게 산책하기도 좋고 걷다보이는 도산의 발자취, 독립에 대한 의지",별표 5개,2년 전
hyunkyung yi,"도심속 공원이라 가는 길에 볼 것도 있었고 도산안창호 기념관은 너무 감동적이었어요 안중근 기념관처럼 멋지게 다시 지어지면 좋겠습니다 등 탐나는 아이템 많으니 관심있게 봐주세요^^ 다만, 기념관이 생각보다 작아서 아쉬웠네요",별표 5개,2년 전
Hana Hyun,한적하면서도 깨끗하고 아름답게 잘 관리되고 있는 공원입니다 산책 장소로 정말 좋았습니다 날씨 좋은날 방문하여 정말 기분 좋게 거닐 수 있었습니다,별표 4개,6년 전
sang hun Pak,"도심속 잠깐 들러 쉬어갈수있는 공간 마침 날도 따뜻하고, 공기도 좋았음(4월) 운동기구들도 있고, 작지만 깔끔한 산책로가 있다",별표 4개,6년 전
Kahee Cho,이곳에 공원이 있다는 것만으로도 마음 한 켠이 편안해지는,별표 5개,수정일: 6년 전
장유나,회사에서 가까운곳에 있는 자연속의 휴식처♡ 코로나시대 진정한가치를 느낄수있는 쉼터로 요즘 커피숍에가는 것보다 더 자주 찾아가게돼요^--^,별표 5개,수정일: 3년 전
도사아몬드,도산안창호 선생의 기념관이 있는 도산공원입니다,별표 5개,3년 전
YoungMeen Chung,"도산공원이라는 이름에 걸맞게 도산 안창호의 기념관 뿐만 아니라 안창호 선생의 동상, 민족을 위한 도산의 말씀, 도산과 함께 독립 운동을 한 선인들의 사진 등 도산 안창호 선생을 기릴 수 있는 것들이 많아 이 공원 근처 주민이나 공원을 찾는 많은 사람들은 절로 애국심이 생길 것 같다 강남 도심 한가운데 위치한 도산공원은 적당한 크기의 공원이지만 공원의 조성이나 관리가 정말 잘 되어 있어서 주민들에게 기막힌 환경을 제공한다 또헌 공원 내부엔 주민들의 건강을 위한 운동기구들이 놓여 있다",별표 5개,3년 전
이득준,도심 한가운데 작게나마 이렇게 아름다운 공원이 있다는게 얼마나 감사한지 모르겠네요 안창호 선생님의 어록비와 동상이 있네요 점심에 가벼운 산책이나 운동도 좋을듯합니다,별표 5개,5년 전
기분좋은 날,도심 중앙에 위치한 공원이라 이른 점심을 먹은 주변 직장인들이 식사 후 산책도하고 벤치가 곳곳에 있어 잠시 쉬기도 좋고 오늘은 날씨까지 도와주니 최고입니다,별표 5개,2년 전
Mincho Park,"도산 안창호 선생을 기리는 공원으로 곳곳엔 마음에 도전을 주는 안창호 선생의 글귀들이 있다 도심속 작은 공원이지만, 결코 작지 않은 공원 도산공원 근처에 볼일이 있을때마다 들르는 곳",별표 5개,4년 전
