작성자,내용,별점,작성일
함초롱,가볍게 둘레길 걷기에도 좋고 분수며 되게 잘 해놨어요,별표 5개,1달 전
winter lion,방화동근린공원 산책하기 좋고 운동하기도 좋은 공원 개화산 밑자락에 위치하고 딨고 산림속에있는 공원,별표 4개,10달 전
아카,"근처 산책이나 아이 놀게 할 수 있는 괜찮은 공원입니다 이 공원의 최대 매력은 강서구에서 알만한 사람들이 아는 벚꽃 드라이브 코스가 있다는 것입니다 벚꽃이 필 때, 썬루프를 열고 차로 드라이브하면 정말 좋습니다",별표 4개,2년 전
변상언,강서둘레길 따라 개화산 산책하기도 좋음 봄에는 봄꽃들이 아름다운 곳이고 가을에는 아름다운 단풍으로 잘 알려진 곳 서남환경공원도 가까이 있어요,별표 5개,4년 전
녹색걷기,*대중교통: 5 방화역 2번출구~500m 1990년 12월에 공원으로 지정되어 방화택지개발지구 개발과 함께 공원으로 조성되었다 가까이 개화산 과 꿩고개근린이 있다,별표 4개,수정일: 1년 전
Sangeon Byun,"일요일인 4/21일 갔더니 날씨도좋고 휴일이라 많은 사람들이 나와서 운동, 산책등 여가를 보내고 있는데 몇그루의 벚나무에는 벚꽃들을 아직도 활짝펴있고 길가의 황매화 꽃들도 노란물결을 보입니다 지하철 5호선 방화역에서 도보로 10분거리에 있는데요",별표 5개,수정일: 6년 전
Steven Hwang (아쭈s),서울시 강서구 방화동 지하철5호선 방화역 도보 10분거리에 있는 대형공원 개화산과 치현산이 둘러싸고있어서 산책 및 가벼운 등산도 가능한 곳,별표 5개,수정일: 7달 전
prtv Kuicat (Kui),"가을에는 더욱더 아름다운 풍경을 즐길수 있습니다 피크닉 구역 가족단위 이용 하며, 나름 지역에서 유명해서 길거리 노상주차 길이가 벗꽃 시즌에는 엄청납니다 정상에 군부대가 있으나 일반인에게 부담이 없으며 정상 부근에서 한강을 바라보고 바로 아래 천년 사찰에서 고즈넉한 분위기를 즐기신후 하산하여 각종 카페와 식당등을 이용 하셔도 좋으며 방화근린공원과 연결되어 있기에 봄 다세대등등 주택 생활자들의 맑은 공기를 책임지는 곳으로서 정상까지 자동차로 올라갈수도 있고, 자전거 혹은 도보로 이용 하며 여러 둘레길이 있기에 자연과 어울리며 요즘은 도보자들을 위해서 데크작업을 하고 있답니다~",별표 5개,수정일: 2년 전
이윤성,"근린공원 가까이는 한강공원이 있고 주변에는 개화산과 강서둘레길이 있어서, 한적한 분위기와 고즈넉한 분위기를 좋아하신다면 괜찮을 것 같습니다 방화역 주변의 방화동 주민들의 휴식과 놀이와 힐링 공간으로 활용되고 있는 방화근린공원입니다",별표 4개,5년 전
ggootg,봄꽃이 만개해서 너무 예쁘네요 ~날은 더워도 운동삼아 꽃구경가기 좋아요~,별표 5개,수정일: 3년 전
으잉,자전거나 인라인 스케이트 등을 자유롭게 탈 수있다,별표 4개,5년 전
MinJ White,오랜만에 왔는데 천문우주과학관 공사하네요 산책로가 임시로 수정된 부분이 있지만 크게 뭐 불편함 느끼는 수준은 아닙니다 운동하고 산책하고 그냥 걷고싶을 때 오기 좋아요,별표 4개,3년 전
한은혜,광장도 있어서 아이들이 뛰어 놀기 좋아요 벚꽃이 예쁘게 피어서 방문했어요 개화산과 연결되어 있고 산책로도 잘 되어 있어요,별표 5개,2년 전
유혜린,아이들 놀기 좋아요 인라인 탈수 있는 트렉이 있고 숲체험놀이 벚꽃길도 있고 놀이터에 놀기도 좋아요,별표 5개,3년 전
마마,주택가에 있어서 조용하고 산책하기 좋아요 주변의 편의점 없어요,별표 3개,6년 전
돌돌이집사,"비교적 한적한 편이나 주말엔 도로에 주차차량이 많음 서울 강서 끝자락에 위치한 공원 개화산으로 올라갈 수도 있고 약사사 방문도 가능함 가족, 연인 단위로 많이 오는 편임 한쪽에는 어르신들 장기, 바둑두는 곳도 있음",별표 5개,3년 전
이세연,"자전거, 보드등을 탈 수 있는 우레탄바닥 광장과 농구대 배드민턴이 가능한 운동장이 있고 산책로가 잘 정비되어 있습니다 산책로 중간중간 운동기구가 있습니다",별표 5개,수정일: 2년 전
kate lee,운동하기 좋아요 강서둘레길도 같이 걸을 수 있어요,별표 5개,3년 전
감수선,마음에 여유가 생겨요 ㅎㅎ 초가도 있고 운동시설,별표 5개,수정일: 3년 전
이종훈,너무너무 좋은공원 집에서 가까워 아침 저녁으로 매일 운동과 산책중,별표 5개,수정일: 1년 전
지금에충실하자! (jitco),가볍게 산책하며 운동하기 좋은 시설입니다,별표 4개,3달 전
벼룩,혼자 운동 하기도 좋고 지인과 담소 나누기도 좋은 곳입니다^^,별표 5개,4년 전
Ashley H,요즘 어르신들 아무곳에서나 맨발걷기해서 다칠까봐 걱정인데 이곳의 맨발걷기트랙(,별표 5개,1년 전
윤희수,벚꽃이 흐드러지게 핀 너무 예쁜 곳이네요^^,별표 5개,3년 전
김용기,내가 사는 주변에 이리좋은 시설이 있는 공원이 있다는 것은 축복이지요,별표 4개,수정일: 4년 전
라떼아트,"산책하기 좋은곳~공원가는길에 벗꽃 구경하며 힐링 할 수 있고, 요즘같이 벗꽃 만개한 계절에는 낮에 책1권 들고가 벤치에서 독서하며 일광욕을 즐겨보셔요~^^",별표 5개,1년 전
김정우,방화동 근처에서 벚꽃을 즐길수 있는 공원이에요,별표 5개,3년 전
유재석,천마디말보다 한번의행동이 가치있다고 생각해요,별표 5개,2년 전
ByungYoung You,주말에 가족 나들이 하기에 좋습니다,별표 5개,7년 전
김상봉,"농구대와 배드민턴,족구장,야외공연무대와 아이들 자전거나 킥보드를 탈 수있는 원형운동장과 연못 주변 정자 등 수로시설과 체력단련기구도 곳곳에 있어 남녀노소 구분없이 이용할 수 있습니다 공원 안에 천문과학관이 5월중 개관예정입니다 도시와 산의 경계에 위치한 근린공원으로 많은 시민이 이용하는 쾌적한 공간 입니다",별표 4개,2년 전
gong you,부담없이 다닐 수 있는 둘레길 조성도 잘되어 있습니다,별표 5개,4년 전
Chul Lim,우드데크 잘되어있고 완만하고 풍경좋고 산책하기좋은곳,별표 5개,5년 전
여행복부인유현순,너무 깨끗하고 작은연못도 있고 산책하고 가족이나 친구 연인들이 도시락준비해서 나들이삼아 오세요 놀거리볼거리즐길거리가 주변에 많습니다 올 여름엔 별을보는 천문과학관도 오픈하고 지금은 봄꽃과 별빛축제를 하고있습니다,별표 5개,수정일: 2년 전
furfur dog,"이곳에 살지는 않지만 지날때마다 기분이 좋아지는 공원이며 개화산이 함께 있어 트래킹도 즐길수 있어 더더욱 좋은며 물론 사찰이 있어 조용히 불공도 드릴수 있는 장소입니다 공원 규모는 작지만 20년이상 오래되어 나무도 크고 계곡물은 아닌지만 물을 흐르게 만들어 다양한 연령층의 사람들이 있으며 농구장,족구장,야외무대등 잘 준비되어 있으며 봄이면 거대한 벗꽃나무가 볼만합니다 사계절 멋진 공원이며 남녀노소 모두들 즐거운 시간을 보낼수 있는곳",별표 5개,3년 전
JEONGHO KIM,"주변에 개화산과 연결되서 가벼운 등산하기에도 좋고, 방화 둘레길과도 연결되서 트래킹하기에도 좋습니다 공원내에는 산책로와는 별도로 농구장 족구장 그리고 노천 공연장이 있어요 노천 공연장은 인라인 스케이트 타기에 좋아요",별표 4개,수정일: 7년 전
부엉이,개화산과 치현산 사이에 위치해 이산저산 타다가 내려와 산책하기 좋은~^^,별표 5개,2년 전
PJ Y,"인근 개화산은 적당한 높이의 야산이나 높은 곳에서는 김포,부천, 고양 등의 전망이 좋음 여러 운동장과 다양한 운동기구가 있어 산책하기에 좋음",별표 4개,5년 전
