작성자,내용,별점,작성일
임영현,"표지판이 불친절하지만, 물어보면 다들 잘 알려준답니다",별표 4개,1달 전
도깨비 (도깨비),서울시내 공원중에서 접근성이 좋고 가족이 편하게 즐길 수 있는 멋진곳입니다 관악산이나 삼성산으로 등산을 하기에도 좋고 서울 둘레길을 걷는 것도 좋습니다 울창한 숲길과 맑은 물이 있는 멋진 장소입니다,별표 5개,4년 전
R “Ro”,퇴근 시간대는 지나서 가야해요 가는길이 좁은것 같아요 이 시간대만 피해서 가면 정말 훌륭한 치유의 숲길 같아요 혹은 데이트 역시 👍 산내음 과 졸졸 흐르는 물소리 와 함께 마음과 정신이 힐링이 되는 곳 입니다 걸을때 마다 양쪽에서 우거진 나무들이 와~ 정말좋아요 아쉬운것은 출 강아지와 함께 산책하기에 너무 좋아요 물론 혼자서도 걷는기분이 정말 좋은곳,별표 4개,4년 전
Sangeon Byun,"초행길이라 관악산계곡 지도보고 찾아가느라 서울대 공동기기원 맞은편 전파천문대주변의 산속을 헤메다 서울대정문 우측 삼성고등학교 옆에있는 나들목공원에 들렀다가 관악산공원 입구로 들어가 관악산공원, 관악산호수공원, 관악산계곡등을 돌아보며 찍은 사진입니다",별표 4개,6년 전
K한나,"입구길도 쾌적하고, 오유월 장미 만개 로즈가든 아름답고 서울대정문에서 십분정도 거리",별표 5개,6년 전
yongxie jin,처음 가봤는데 만추단풍에 완전 도취됨☺아무때 가도 좋은장소인듯,별표 5개,5년 전
이용해,아주좋은 등산로입니다 험악하지않고 평범한 길이어서 누구나 조금만 시간을내어서 2시간정도 산행하기아주좋아요,별표 5개,5년 전
김칠규,호수공원은 나이드신분들은 산책하기 아주 좋은 곳 입니다,별표 5개,5달 전
강유리,서울에서의 쉼터입니다 가깝게 갈 수 있어서 참 좋습니다,별표 5개,8년 전
이상철,잘 정리된 보기좋은 호수공원입니다,별표 3개,5년 전
송경희,호수와 나무와 학교건물이 어우러져 한가롭게 여유를 즐길수 있는 공간이에요,별표 4개,4년 전
황욱필,단풍이 조금 늦게 오는지 만족할만한 정도는 아니지만 그래도 좋았습니다 자하정입니다,별표 3개,5년 전
이옥희,힐링하기좋은곳입니다 관악산 가는길에~,별표 4개,4년 전
Joy Park,쓰레기는 반드시 가져옵시다,별표 5개,수정일: 6년 전
海晶,게이트볼장 앞에 어르신들 마실수있게 음수대공사 하고있음 좋음,별표 5개,수정일: 5년 전
김영섭,관악산 등산하다가 잠시 들린 관악산 호수공원,별표 4개,3년 전
김경아,"한,두달에 한번은 갈려고 마음 먹었는데~ 어쩜 몰상식한 음주 등산객의 흡연으로 인해서 맑은 공기는 커녕 유해한 냄새만 맡고 서둘러 귀가하게 되었습니다",별표 4개,6년 전
무전기박사탑무선통신,"공기도 너무상쾌하고, 너무 좋았습니다",별표 5개,4년 전
LEO SHIN,"숲이 우거져서 시원하고 계곡에 물도있고, 서울대 주차장도 유료이긴 하지만 이용할수 있는 점들이 좋습니다 물속에 들어가서 노는 아이들도 있기는 하지만, 개인적으로 저는 추천하지 못할것 같습니다 제가 말씀드리는곳은 입구쪽이고 상류쪽은 모르겠습니다",별표 4개,5년 전
조양옥,서울 근교에서 이만 한 곳이 없다고 생각해요 산림욕하기도 깨끗한 화장실도 시원하게 흐르는 시냇물 곳곳마다 테이블과 벤치 깨끗한 길 예쁜 장미꽃도 정말 좋아 거의 매일 가는데 아쉬운 건 호수 물이 너무 지저분하다 그 외엔 모두 만족이다,별표 5개,4년 전
배영혁,"시내와 좀 떨어져 있어, 조용하고 공기도 좋고,사람도 많지않으니, 요즘 유행병 예방에도 좋아요 힐체어도 점근이 용이할것 같아요",별표 4개,4년 전
김남일,올라가는 개천변에 버들깅아지가 한창입니다,별표 5개,4년 전
박노원,"서울대 캠퍼스를 좌측으로 두고 조성 되어있어 가벼운 산책과 트래킹, 그리고 관악산 등산시 들러 잠시 쉬어가기 좋은 곳으로 추천할 만 한 곳입니다",별표 5개,5년 전
오판수,숙박할 장소 없슴 놀이터 놀이터 없슴 화장실 주변에 화장실 있어요 반려견 동반 환경 반려견 동반 금지구역임 피크닉 구역 정자에 앉아서 감상하기좋음,별표 1개,2달 전
sw,관악구에 살면서도 산을 즐겨찾지 못하다가 비만관리를 해야겠기에 근래 관악산을 오르며 꼭 들리게되는 장소랍니다 시원한 물줄기를보며 잠시 더위를 식히기도하고 계절이 더 해지면 볼수없을것이기에 더 보게되는 곳이랍니다 잠시 쉬어가세요,별표 4개,4년 전
김기한,주말은 등산객 많고 작은 개천이 가까이 있어서 여름은 인근 주민들이 아이동반 물놀이도 많이 옴 4월초에는 근처 목련과 벚꽃이 볼만 함,별표 4개,5년 전
sangjin jeong,이곳은 관악산 둘래길 옆에 있어서 보기가 좋아요,별표 5개,수정일: 2년 전
한처음,무장애숲길도 있고 관악산이나 삼성산도 등산할 수 있는 곳입니다 관악산 공원이 참 좋네요,별표 4개,6년 전
김기동,과악산등반 서울대방향에서 오르다 보면 멋진 관악산 호수공원을 만날수있다 서울 관악구 주문들은 너무좋겠당,별표 5개,3년 전
Jangsoo Shin,단풍 보러 관악산 산책 갔다가 호수공원에서 주변 경관 감상,별표 4개,8달 전
이정원,호수공원의 기능을 다 하지 못하는 것같아 안타깝네요 청둥오리도 보이고 비단잉어도 보이지만 갈수기의 유입량이 적고 유입량 보다 배출량이 많아 보입니다 서울시와 관악구청의 관심이 필요해 보입니다,별표 3개,7년 전
이현,너즈넉하니 시원하고 맑은 공기가 너무 좋아요,별표 5개,4년 전
이파엘,산책하기에도 좋은곳이고 심신안정에 좋습니다,별표 5개,6년 전
조윤석 (아이스캡 Life),서울대 관악산입구에서 가깝고 관리가 잘되어있어서 가족들과 같이 산책하기 좋습니다,별표 4개,5년 전
마음의부자,관악산 산행중 꼭 지나가는 곳 주변 단풍나무와 어울려 잠시 휴식을하기에 좋은것 같습니 다,별표 4개,4년 전
신순경,관악산의 정기가 다내려앉은곳 공기좋고 주변경관도 참으로좋은곳,별표 4개,5년 전
김희보,생태계를 보고 느낄수있어 좋네요 편안히 힐링할수 있네요,별표 3개,3년 전
녹색걷기,*신림선 무인삼량열차 타고 관악산공원~호수공원까지 테마산책길 걷기 또 지하철 9호선(샛강역)· 1호선(대방역)·7호선(보라매역)·2호선(신림역)과 환승 된다 여의도부터 관악산까지 가는 데 16분밖에 걸리지 않는다,별표 4개,3년 전
전서영,서울대학교 근처에 있으며 힐링코스로 추천합니다 누구라도 왕래하기가 좋습니다,별표 5개,4년 전
김샤이나 (샤이나),가까운 거리에 있는 공원 만끽하며 왔어요,별표 5개,6년 전
유영현,네 관악산 은 서울 대학교 있는데 있어요 좋은곳이에요,별표 1개,4년 전
라젤,무장애산책길이 있어 강아지가 좋아해요,별표 5개,5년 전
고고씨진국,잉어들이 자유롭게 다니고 청둥오리들이 노니는곳 물이 깨끗함,별표 4개,수정일: 2년 전
김수연,관악산 가는길 지나가는곳 삼삼오오 모여서 마스크 내리고 간식먹는 사람 많음,별표 5개,4년 전
미소짓는인형의꿈,날씨 좋을 때 가서 멍 때리기 좋은 곳입니다,별표 5개,6년 전
나미남,관악산입구에 있는 연못으로 가벼운산책하며 쉬어가기 좋은장소임,별표 4개,4년 전
김성수,신림 경전철타고 오랫만에 관악산 호수공원을 다녀 왔는데 좋았습니다,별표 4개,3년 전
김승수,버스로 가기 가까운 휴식처로 계곡이 있고 산책하기도 좋은곳,별표 4개,8년 전
마블,좋아요 정자도 있고 밑으로 조금만 가면 공원도 있음,별표 4개,7년 전
Marc Jacobs,코스김 대학교 옆이라 휴일엔 가족이나 젊은사람들도 많음,별표 3개,5년 전
Jay K.,트레킹 코스 좋고 볼거리 다양해요 공원 물은 좀 지저분해 보였어요,별표 3개,6년 전
이동렬,가끔 마스크 안 쓴 사람이 있지만 그런대로 조용해서 쉬기 좋음,별표 4개,수정일: 4년 전
Albertism Kim,연주대 가는 길 초입,별표 5개,3년 전
문지도,장미원의 아름다운 장미향기 아시나요,별표 4개,5년 전
이법선-대훈,등산하고 산책 가는 과정에 휴식장소로 아주 좋은 곳입니다,별표 4개,7년 전
유엘리,아담하고 숲이 우거져서 산림욕하기 괜찮아요,별표 3개,4년 전
신상화,조용하고 경치 아늑해서 산책하기에 적당함,별표 4개,4년 전
김기범,음~ 음~도시속에서의 산속 좋아,별표 3개,5년 전
김이라,관악산 평지 트레킹하다보면 멋진 공원이 나와요,별표 5개,5년 전
Taegab Han,가볍게 산책하고 돌아가는 코스 공원 입구에서 멀지 않아,별표 4개,8년 전
황의남,"경치가,좋고, 여러가지로,좋운데입니다",별표 5개,4년 전
꼬꼬tv,서울에 이런 공원이 있어서 행복합니다,별표 5개,수정일: 5년 전
Jeongmi Kim (can),"가까운 자연속으로, 좋지요",별표 4개,3년 전
Jack Kim,관악산 입구에 있는 호수공원,별표 4개,7년 전
김세환,아이들 물놀이하기 좋은곳입니다~,별표 5개,5년 전
사인암,정신휴양 하는데 정말 좋은 곳입니다,별표 4개,6년 전
김재진,위에서 본 뷰가 좋다,별표 4개,8년 전
성재윤,관리가 좀 더 잘되었으면,별표 4개,3년 전
권형우,고시촌 주민이라 좋은점 중 하나,별표 4개,5년 전
Eun Hur,부부 산책으로 갔는데 인기좋더라고요,별표 5개,6년 전
달빛사랑,어른할거 없이 산책하기 좋은곳,별표 5개,3년 전
신상철,날씨 좋은 날 아이들과 산책,별표 4개,6년 전
백은자,가을햇살아래~호수 공원 물고기 노닐다,별표 4개,5년 전
이성구,오를 때나 내려올 때나 마음의 안식처,별표 5개,7년 전
