작성자,내용,별점,작성일
뭐뇨,올 때 마다 차가 너무 많아서 힘들지만 과학관도 같이 들리면 주차가 좀 편해짐 많이 걸어야 하긴 하지만 리프트 2회권으로 구매하세요 너무 넒어서 걸어다니기 힘들어요 ㅎ 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,3달 전
Mincho Park,"동물원만 다녀왔는데요 그것만으로도 너무 좋았고 산책하기도 참 좋았습니다 하루종일 있어도 좋을곳이고, 가족단위로 함께 하기 참 좋은 곳이었습니다 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요",별표 5개,9달 전
Sue jin kim,서울에서 가깝고 동물원 미술관 있음 좀 낡긴했으나 리프트 타고 동물원 갈 수 있음 산책로도 있음 그러나 식당이 좀 개선되었으면 좋겠음 스낵코너들도 식당 화장실등을 개선하면 좋을듯 합니다 주말에는 여자화장실 줄이 기네요 칸이 2칸 뿐이라,별표 4개,4달 전
설맘,아기도 어른도 좋은 산책코스 ( 그런데 동물들은 아닌듯 ㅠ ㅠ) 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,2달 전
SEAGULL BUSAN,가족나들이 좋은곳 휴식하기 좋아요 동물원 식물원 다있음 아기들과 같이 많이옵니다 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,5달 전
Isak Gwon,"동물원은 우리나라 대표 동물원답게 좋았습니다 하지만 내부 노점상, 매장, 푸드코트는 가격 대비 질이 정말 실망스러웠습니다😡 좀 더 경제적인 관람을 하시려면 1 관람권도 패키지가 아닌 동물원 입장권만 구매(원내 버스는 어차피 무료이니) 이렇게 추천드립니다 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요",별표 3개,1년 전
김예진,가족들과 좋은 추억을 만들기에 참 좋은 장소입니다 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요 넓은 공원에서 다양한 동물들을 만날 수 있습니다,별표 5개,1년 전
곽경학,아직 겨울이라서 사람은 붐비지 않아서 여유있게 놀고왔다 방문일 주말 대기 시간 최대 10분 예약 권장 아니요 아이와 토요일에 다녀왔다,별표 4개,수정일: 1년 전
RainWalker -,았음 방문일 평일 대기 시간 대기 시간 없음 예약 권장 모르겠음,별표 5개,10달 전
Queen Realty,사자 호랑이 뱀 곰 원숭이 동물 친구들 봐서 너무 행복하고 즐거웠어요 가족들과 함께라서 더욱 소중했어요,별표 5개,1년 전
JaeWoo Kim,애들이랑 스카이 리프트 타고 올라가서 동물들 보면서 산책하니 참 좋았습니다 서울대공원 처음 가봤는데 너무 좋은 추억들 많이 쌓고 왔습니다 방문일 주말 대기 시간 대기 시간 없음 예약 권장 예,별표 5개,2년 전
Park Chanhyup,"아쉬운점은 서울대공원은 우리나라에서 가장 유명한 동물원이기도 한데, 국가에서 관리하다보니 상업적인 부분이 너무 약해요 사진중에 포스투잍 많이 붙어있는것이 호랑이 수호 인가 코끼리열차(동물원입구까지편도)+리프트이용권(동물원입구이서 동물원 최고점까지)+입장권 의 구성으로 패키지입니다",별표 5개,2년 전
Hoon (Curtainman),방문일 평일 대기 시간 대기 시간 없음 예약 권장 예,별표 5개,4달 전
Diver aanything,그리고 미술관 주차장은 매우 협소하여 정말 일찍 올 생각이 아니라면 여기에 주차할 생각은 안하는게 좋다 다만 주차하기 어려울 수 있으니 늦어도 오전 11시30분 이전(주말 기준)에 오는 것이 좋다 가볍게 나들이하기에 정말 좋은 곳,별표 5개,4년 전
최홍렬,오붓한 시간을 보내기 위해 선택한 곳이 서울대공원입니다 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요 취학 전 어린 손주들과 보내기 딱 좋은 곳입니다,별표 5개,1년 전
이시영,고성방가하며 노상방뇨를 일삼는 어른이 되지 말고 아이들을 배려하는 어른으로 공원을 즐깁시다 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,2년 전
Dara,"코로나때문인지 무슨관무슨관 하나도 안 열려있어서 시무룩했는데, 호랑이 보고나니까 다 좋았다 라고 기억에 저장시켜버렸다 b (동물원에서 살수밖에 없는 아이들 제외하고는",별표 4개,3년 전
eunsil Lim,가을단풍 보며 산책하려는 코스로 갔었어요~ 주차장에서 동물원 입구까지 가는 길에 저수지를 지나가며 걷기 좋게 되어 있어서 걸을만 한 것 같아요 근처에 테이블과 의자도 있어서 가볍게 도시락 먹을 수도 있었어요~ 동물원 입구에서 성인은 발열체크 후 입장했는데 공원도 크고 평일에 가서 인지 비교적 사람도 없어서 산책하기 좋았어요~ 뒤쪽 산책로가 꽤 좋았어요 꼭 동물원 구경 말고도 산책로도 추천해요,별표 5개,4년 전
나름의이유,다만 유모차를 끌고 코끼리 열차를 타러 가기위해 유모차를 접고 계단을 한참 올라야하는 사실에 별하나를 뺍니다 유모차 없이 올수있는 저학년 아이들을 가진 부모 또는 연인들 데이트 장소로도 부족함이 없네요 동물원안에 간식을 안파는건 아닌데 너무 비싼가격에 쉽게 손이가진 않네요,별표 4개,1년 전
NAMTAEK KIM,"처음에는 세종대 쪽 어린이공원에 자주 다녔지만, 과천 대공원에 방문하면서 규모나 볼거리 등이 특히 애들과 함께 구경할 때는 좋았던 것 같습니다",별표 4개,1년 전
Sung Eon Lee (Musicsin),나의 어릴적 스페셜한 장소였던 이곳을 내가 성인이 되서 나의 가족들과 다시 찾는다는 것이 생각해보면 얼마나 감격스러운 부분일까요 방문일 주말 대기 시간 1시간 이상 예약 권장 아니요,별표 5개,3달 전
홍차,오전에 보고 점심때쯤 나왔는데 그 넓은 주차장이 꽉차고 진짜 줄이 어마어마했음 방문일 주말 대기 시간 10~30분 예약 권장 예 여유있게 보실 수 있음,별표 5개,1년 전
박영우,"가을 단풍도 멋지고,한가로위 풀뜯는 동물들 보면서 마음의 여유를 찾을 수 있는 곳 대공원 둘레길도 한번 가보셔요 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요 봄에는 벗꽃 만개, 야간에도 좋은 곳",별표 5개,수정일: 1년 전
행복한하루,아이가 동물을 좋아해서 자주 가요 더 더워지면 동물도 사람도 힘들어서 7월 되기 전에 갔는데도 동물들이 더워서 그늘에서 누워 일어나지 않네요 공작관은 이번에 처음 방문했는데 큰 새장에 사람이 들어간 느낌이었어요 새들이 자유롭게 날아다니는 모습을 가까이 봐서 좋았어요,별표 5개,수정일: 6년 전
Rosie,동물들이 많이 없어서 아쉬웠고 갇혀 있는 동물들 보니 마음이 아팠네요🥹 그래도 호기심 많은 아이들이 보기엔 좋을 것 같아요 푸릇푸릇한 자연환경 속에서 걸으니 기분이 리프레쉬되고 좋았어요👍🏻,별표 4개,2년 전
