작성자,내용,별점,작성일
박혜경,으싸으싸 아차산으로 생각보다 넓다 다시 가을에 가야할듯요,별표 4개,1년 전
Chef on travel,"워커힐 인근에서 시작해서 아차산 주변 둘레길이 아름답게 조성되어 날씨 좋은날 산책하기 좋다 주요 시설로는 생태공원, 만남의광장, 황톳길 및 지압보도, 소나무숲, 약수터, 생태관찰로, 파고라 등이 있다 한국관광공사: 서울특별시에서 공원녹지확충 5개년 계획에 따라 조성된 아차산생태공원은 시민과 학생들에게 자연을 접할 수 있는 기회와 자연생태계 학습장 및 체험공간을 제공하고 있다",별표 5개,수정일: 1년 전
DM J (문형),등산하기 너무 좋은 산입니다~,별표 5개,5달 전
렛츠 (Lets),"아차산 배수지공원 ~ 아차산 어울림공원 ~ 아차산 정상 (서울 둘레길 2코스)로 이어지는 공원과 산책로 그리고 등산로 등이 잘 되어있어서 힐링이 되는 듯 합니다 화장실도 깨끗하게 관리가 잘 되어있고, 어울림공원 윗쪽에 편의점과 카페도 있어요 아차산 정상이, 달랑 표지판 하나만 있어서 조금은 아쉽더라고요",별표 4개,1년 전
조혜경,"산책로는 경사가 급하지 않고 데크도 많아 힘들지 않고 좋아요 요즘 이런저런 공사가 많아서 가로막혀 있거나 소음이 있는 건 좀 아쉽지만 기다리면 멋진, 그리고 새로운 풍경을 만나겠죠 계절별로 다양한 자연을 느낄 수 있어서 좋아요",별표 5개,3년 전
김언경,다양한 코스가 있어서 자신의 몸상태에 맞게 정상까지 갈수가 있고 서울의 모습을 눈에 담을수 있는 풍경들에 건강해짐을 느낄수 있는 정겨운 곳입니다 도심속의 자연을 만끽할수 있는 좋은 곳입니다,별표 5개,2년 전
TK Lee,등린이가 오르기 좋은 산이에요^-^ 정상은 별거없지만 가는 중간에 탁트인 뷰가 보여서 좋아요,별표 5개,1년 전
변상언,아차산 생태공원 이번에 처음 가보았는데 규모는 작지만 아름다운 곳이네요,별표 5개,4년 전
soo Yu,아차산 입구 공용주차장 주변에 무료 화장실과 먼지털이 에어브러쉬도 비치되어있어 편의시설도 좋은 편입니다 광진구 인근에 위치한 산이고 가볍운 산행이나 산책하기에 적당한 최고 약 800미터 고도로 일반인 또는 유아동반 산행에 적당한 산입니다,별표 4개,6년 전
워르TV자동차세계여행,아침 9시부터 동의초등학교 후문 주차장에 차를 주차할수 았고 새벽5시부터는 장로회신학교 주차장에 주차할수 있습니다 아차산 주차장 정보 입니다 아차산 정상까지는 1시간이면 올라 갈수 있습니다,별표 5개,1년 전
변옥희,서울둘레길 달빛맞이 야경투어에 참여하여 단체 행사였는데 비가와 달빛은 보이지 않았지만 그래서 더욱 빛난 서울동쪽의 멋있는야경,별표 5개,2년 전
shinjohnss,"참 드문 일 입니다^^ 아차산 능선 부터 아래쪽 둘레길 또 주변 여기저기 체육시설, 공원 , 힐링 사이트 한강에서 바라본 아차산 적은 힘으로 이렇게 훌륭한 조망과 풍광을 이렇게 집 가까이서 즐길수 있댜는 건 서울에 이런곳이 있다는 것은 정말 축복 입니다",별표 5개,5년 전
Nuno C,"대중교통 접근성이 좋으며, 주차는 근처 평일에는 간신히 가능할 수 있으나 주말에는 기대를 않는 게 좋음 서울 둘레길 코스와 연계해서 계획을 짜는 것이 좀 더 알찰 수도 아주 쉽게 서울 전경을 즐길 수 있는 곳",별표 5개,1년 전
손정모,"도심속에 살짝 벗어난 기분을 제공해주며 마 소풍을 가는 마음으로 접근하기 좋은 곳이다 아이들이 가기에 더할나위 없으며 중간에 평상이 있어 잠시 쉴 수도 있고, 도시락을 먹기도 좋다 다만, 할머니들이 자리를 차지하며 떠들며, 화투를 치고 있는지 공원 관리인들이 그런 이들은 내보냈으면 하는 바람이다",별표 4개,5년 전
황진하,아이들과 가볍게 산책하기에 좋습니다 고구려정 정도까지만 올라가도 서울시내를 시원하게 볼 수 있습니다,별표 4개,3년 전
Edgar Han,초등학교 동창들과 아차산 생태공원및 아차산산행,별표 5개,5년 전
Kelly Oh,아차산 용문산은 가벼운 등산하기 좋아요 적당한 능선이랑 오르막이라 운동됩니다,별표 5개,2년 전
너울가지,일주일에 3~4일 아차산에 등산만 다니면서 생태공원은 그냥 지나치곤 했는데 오늘은 연꽃이 예뻐서 잠시 내려왔어요,별표 5개,1년 전
달별,한번 쫘악 올라갓다 내려오면 딱 좋은정도의 운동량이 가능한 산행코스입니다 바위위에 올라가면 기분 너무 좋습니다,별표 5개,5년 전
Seung Hyuk Choi,시간 없을 때 산을 잠깐 즐겨보기에 좋은 거 같다 산 위에서 맥주 막걸리 등등 없는 것이 없고,별표 4개,5년 전
Minju Lee (Julie),일출보러 갔어요 :) 사실은 아차산을 올라가려 했지만 등산객이 많아 등산로를 폐쇄 해 버려서 어쩔수 없이 공원에서 일출을 봤는데 나름 탁 트이고 잘 보였어요,별표 5개,1년 전
joon jay,"생태공원 자체는 약간 평범할 수는 있지만, 화사하게 핀 연꽃은 이 곳에 온 방문객들에게 미소를 띄게합니다",별표 3개,3년 전
이희정,서울의 동쪽 끝에서 서울을 바라보기에 알맞은 산으로 경사도 완만하여 초보자도 산행하기에 아주 좋은 산입니다,별표 5개,4년 전
Charlie Olive Onion Kim,가볍게 하이킹하기 좋아요 화장실 없어요,별표 5개,2달 전
Bart Chang,아기자기하면서도 길이 재미있습니다 약간 만만하게 볼 산은 아니고 적당히 힘도들고 편하기도 합니다,별표 4개,수정일: 5년 전
마엔,해발 285미터로 초보자가 등산 시작하기 좋은 산입니다,별표 4개,수정일: 4년 전
신철안,"근처 버스, 식당, 주차장도 접근성 좋음 코스도 다양하고 초보자부터 중급자까지 하기에 돌계단(은 아니고 돌), 계곡, 낙엽, 흙길 등등 다채로워 지겹지 않았고 뷰가 아주 환상",별표 5개,4년 전
소피아,가볍게 다녀오기 좋은 코스~ 너무 잘 조성되어있다,별표 5개,1년 전
James Lee,동네 뒷산 다녀오 듯 슬슬 올라갔다오기 좋은 산입니다,별표 5개,4년 전
주희,높지않은 산이라 초보자도 쉽게 정복할수 있어요^^ 대신 바위산이라 등산화 필수 야경이 멋진곳이니 야간산행 꼭 해보세요,별표 4개,5년 전
이유정,서울 광나루역에서 도보로 갈 수 있고 많이 높지 않아 쉬엄쉬엄 갈 수 있고 둘레길도 조성 되어 있어 산에 대한 부담감을 덜어 주는 곳,별표 5개,6년 전
까미오,아차산 정상에서 보는 단풍이 일품에요 가족이 함께 가볍게 오시면 좋을것 같네요 ㅎ,별표 5개,3년 전
Cath Choi,"데크길과 계단길이 반반,서울야경 감상하기 좋았어요 처음 가본 길인데 고라니를 두마리나 만난 것도 신기하고요",별표 5개,3년 전
홍승옥,가을단풍도 좋고 산책하기 좋은 데크도 편안하게 다니기 좋아요,별표 5개,2년 전
마상건,가벼운 산책길로 들리거나 아차산 용마산을 이어 등산길에 나서거나 인근 데크길과 연결된 걷긴ᆢ 모두 훌륭한 환경의 중심부라고 할 수 있겠습니다,별표 5개,1년 전
김종수,언제나처럼 누구나 편히 산책할수있는공간입니다 특히 연못주변은 예쁘게 단장되어있네요,별표 3개,6년 전
정선미,여러가지 등산코스가 있어서 초보도 등산하기 좋아요,별표 4개,2년 전
김형재,오랜 세월속에 소나무와 참나무 숲이 도심에 가까워 공원으로 조성되면서 시민의 휴식처로 잘 가꾸어진 공원이 되었다 아차산은 삼국시대에 군사 요충지로 중요한 위치에 한강을 내려다보이는 시계가 확보된 천혜의 요세로 자리잡고 있어 역사적으로 가치가 있는 암반으로 생성된 산이다,별표 5개,6년 전
이동용,새로바뀐 생태공원 과연 무슨생각으로 만든걸까,별표 1개,1년 전
Youngsik Park,산책하듯이 15분정도 해맞이 공원에 올라 서울의 전경을 볼 수 있어 너무 좋았습니다,별표 5개,5년 전
Yim Mr,국내 최고의 생태공원 야간 둘레길은 항상 등이켜져있어 산책하기 너무 좋습니다 단점은 주차장이 작고 저녁 10시면 약수터에서 물이 나오지 않습니다 생태공원은 야간 11시50분까지 운영합니다,별표 5개,6년 전
yeomee yeom,접근성이 좋고 길도 좋아 야간 산행하기 좋은 산입니다 공영주차장은 10시 이후부타 무료입니다 차량으로 진입시 주거 지역쪽 (아차산역 방향)이 아닌 아차산 배수지 공원쪽으로 진입하시는 것이 수월해요,별표 4개,수정일: 6년 전
ST Kim,2020년 새해 첫일출 보려했는데 진눈깨비 내리는등 날씨가 안좋아서 아쉽네요,별표 3개,5년 전
이복재,초보자도 충분히 다닐만한 대중교통으로도 쉽게 다닐만한곳 그러면서 예쁜곳 항상 새로운 코스를 찾는 모험을 즐기면서 다닐수 있는곳 사랑합니다,별표 5개,4년 전
Mr. Kim (똥뚱아부지),"가족, 연인과 함께 오세요 해맞이광장까지 30분이먼 됩니다 해돋이 명소답게 아주 좋습니다",별표 5개,6년 전
정경선,봄기운이 완연한 아름다운 아차산생태공원에 왔습니다,별표 5개,4년 전
김종기,산책부터 산행까지 할수있는곳이라서 좋아요,별표 4개,4년 전
신해인,서울의 풍경이 한 눈에~ 산책하기 좋은 곳^^,별표 5개,4년 전
손기현,둘래길 노약자 자애우 다닐수있도록 데코시설 잘되이습니다,별표 5개,수정일: 7년 전
Seonggu Yea,힘들지 않게 왕복2시간안쪽으로 등산가능 그러나 생태공원에서 가는길이 더 산뜻함 데이트등산 간단히 할만함,별표 5개,6년 전
욕쟁이닥터그린,서울에서 지하철 등 가장 접근성이 좋고 다양한 편의시설이 마련되고 관리가 잘 되고 있는 도시자연공원,별표 5개,수정일: 4년 전
