작성자,내용,별점,작성일
앙부일구,언제든지 혼자 산책하기 좋은곳~ 내가 좋아하는 철길~ 의자에 앉아 먼 하늘 바라보며 무념무상~ 사계절 풍경화를 직접 볼수 있는곳~ 일요일이라 가족단위 산책하는 분들이 많았지만~그래도 좋아요😀 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,수정일: 2달 전
SANGDON LIM,입장료도 없고 한 시간 정도 트레킹하기 좋은 곳입니다 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,2달 전
Jun Lee,"어쩌다 배불러서 온수역에서 여길 지나 버스정류장까지 걸음하면서 산책을 했던 곳인데, 학교 다닐때는 인근에 공원이 아닌 그냥 뭐라고 해야 하나 야생이었는데 세월이 흐르고 지나다 보니 이제는 꽤나 멋진 공원과 시설들이 들어차 있어서 감개가 무량함 조용하게 살기 좋은 동네에 좋은 공원까지 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요 좋은 공원을 주변에 둔다는 것은 삶의 질이 달라지기도 하니까요",별표 5개,수정일: 3달 전
YoungMeen Chung,"시민들의 쉼터로, 산책로로 더없이 좋다고 생각됩니다 (개인적으로는 조금만 더 수목 관리를 해 주시면 더욱 아름다워질 것 같습니다 ) 산책로를 따라 걷다 보면 온실 식물원도, 도서관도 (푸른 도서관) 만납답니다",별표 5개,9달 전
김승현 (SeuKim),철길도 있고 호수도 있어서 산책하기에 너무 좋아요 식물원에선 겨울에도 꽃을 볼 수 있어서 또 좋고요,별표 5개,7달 전
Cho Hanmoo,"데크 전망대도 중간중간 잘 되어 있고, 그늘도 많아 걷기 좋습니다 서울에 이런 곳이 있다니 동네 주민이 부러웠습니다~ 주차장이 좁긴 하지만 수목원의 개성을 살려 특색있게 잘 해놨어요 내부는 벼농사를 지은 습지와 메타세쿼이어, 미선나무, 계류나무, 저수지 등 볼거리가 많습니다",별표 5개,10달 전
로컬피플,"공원과는 달리 음식 반입이 금지되어 있어 조용하고 청결한 분위기가 유지되고, 애완견과 함께 산책할 수 있어서 반려인들에게도 특별한 쉼터가 되어줍니다 주차는 유료이고, 자전거나 퀵보드는 출입이 금지되어 있어 오롯이 자연을 즐기는 데 집중할 수 있죠 서울 한복판에서 이렇게 맑고 깨끗한 공기를 마실 수 있는 곳이 있다는 게 참 신기해요",별표 5개,수정일: 1달 전
썬파워,천천히 산책하면서 나무와 꽃과 풍경을 즐겨보세요 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,9달 전
박윤영,반려견 동반 가능한 수목원이라 방문했어요 7킬로 8킬로 나가는 두 마리 개랑 유모차 가지고 갔는데 길도 포장이 잘되어 있어 아주 좋았습니다 사진 예쁘게 나올 포토존이 꽤 많아요 가까운 곳 산책 겸 나들이 가실 분들 다녀오시면 좋을 듯 합니다,별표 5개,1년 전
오준영,도시공간속의 휴식처로 아침저녁으로 산책하기도좋은 자연공간이기도하고 추억을가질수있는 기차선로도있어서 좋은것같다 대중교통으로도 갈수있기에 찾기에는 어려움이없는장소인것같다,별표 4개,1년 전
MIN-JEONG CHOE,산책로 잘 되어있고 의자도 많아서 산책하다 쉴 수도 있어요 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,수정일: 1년 전
