작성자,내용,별점,작성일
봄돌고래,(긴 데크길이 휠체어도 가능함) 10여가지 색상의 아름다운 장미가 곱게 피어있어요 데크산책로가 거의 2킬로미터정도 깔려있어 산책하기 아주 좋아요 ♥︎ 전망대가 완성됐네요,별표 5개,수정일: 1달 전
김민숙,여러 사람들이 사용하는 공간인데 철마다 정비도 해주시고 기구도 중간중간 점검도 해 주셔서 운동하기 좋습니다,별표 4개,4달 전
이주현,넓직하고 시설도 괜찮은 공원,별표 4개,1년 전
늘푸른,"산책하기 좋은곳,가을의 풍경도 한눈에 가득~",별표 3개,3년 전
이남희,처음 갔는데 규모에 비해 상당히 오밀조밀 잘 조성했음,별표 5개,6년 전
러빙유,아이들하고 숲을 체험하고 이후공원에서 뛰어놀고 좋았습니다,별표 5개,6년 전
김bt kim,올봄에 새단장하여 운동하고 휴식취하기 좋은 쾌적하고 아름다운 체육공원으로 거듭났습니다,별표 4개,7년 전
D DOO,강아지랑 한적하게 산책할수있는 길도있고 공원자체가 넓고 시설도 잘 관리되어있어서 너무 좋아요,별표 5개,5년 전
아이,좋은날 가족연인들과 한께하기좋은곳입니다,별표 5개,7년 전
Deog &,추억쌓기 좋고 정말 공원같은느낌에 좋아요,별표 4개,6년 전
김용문용문,매일 운동하고 있는대요 너무너무좋아요 매일가고싶은 금천체육공원이에요,별표 5개,3년 전
장알바트,공기가 맑고 전망이 좋다,별표 3개,7년 전
이복록,많은 곳에 이러한 체육 공원이 있으면 좋겠습니다,별표 5개,수정일: 3년 전
정에무나,운동장 서너바퀴 돌고 귀가 하는데 건강에도 좋고 힐링하는 기분이 들어서 적극 추천하고 싶네요 산중턱이라 공기맑고 탁트인 전경에 가슴이 시원해지는 느낌이 들어서 너무 좋네요,별표 5개,3년 전
jh se,도서관도 근처에 있는데 너무 괜찮네요 동네에 이런 공원하나 있어야 웰빙,별표 4개,6년 전
가나다,주택가에 작은 공원이라 사람이 많아요 이상한 사람 있으니 조심,별표 5개,수정일: 2년 전
레오지니,운동겸 자주가는 공원입니다 산위에 만든공원이라 공기도좋고 운동장과 헬스기구도 설치되어있고 걷기좋게 길도잘되어 있습니다 혼자 운동 오거나 가족들과 산책오셔도 좋습니다 추천드립니다^^,별표 5개,3년 전
파이팅맨 (파이팅맨),"화장실이 가까이 있으면 좋은데 다소 떨어져 있고, 수돗가의 물위치가 공원내에 있으면 좋을 것은 생각이 듭니다 체력단련기구가 있어 간단히 운동하기에도 좋은 장소인듯합니다 동네 가까이 공원이 있는건 아주 좋은듯합니다",별표 4개,4년 전
앗!염수진이다,진짜 오랜만에 갔는데 시설도 깔끔하게 유지도있고 코로나로 인해 출입금지 구역도 있었지만 공기도 맑고 너무 좋았습니다,별표 4개,4년 전
yong kee lee,집에서 가까운 곳에 위치하여 저녁에 애견의 산책을 겸해서 가벼운 운동으로 자주 다니고 있습니다 알레르기 비염이 있으시면 꽃가루가 날리는 시기는 피해서 다니시길 강력 추천합니다,별표 4개,5년 전
남이천희,조깅코스로 좋고 복합헬스 기구가 있어 헬스 하고 배드민턴 장에서 한시간 치고 나니 땀이송송 집에와서 샤워 하고 몸이가뿐하고 좋아요,별표 4개,3년 전
황창현,금천 체육관에서 출발합니다 호압사 경유하여 삼성산 국기봉 까지 산행으로 운동을 합니다 이틀에 한번씩 갑니다 공원에 운동장 헬스 시설이 잘 되있어서 좋아요 금천구 최고지요~^^,별표 5개,3년 전
hk아그로,"운동기구가 다양하게 있고 베드멘트장,농구장,운동장 둘레길 안마 길 운동할수있는 기구가 갖추어져 있어서 가족과 운동하기 좋은 장소입니다 취미 생활 할수있는 바둑,장기 게임 할수있는 방이 준비 되어 있다",별표 5개,6년 전
sumi yun,"넓은 운동장과 농구코트 모래놀이터 운동기구 코스가 있고 동네 어르신들이 엄청 많은 곳입니다 화장실 앞에 분리수거도 가능합니다 금천구 전반적으로 놀이터 시설이 너무 구식이고, 어린이들 놀이할 만한 공간이 협소해요",별표 4개,3년 전
Gibaik Kim,관악산 줄기의 산과 도심을 연결하는 가교로 다양한 체육 시설과 최근에 만들어진 무장애 숲길까지 자연속에서 도시인의 쉼터가 되어준다 아기자기한 금천구 최고의 근린 생활 공원,별표 4개,3년 전
청산유수,"조깅, 간단한 운동부터, 산책등으로 괜찮음, 반려견 동반 산책도 가능공원 규모는 일반 도심공원에 비해 규모가 큰편이며, 인근 상성산 등산로 인접해있고, 배드민턴장도있으며, 축구, 족구가 각 파트 지정장소별로 있읗",별표 5개,3년 전
Ricky kim,운동기구도많고 주변정리도잘되있는 공원이에요 훌라후프도있고 식수대와 깨끗한화장실과 에어먼지털이개도 있어요,별표 5개,7년 전
SK KU,하늘도 보구 운동도 하고 공기도 좋고 최고최고,별표 5개,3년 전
ch lee (인사이드킹),깨끗하게 잘관리된 공원입니다,별표 5개,6년 전
신영호,걷기운동을 시작했어요 열심히 걷기를 연습하고 있어요 이것도 자세가 중요하네요 ^^❤❤,별표 5개,2년 전
박옥순,공기좋을때 몇시간도 있다 옵니다 너무좋아요 마음껏 운동하고 햋빛쬐고 힘들면 누워있고,별표 5개,4년 전
하야부사Delivery,독산동에 있는 공원 산책로도 길게 잘 돼어있고 운동장도 있다 배드민턴 코트도 있고 조금 옆에는 배드민턴 체육관도 있다 높은 곳에 위치해 있다,별표 5개,4년 전
