작성자,내용,별점,작성일
SJ Yoo,등산 1시간20~30 하산 40,별표 4개,2달 전
신정명,)하고 다음 코스였던 걸로 ㅎㅎ 처음 두어번은 길 때문에 좀 힘들었는데 몇번 오르다 보니 수월했음 불암산 정상 부근에 아이스크림 파는 아저씨도 있었는데,별표 4개,7달 전
Vincent “Vicente” 정 Jeong,아랫 등산로 관리가 안되서 초행길에 피곤하리만치 길을 잘 잃네요,별표 3개,1주 전
도회,불암산 공영주차장에 주차하고 올라갔습니다 계속 오르막이라 힘들긴 했지만 적당히 쉬면서 간다면 1시간 15분 정도 걸려 정상까지 갈 수 있습니다~ 초반 코스는 가파르지만 그늘이 있어 시원하게 갈 수 있었고 중간부터는 거북산장이라는 막걸리 파는 곳도 있고 풍경 보는 재미가 있었습니다,별표 4개,10달 전
김원선,상계역 하차 여름에 야간등산이 멋진산 조망이 최고죠 2023 2 하늘 구름도 예쁜날 힐링 산행 했어요 2025,별표 5개,수정일: 7달 전
김동욱,2km정도의 코스였지만 마지막 1km를 제외하면 무리하지 않고 걸어도 1시간정도 면 됬던것 같음 백세문쪽에서 올라가는 길은 마지막 정상부근 을 제외하면 대체로 완만한 코스였다 원자력 병원 앞 백세문쪽에서 출발해서 상계역쪽으로 내려오는 코스를 선택했다,별표 5개,1년 전
Kong King,전망 좋은 곳이 많이 있으니 즐기시길 바랍니다 중계동쪽에서도 불암산 힐링타운에서 출발해도 2시간이면 하산까지 가능합니다 다만 바위가 많고 바위 위에 돌가루가 많이 있어 방심하면 미끄러질 수 있으니 등산화 착용이 권장되는 산입니다,별표 4개,수정일: 1년 전
돌담,등산초보자들도 충분히 다녀올 만한 코스입니다 중간중간 아이스링크에 준할 만큼 땅이 언 곳이 있어 놀며 쉬며 천천히 다녀왔어도 3시간이면 충분하네요,별표 5개,1년 전
치우,강북오산의 출발점이자 종착점이 되는 공릉산 백세문에서 출발 하는데 암벽이 멋진 산이다 이곳에서의 야경은 환상의 절정을 맛 볼 수 있다,별표 4개,2년 전
김남식 (무명지산),"어둠, 운무 속에 아무것도 봉지않지만 바람에 살짝 걷히는 운무 뒤로 보이는 남양주와 노원구쪽 야경 매력있다",별표 5개,2년 전
구리의지혜CoWise,폐쇄된 등산코스 구분이 명확치 않아서 초행길엔 정상에 오르고 하산할 때 살짝 길을 잃어버릴 수도 있으니 주의하세요~ 맑은 날 오르면 제법 멀리 볼 수 있습니다,별표 4개,6년 전
이민정,정상에서 뷰는 사실 아파트뷰 ㅎㅎㄹㅎ 내려올 때 월계역 방향으로 내려왔는데 둘레길 만드는 중이라 내려오는 길이 험했음 우선 화랑대력에서 입구까지 꽤 걸어야되서 버스타고 이동 추천드림 정상에서 싸온 음식 먹고 하니 4시간 정도 소요됨,별표 4개,2년 전
Sun L,산행 내내 경사가 있어 올라갈수록 시아가 뻥뚫리고 도심을 내려다 보는재미가있음 등산시간은 오래 걸리지는 않음,별표 5개,3년 전
ms (b12k),조금만 올라도 경관이 좋은 바위산 입니다 정상에서 보는 뷰가 시원 합니다 상계역에서 올라 당고개역 쪽으로 내려 왔습니다,별표 4개,2년 전
Andrew,정상까지 대략 1시간 걸리네요 돌계단이 많은편이고 초등학생도 쉽게 올라갈정도예요 아차산이 난이도 1이고 북한산이 5면 대략2 주차장이 넓어서 주차 못할일은 거의 없고요 매번 불암사주차장에 주차하고 올라갑니다,별표 4개,3년 전
해바라기,"초입이 너무 멀고,깔닥고개,죽음의계단이 있지만 그래도 안전하게 정상으로 인도하니 이 얼마나 고마운가",별표 5개,4년 전
박철훈,살던 동네라 자주 다니던 산 짧고 굵게 즐기기 좋으며 뷰도 엄청 좋은편 중간중간 나오는 주점(산장)에서 막걸리도 먹어봐야지,별표 4개,4년 전
Kim,경사가 좀 있긴하지만 등산로 정비가 잘되어 가볍게 운동하기 좋은산,별표 5개,3년 전
안세영,적당한 난이도와 다양한 코스가 매력적인 산입니다,별표 4개,2년 전
인공지능,오르내리는 길이 가파른 곳이 있어 조심해서 산행해야 할 것 같습니다 옆으로 흐르는 물은 맑고 깨끗해 보였습니다,별표 3개,4년 전
오로지,9km만 급경사 1시간 올라가면 정상,별표 5개,6년 전
CR OK,"불수사도북ㅡ불암산, 수락산, 사패산, 도봉산, 북한산ㅡ 5개의 산이 이어져 있는데 더 늦기 전에 이 코스로도 가보고 싶다",별표 5개,4년 전
john jeong,"약간의 미세먼지로 깔끔한 뷰는 아니지만, 정상 갔을 때 그 기분 다들 아시죠",별표 5개,4년 전
솔고래,정상 주변 암석이 많고 중간중간에 산이름답게 바위가 많으나 올라오면 전망도 좋고 초심자들도 재밋게 오를수 있을것 같다,별표 5개,4년 전
Michael Chang,정상의 맛은 좋네요 오랜만에 500너무는 산 올라가니 좀 힘드네요,별표 5개,1년 전
홍소양강,서울의 5대산(불수사도북)중에 제일 낮은(508m)초보들도 등반하기 좋은 산,별표 4개,6년 전
윤용길,아이들이 어렸을때 먹고을로 이사가서 이십년 이상살면서 가까운곳이라서 자주가던 불암산입니다 그때 생각도들고 지금도 멀지 않아서 가끔 가고 있어요,별표 5개,4년 전
한일희,정상까지 한시간 오르기편하고 낮아도 뷰만은 최고임,별표 5개,5년 전
YK J (자유대한민국),우리 기둥과 불암산 등산 & SOTA,별표 3개,2년 전
김관동,노을이 아름다운 곳,별표 5개,2년 전
Hojoon Lee,서울에서 쉽게 접근할 수 있는 산중하나로 예전과 다르게 정상부까지 계단이 설치되어 있어 정상에 쉽게 오를 수 있다,별표 5개,8년 전
yeah HAN,정도 됩니다 별내쪽으로 올라 갔는데 음지라 그런지 모기랑 날벌레들이 좀 많아요^^ 안내판에 여러 코스가 있습니다 저는 두시간 코스를 이용했습니다만 카메라 장비도 무겁고 해서 두시간 반정도 걸렸구요 하산은 50분 걸렸습니다,별표 5개,4년 전
Hyung do Kim,"말이 필요없는 서울 도심의 좋은 산 중에 하나이자, 강북5산종주의 시작점이기도 하다",별표 5개,6년 전
데이데이,구름한점없는 새해 첫 날 불암사코스로 다녀옴 깔딱고개쪽으로 빠르게 치고 올라가면 정상까지 40분 정도면 도착함,별표 5개,4년 전
fox kr,당고계역 서울 둘레길,별표 5개,6년 전
정승민,등산로가 잘 되어진 곳 정상 이정표도 혼란스럽지 않게 잘 되어 있다,별표 5개,2년 전
한주영,"CY 그다지 높은 산은 아니지만, 적당히 산행하기 좋은 산 가는 길의 석천암도 들러볼만함",별표 4개,4년 전
이주형,운동시설이 많고 무엇보다 가족과 같이 가면 좋고 추억도 쌓을수 있어요,별표 5개,3년 전
후추는토이푸들,비온뒤에 불암산은 너무 멋지고 황홀했습니다~,별표 5개,2년 전
청심,험하지않고 둘래길을 돌는되 경치도좋구- 숲속도서관도있구 좋았어요,별표 2개,4년 전
김상태 (왕십리),바위많고 뷰가 좋은 산 높지는 않지만 초보등산에 적당한듯,별표 4개,3년 전
이산,서울의 좋은 산 중 “하나”,별표 5개,1년 전
최태규,불암산 등산도 하시고,별표 5개,3년 전
juneui kang,멋있고 포근하고 때론 웅장하고 암튼 좋다~,별표 5개,3년 전
김삼용,서울 동북부에 위치해있으며 아름다운 산입니다,별표 5개,6년 전
안균철,독특한 바위들이 인상적인 산이다,별표 4개,8년 전
SJ,가볍게 산책 하기 좋은 산이에요,별표 4개,4년 전
오억식,릿찌하기 좋은 암벽이 많아요,별표 3개,4년 전
권영국,쉽게 접근이 가능하고 경치가 좋음,별표 5개,6년 전
