작성자,내용,별점,작성일
時節因緣,비가 많이오고 난뒤에 습지는 매우 건강해보이고 기대를 저버리지 않은곳이다,별표 5개,1달 전
렛츠 (Lets),"바로 북쪽 방향으로, <평화문화진지> 라고 독특한 분위기의 문화 시설 등이 있고요, 동쪽으로는, 중랑천 산책길이 있어요 총 거리 157km <서울둘레길>의 시작점이자, 완주 인증서 발급 등 방문자 센터가 있는 곳 입니다 여름에 돗자리 하나 가지고 힐링 하기에 좋아요",별표 4개,6달 전
김경실,부분 재정비 하여 더 깔끔하며 푸른 잔디밭 여러종류 꽃과 식물들을 곳곳에 꽃밭으로 꾸며져 있어요 물놀이 시설은 아직 미개방 다음주 쯤이면 개방이 될것 같아요 이렇게 아름다운 공원으로 재탄생 만들어 주신 분들과 관계자분들 날씨가 많이 더운데 오랜 시간 수고하셨어요 감사합니다 꾸벅꾸벅,별표 4개,수정일: 1달 전
sh Byun,동네에 잇어 너무좋아요 사계절이 아름다운곳,별표 5개,1달 전
김성기,도심속에서 조용하고 고즈넉한 생태공원멋쪄요 피크닉 구역 정원안에 정자가 있어서 휴식하기 좋음,별표 1개,4달 전
Chris JEON,"생긴건 오래전부터 알았지만 오늘 방문해 보았습니다, 창포원은 조금 어르신들이 많이 계시고 즐기시는 분위기이고 옆에 있는 공간은 젊은 사람들이 많은 느낌입니다, 이런 힐링공강 들이 많아지는건 반가운 일이지만 어떤곳은 추억이 송두리째 사라지는것 같아서 아쉽습니다, 이곳도 일부의 존취와 공존올 하였지만, 조금 아쉽네요 놀이터 아이들이 좋아하는 물분수 놀이터가 있어요 화장실 깨끗하고 잘관리되는 화장실 반려견 동반 환경 목줄만 잘 채우면 동반 가능 합니다 피크닉 구역 가족단위 피크닉 나온 분들이 많아요",별표 4개,1년 전
Lu pin,서울 근교에 있어 접근성도 좋고 계절 느끼면서 걷기에 더없이 좋은 곳 입니다,별표 5개,1년 전
Si Hyeon Nam,"7호선 종점 도봉산역에 걸쳐있어 접근성이 좋고, 주차장은 다락원에 주차하면 3시간까지 무료다 자리가 없어도 도로쪽 혹은 건너편 중랑천변에 주차할 수 있다 5월에 오면 꽃창포, 붓꽃을 많이볼 수 있다",별표 5개,수정일: 2달 전
Alex Ardon,굉장히 넓어서 머리 아플때 한번씩 걷기도 좋고 사진도 잘 나와서 한번쯤 방문하는 것도 나쁘지 않겠다는 생각이 듭니다,별표 5개,2주 전
이정희,공원 조성이 아주 잘되어 있어요~그늘도 많고 중간중간에 테이블 의자가 있어 피크닉 하기도 아주좋아요~예쁜 꽃들도 많아요~,별표 4개,1년 전
구기모,"창포원 안에는 북카페도 있고 작은 못이 있어서 짧게 산책하기에 무척 좋습니다 입구가 두 곳인데, 도봉산역 앞에 있고 뒤쪽에는 따릉이가 있는 입구가 있어서 좋습니다 아담하고 아름다운 곳입니다",별표 5개,2년 전
윤옥인,"각종 나무와 꽃들이 있어, 먼 곳에서 특별히 방문하기 보다는 가까운 곳에 사시는 분들이 산책하기 좋은 곳이다 화장실이 잘 갖추어져 있고 도서관도 있으며, 가볍게 차 한잔 할 수 있는 카페도 있으며, 온도 많은 분들이 이용하고 계셨다 우리도 4남매가 식사후에 차 한잔하고 산책을 즐겼다 5월이 계절의 여왕이라 했던가 오늘 아직 5월은 멀었지만, 싱그러움을 느낄 수 있었던 하루였다",별표 5개,2년 전
이현미,친구들과 만남 후 여유 시간이 있어 방문하였습니다 혼자만의 한적한 시간을 꽃들과 나무와 함께 즐겼어요,별표 5개,1년 전
최돈갑,창포원은 사계절 사진촬영 하기좋은 장소이다 관리를 잘하여서 항상 깨끗하게 잘 정리 되어있어서줗아한다,별표 5개,1년 전
변상언,"지하철 1호선 도봉산역 바로뒤에 있어서 찾아가기도 쉽고, 산책하기 좋은 곳입니다 바로옆 평화문화진지도 함께 가보시길",별표 5개,수정일: 4년 전
ISKRA,"아이들, 가족, 연인, 친구들과 함께 소풍, 데이트, 놀이 다녀오기 더없이 좋은 맑고 청명한 공간이었습니다 (주말의 경우, 인근 도로에서 묵시적으로 허용되는 무단주차가 폭넓게 진행되고 있는 형편입니다) 다만 한가지, 주차공간이 충분하지 않은 점은 '옥의티'입니다",별표 5개,4년 전
견민,봄부터 가을까지 아주 예쁠 듯 좀 삭막하여 4점만 주려고 했었는데 어디에서나 보이는 도봉산이 매력임 대전차방호시설을 이용한 평화문화진지도 꼭 들러보라고 권하고 싶음(안보고 가는 사람이 대부분),별표 5개,2년 전
jeongtae lee,한가지 아쉬운것은 공원에 편의점 정도는 하나 있었으면 한다 잘 설계된 공원입니다,별표 4개,2년 전
