작성자,내용,별점,작성일
예니밍,"데크길이 잘 되어있음, 주차는 다른곳에 해야함 방문일 주말 대기 시간 대기 시간 없음 낮은 산이지만 사방이 ㅌ여있어 정상의 전망이 좋다",별표 5개,4달 전
JongWon Han,계단을 피해 휠체어를 이용하여 산책이 가능합니다 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요 그늘이 많아 산책하기에 좋습니다,별표 5개,수정일: 3달 전
Shinho Lee,무장애길로 휠체어도 가능하게 만들어 두었다 약간의 오르막 내리막 둘레길로 도는 방법이 있고 산 정상 쪽으로 갈 수도 있다,별표 5개,7달 전
안창환,집근처에 이렇게 좋은 동산이 있었다니 정말 좋네요 금방 올라가서 멋진 경치를 볼수있고 공중 화장실도 많고 너무 잘되어 있어요 둘레길도 잘되어있네요,별표 5개,1년 전
김순엽,산책하기 너무좋아요- 황토길 걷고 발 닦고몸까지 시원하죠 운동기구도 다있고 아주 좋아요- 😀,별표 5개,수정일: 1년 전
joy8690,데크길도 아주 잘 만들어져 있고 곳곳에 화장실도 있습니다 자주 산책하는데 경치도 좋고 4계절을 잘 느낄 수 있는 작은 산입니다 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,1년 전
냥냥펀치,"등산가기전 워밍업으로 다니거나 산책용 코스로 다니기 좋다 데크를 새로 깔아 정상까지 오리기 편하고, 옛길은 흙과 나무로 계단이 되어있어 운동하러 가기 딱 좋다 정상에 올라가면 파노라마뷰로 동서남북 다 한 눈에 볼 수 있어 좋다",별표 5개,6년 전
Angela SEONG,"연육교를 지나 중랑천으로 청계천까지 12킬로를 또 계단없는 평지(약간의 오르내림이 더 좋다)로 이어지니 더없는 긴 산책길이 될 수 있어요 5킬로의 숲 데크길, 휠체어로도 산책이 가능하도록 잘 만들어진 길은 남녀노소 누구나 접근 가능합니다 유모차, 휠체어로도 함께 산책할 수있는 동행길",별표 5개,수정일: 6년 전
DASIT,둘레길은 나무 데크로 경사를 최대한 완만하게 하여 걷기 편하게 만들어져 있어 휠체어로도 갈 수 있게끔 잘 조성되어 있다 5km로 산책 겸 가벼운 등산 하기 좋은 곳이다 또한 중간에 약 350m의 맨발로만 다닐 수 있는 황토길을 만들어 놓았고 길이 끝나는 지점에는 발을 씻을 수 있는 쉼터가 있어 신발을 벗고 느긋하게 걸으며 자연을 느낄 수 있다,별표 5개,6년 전
박수한,"잘 정비된 둘레길과 운동기구들, 도심속 녹지공간 비오는 날 우산쓰고 가도 운치있어 좋아요",별표 5개,수정일: 2년 전
배병일,시민건강 자연 휴양지로서 백년대계를 위한 계획 관리가 필요할 것 같습니다 서울의 동쪽시민 건강지킴이 장소로 아주 좋은 장소 입니다,별표 5개,4년 전
아프로뒤로인상파,산책하기 좋게 정비가 깔끔하게 잘 되어 있습니다 코로나 기간 동안 운동코스로 열심히 다니고 있어요,별표 5개,3년 전
Eunju J,"1시간 정도 걷는 거리라 부담 없고 참 좋네요 공기도 좋고 밤늦게까지 걷는 사람들도 많아 안전하구요 걷기도 편하고, 그닥 많이 오른 것 같지 않은데도 서울이 발밑으로 내려다 보이는 신기한 곳",별표 5개,5년 전
Jiyoun Eom,"화장실은 입구에 있고, 둘레길 중간중간 있어요 정문 입구에 숲속 도서관이 있는데, 음료도 팔고 나무가 많아서 공기가 좋은데 코로나 때문에 일방으로 가서 돌면 처음 출발지로 돌아와요",별표 5개,수정일: 3년 전
유희숙,배봉산 둘레길은 나무테크로 되어잇어 무릎이나 발목에 무리없이 운동할수잇어요 매일가서 둘레길 두바퀴 돌고 오면 살도 빠지고 건강해지는것같아요 ㅎ,별표 5개,3년 전
wanki ko,오늘 배봉산 둘레길 건강 걷기 하고 지금 구경중인데 너무좋네요 와이파이가 중간중간 있어서 좋았구요 걷기 생각보다 오래 걸려서 자주오고 싶드라구요 용두동에 가까운곳,별표 5개,5년 전
나세보,화려하진 않지만 정상에서 바라보는 서울의 시티뷰와 마운틴뷰를 동시에 즐길수가 있어 자주 찾는 편입니다,별표 5개,4년 전
정명희,때죽나무가 많은 배봉산은 미끄럼 예방 데크시설이 설치돼 있어 4계절 산책 코스로 매우 좋습니다,별표 5개,수정일: 3년 전
견민,도시 안에서 숲을 느꼈던 곳 접근성 좋고 경관도 좋고 역사성도 있어 좋은곳 다만 아쉬운 점은 사도세자의 무덤이었던 장소가 지도에 표시되어 있지 않아 찾을수 없었던 점,별표 4개,6년 전
송영진,산책하기 딱 좋은 높이입니다,별표 5개,4년 전
강현아,"중랑천 뚝방길만 걸었었는데, 산도 적당히 높아서 산책길로 좋습니다 정상은 잔디밭이어서 전망 완전 좋아요 낮에도 좋고, 밤에도 좋고^^",별표 5개,6년 전
조용상,일부 휠체어나 유모차가 갈 수 있는 길이 조성되어 있음 주변에 산다면 좋은 산책길이 될 수 있을 듯 함 일부러 멀리서 찾아갈 정도는 아님,별표 3개,7년 전
바람따라서,정상의 군부대가 철수하여 현재 일출공원으로 복구공사중이다,별표 3개,수정일: 7년 전
