작성자,내용,별점,작성일
인공지능,"현충일 당일에는 현충원 내에 주차 불가했습니다 유모차대여, 수유실, 매점, 식당, 카페등이 있어 아이와 함께 방문하기 좋았습니다",별표 5개,2달 전
BKstrawberry,"특히 조용한 아침 시간에 방문하면 새소리와 나뭇잎이 흔들리는 소리만 들려서 더욱 고요한 분위기를 느낄 수 있어요 경건한 분위기 속에서 스스로를 돌아보는 시간, 그리고 감사의 마음을 담아 조용히 걷는 시간이 참 의미 있었어요 꽃들이 피어 있는 묘역을 보며, 이렇게 아름다운 일상 뒤에는 누군가의 희생이 있었다는 걸 다시 한번 깨닫게 돼요",별표 5개,6달 전
Ken Lee,특히나 봄 💐 🌼 꽃 시즌엔 더더욱 많은분들이 오셔서 📷사진도 찍으시고 ㅎㅎ 동작역 에서 가깝고 🚌 🚍 버스도 많고 자차 이용시 주차도 편하고 👍 좋아요 서울 한가운데 위치하여 접근도 편하고 근처 주민분들도 운동하러들 많이 오시는 장소입니다,별표 5개,1년 전
Stella,입구는 차량이나 사진찍는 사람들로 다소 복잡하지만 조금만 올라가면 제법 한산해서 조용히 새소리 들으며 산책하기 좋다 서울에서 산책하기 좋은 곳~ 들어가는 차량이 많아 주차걱정이 될 것 같지만 들어가면 주차할 곳도 넉넉하고 주차비도 무료다,별표 5개,1년 전
Marzo Soo,"그나마 집에서 가까운 곳에 계시게 되어서, 그리고 이 공간이 너무 잘 관리되고 있어서 위안이 됩니다 생전에 같이 와봤으면 얼마나 좋아하셨을까 생각하니 아쉬운 마음이 듭니다 할무니랑 행복하게 지내고 계시길🩷",별표 5개,11달 전
렛츠 (Lets),"현충원 주변에 편의시설이 없지만, 입구쪽에 ""만남의 집"" 이라고 있는데, 꽃집, 카페, 편의점 그리고 2층에는 식당도 있어요 순국선열 분들이 계신 곳이라 그런지, 현충원을 조용히 걷다보면, 다른 어떠한 산책에서 경험할 수 없는, 마음의 평온함이 느껴지는 특별함이 있는 곳 입니다 정문 쪽에는 4,9호선 동작역이 있고, 충혼당 뒷길에서 반시계방향 (박정희 대통령 묘소 쪽) 으로 가다가 보이는, 솔냇길로 쭉 가다가 우측 언덕길 (유턴 느낌으로 꺾어서)로 올라가면, 사당동 롯데캐슬 아파트 쪽 (4,7호선 이수역) 으로 나갈 수 있습니다",별표 5개,1년 전
Andy Kim,"현충지와 공작지 연못이 두군데 있고 전직 대통령의 묘소, 산책로들도 잘 조성되고 수양버들, 은행나무, 단풍나무, 산수유, 메타세콰이어 등 나무들도 수령이 오래되고 정돈되어 있다",별표 4개,수정일: 10달 전
블루라군,5월에 날씨좋은날 방문하기좋은 공원입니다,별표 5개,수정일: 2년 전
jade chun,무세티에서 라떼를 마시면서 창밖에 폴폴 날리는 벚꽃 비를 보고는 도구머리 길을 거쳐 능수벚꽃을 보러 현충원에 가다,별표 5개,수정일: 2년 전
Didion,"아직은 때가 아니지만, 봄 가을로 정말 좋아요",별표 3개,5달 전
신정명,봄에 가면 좀 더 좋은 곳입니다,별표 5개,10달 전
BRIANNA “소피” Sopi,"한번도 가본적없었는데,오늘가보았습니다,셔틀이 9시10분부터1시간 단위로있어요,현충원을 셔틀버스로 한바퀴돌수있고,둘레길이 있다는데 오늘은못가봤어요,,",별표 4개,1년 전
Sungtae Jung,예쁜 벚꽃구경이 가능해요,별표 5개,1년 전
B.S Choi,경건한 마음으로 산책하며 명상할 수 있는 호국영령들의 쉼터입니다,별표 5개,1년 전
박상배,현충일을 맞아 아버님께 미리 다녀왔어요 갈때마다 느끼지만 시설이 정말 잘 되있고 주변에 산책로와 경관이 좋아서 인근 주민들이 많이들 오시네요,별표 5개,1년 전
토실씨,건물들은 모두 깨끗하게 관리가 잘되있습니다,별표 5개,1년 전
