작성자,내용,별점,작성일
오준영,공원에서 운동과산책으로 하루의시작과 마무리를 하는곳으로도 잔디로된운동장과 호수가조화를이룬다 도심지에서 자연을접하는 환경이 많지않은점을 감안하면 보라매공원은 입지가좋다 7호선과2호선이 신대방역으로 정문과남문으로 통하며 버스도주변에 정류장을통해이용가능하다,별표 3개,2달 전
masizzung chocowooyoo,"다만 공원을 이루는 식재나 시설 등 조경면에서는 내가 원래 공원의 모습을 모르는상태에서 처음본것이다보니, 어디까지가 원래 공원이고 어디부터가 박람회를 위해 조성한건지는 구분이 되지않았다 전에는 티비화면으로만 봤어서인지 생각보다 더 넓게 느껴져서 쾌적했으며, 편의시설이나 놀이시설도 한번 교체해서그런지 깔끔해보이고 좋았다 그렇기에 개인적 느낌으론 세련되고 보기 좋았다는 인상이었으나, 공원만 따로두고서 객관적인 평가는 현재로선 못할것같다",별표 5개,2달 전
김준혁,저녁에도 구경과 사진 찍기에 정말 좋은거 같습니다 데이트 및 산책하기에 정말 좋습니다 최근 국제정원박람회로 공원이 너무 아름답게 변했습니다,별표 5개,2달 전
김영일,놀이터 다양한 놀이터가 있어 만족도 높음 화장실 중간 중간 있어 불편하지 않음 반려견 동반 환경 반려견도 눈에 많이 보이고 반려견놀이터도 있음 피크닉 구역 피크닉도 가능한 풀밭도 있음 커다란 연못을 돌며 힐링해도 좋고 메타세콰이어 길로 산책해도 좋다 전철역도 바로 앞에 있어 교통도 편하다,별표 4개,2달 전
MB KIM,현재 국제정원박람회 기간이라 평소보다 더 예쁘게 꾸며놨고 사람도 그만큼 더 많습니다 😁 도심에 있는 너무 소중한 공원입니다 평일에는 지역 주민과 직장인들이 쉴 수 있고 주말에는 다양한 방문객이 있다고 합니다,별표 5개,2달 전
S Y,"데이트로 가기에도, 아이랑 놀러 가기에도, 가족끼리 가기에도 좋은 보라매공원 박람회 기간이 기니까 여유 있을 때 한 번쯤 가보시는 것도 좋을 거 같네요",별표 5개,1달 전
정성희,보라매공원 국제정원박람회를 보러 처음 가보았는데 매우 넓고 비행기 구경도 잘했다,별표 5개,1달 전
송상섭,탁구장이 있고 수영장 그리고 공원 옆에테니스장이 존재하고 있다 조깅과 걷기 운동을 할 수있는 넓은 운동 공간과 풋살장 예전 공군사관학교의 공간이 서울의 남서쪽 휼륭한 시민공간으로 자리잡고 있다,별표 5개,3달 전
장선희,놀이터 놀이터 넓고 유아들이 놀기 좋아보였어요 화장실 화장실 깨끗해요 반려견 동반 환경 애견과 산책하기 좋아요 피크닉 구역 잔디밭이 넓어서 좋아용 보라매공원에서 귀여운 메타몽도 보고 여유롭게 시간 보내고 왔네요~ 메타몽 가든은 ㅠ끝났지만 다른 이벤트들도 기대해봅니다,별표 5개,1달 전
이원이,보람매공원역에서 만남 서울 정원박람회 하고있다5월22~10월22까지한다 시간있음 한번은 가면 좋을듯 저녁 소담샤브샤브에서 맛있게 먹었다,별표 5개,2달 전
