작성자,내용,별점,작성일
불꽃의초롱이,주차장은 작은 규모지만 방문하는 사람들이 적어서 주차하기 편합니다 날씨 좋을때 방문해서 사진찍으면 아주 좋을듯합니다 크게 한바퀴 돌면서 산책하기 좋은 곳입니다,별표 4개,6달 전
마지마타,공원 가운데 건물에는 카페와 도서관도 있으며 고급지게 꾸며져 있어 잠시 들려 시간을 보내는것도 좋다 난지한강공원과 매우 가까우며 한번 들려보길 추천함 넓은 공원은 옛 유류 저장고로 쓰이던 건물들 덕에 이색적인 느낌을 주어 다른 공원에서 찾을 수 없는 분위기를 느낄 수 있다,별표 5개,수정일: 10달 전
Mihwa Lee,"주차장도 여유 있어보이던데, 유모차나 자전거도 이용가능하고 강아지 산책시키는 사람들도 보이더라구요 가볍게 산책삼아 돌아보기 좋아요 방문일 주말 대기 시간 대기 시간 없음",별표 5개,9달 전
현한수 (Hansoo Hyun),주차장이 작아서 불편하지만 길 건너 상암경기장에 주차 합니다 원유를 보관하던 일급보안 장소를 문화시설로 개조하여 시민에게 무료로 공개 하고 있습니다 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,1년 전
DanielFran 다니엘프란,더욱 다양한 문화 예술 프로그램이 많아지면 좋을 듯합니다 방문일 평일 대기 시간 대기 시간 없음,별표 4개,10달 전
지성미,멋있습니다 과거 기름저장고 였던곳을 리모델링해서 만든 복합공간 과거 건물과 새건축물이 이질감없이 만들어져 가 볼만합니다 여러동으로 나뉘어져 있으며 카페도 있어요 파사드도 독특합니다 건축상을 받을만 하군요 넓은 광장과 우거진 나무숲으로 주민의 산책로도 있고 전시공간도 있고 주차공간도 넓찍 아이들이 놀기에도 좋습니다,별표 5개,2년 전
김동욱,)느낌도 느낄수 있는 산책로는 길도 잘 되어 있고 가로등도 설치가 잘 되어 있어서 야간에도 오르기에 전혀 문제가 없는 곳이다 예전부터 알고 있었고 종종 왔었지만 뒷쪽에 이렇게 좋은 산책로가 있는건 전혀 몰랐다 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,1년 전
sunok hyun,한적하고 좋아요 주차공간이 좁긴하지만 평일 낮에 가면 괜찮아요 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 4개,9달 전
황뽀,상암동에 위치한 꽤나 괜찮은 공원입니다 가족과 함께 방문하기 좋습니다 아이들 체험하는 곳도 있네요,별표 4개,2년 전
이규임,석유탱크가 있던 곳을 문화공간으로 탈바꿈한 문화비축기지는 주변에 나무들이 많아 산책하기 좋고 야외 공간에서는 다양한 체험과 전시를 즐길수 있어서 좋아요,별표 5개,3년 전
화정이,일반인에게 공개된지 얼마 안되서그런지 깨끗하고 조용해서 관람아니더라도 산책하기도 좋고 둘레길과 연결되어 계속 걸을수도 있고요 한강도 가깝지만 불광천도 가까워서 원하는 산책을 이어나갈수있어서 아주 탁월한 선택이었습니다^^ 멤버들과 한번 더 방문하기로 약속했습니다^^,별표 5개,3년 전
김재경,"밤에는 야시장도 열린다고 하고, 어떤 유류탱크 안에는 카페도 있고 전시관도 있고 교육관도 있습니다",별표 4개,7년 전
Andy Kim,인근의 월드컵 경기장과 하늘공원이 가까워 연계하여 관람하기 좋습니다 과거 석유비축기지로 사용되던 저장탱크들이 도시의 확장으로 이전되고 그 시설들의 일부를 살려 문화예술 전시 공간으로 탈바꿈 하였다 전시품들은 주기적으로 교체되고 터가 넓어 시민들이 둘러보며 휴식하기 좋다,별표 4개,2년 전
KJ Noh (skarero),아이들과 함께 할 수 있는 장소들이 있다 전체적인 동선이 관람객 친화적이다,별표 5개,5년 전
군만두,코로나로 인해 카페 운영도 하지 않고 내부는 볼 수 없지만 인근 주민들 산책 많이 합니다 (마지막 사진 방향) 같은 곳이랑 이어져서 빙 돌면 월드컵 탑이랑 이어졌다고 함,별표 4개,4년 전
이상곤,"6개의 오일탱크를 각각의 테마로 재조성했으나, 프로그램이 부재하고 시설물이 갖는 의미 이외에는 다소 부족해 보입니다 개인적인 생각으로는 시설물이 갖는 의미에 더하여 여기에 에너지 박물관 같은 것을 만들어 에너지의 과거, 현재, 미래를 보여줌으로써 학생들의 체험장으로 만들었으면 하는 바램입니다",별표 4개,2년 전
박상례,별 기대없이 갔는데 너무 좋았어요,별표 5개,4년 전
_ Haechi,드넓은 공간에 옛 비축유기지를 월드컵 개최로 이전하면 남은 시설물을 활용한 문화기지,별표 4개,3년 전
Seonggu Yea,"주차 출차기계 고장이 잦으면 고치시지, 사전정산 하고나오라고 말씀하시기 전에",별표 3개,3년 전
TONY KIM,주차 공간이 여유가 없어 길 건너 월드컵 경기장 주차장 이용하고 걸어 오면 좋습니다,별표 3개,1년 전
SE JUNG PARK (Ben),늦여름에 오면 정말좋겠습니다,별표 5개,7년 전
프리스타일,"특히, 도심 속에서 편안한 여유를 느끼며 문화적인 체험을 할 수 있어, 친구나 가족과 함께 방문하기 좋은 곳입니다 산책로와 전시 공간, 그리고 다양한 문화 행사들이 열리는 이곳은 역사적 가치와 현대적 예술이 어우러져 매우 흥미로운 장소입니다",별표 5개,7달 전
주아,야시장에 푸드트럭이 많았는데 너무 줄었어요~ 그래서 아쉽긴 하지만 아이데리고 가족들과 여유롭게 놀고 즐기기엔 안성맞춤인 곳이예요 강추합니당~ 푸드트럭 늘려주세용 ^^,별표 4개,6년 전
coma mint,사람들도 많지않고 조용히 산책을 즐기기도 좋아요 또 탱크6 안에 가면 에코라운지가 있어서 아이들과 편안하게 책을 읽을 수도 있어요,별표 5개,수정일: 4년 전
