작성자,내용,별점,작성일
김영은,매번 마음이 아플 것 같아 발길을 선뜻 내딛지 못하던 장소 큰 맘 먹고 가족들을 이끌고 찾아간 곳 입구에서의 엄청난 혼잡함에 놀라기도 했던 이 곳 맞은 편에 임시정부기념관이 있구나 하며 간신히 안내원의 안내에 버스 주차장에 슬쩍 주차 주위를 둘러보다 수많은 수형표가 있는 공간에선 눈시울이 뜨겁더라는 바른 어른이 되고 싶으나 여전히 아직도 철부지 같아지는 공간이다 이곳은,별표 5개,1년 전
이득준,독립문과 참배할수 있는 독립관 서대문형무소 유관순 동상 서재필동상 순국선열추념탑등과 주민이 쉴 수 있는 녹지공간 뒤로는 안산자락길이라는 산이있어서 한 번 쯤 가 볼만합니다,별표 5개,1년 전
namyounglee,"역사적인 곳이고, 안산과 인왕산을 같이 하고 있어서 산책 혹은 트레킹도 좋은 곳이라 생각되요",별표 4개,3년 전
박기철,서대문형무소 가는길에 잠시 들리거나 독립문역에 오는길에 잠시 들렀던 공원 입니다,별표 5개,6년 전
Photowriter (Photowriter),"서대문형무소, 독립문과 함께 방문하기 좋다 산책길로도 훌륭하고 한국사람들에게는 의미있는 공원이다 화장실 무료 공중화장실이 있다",별표 5개,1년 전
Kevin Ko,독립문과 서대문독립공원을 지나 안산자락길은 가족들과 함께 할 수 있는 좋은 산책 코스입니다 서울구치소가 1987년 의왕시로 옮겨감에 따라 1992년 8월 15일 독립공원으로 조성하였습니다,별표 5개,7년 전
shinjohnss,일제 강점기를 다시 한번 생각해 볼수 있는 서대문 형무소가 있는 곳이다 형무소를 중심으로 공원이 조성 되어 있다 산책 할수 있고 역사를 돌이켜 볼수 있는 유일한 동네 공원 인거 같다 독립문의 우아한 자태가 아주 인상 적이며 간혹 영화 촬영도 하는 공원 이다~ 여백의 풍요 앞으로도 이런 공원이 많이 생겼으면 좋겠다 사진 올리니 함들 보셔요^^,별표 5개,4년 전
June “어리버리” H,독립공원내 유일한 유료 관람 시설이다 각종 할인 혜택도 있으니 참고 하시길~ 관람료 비싸지 않으니 절대 아깝다 생각 마시고 자주 자주 그리고 오래오래 마음으로 머물렀다 가시길 1963년 국민의 성금으로 탑골공원에 건립되었던 것을 1992년 독립공원 안으로 옮겨왔다,별표 5개,6년 전
ks shin,오늘아침 출근길은 서대문 연희숲속쉼터 에서 서대문독립공원을 거쳐 종로3가 낙원동 도착코스중에,별표 4개,2년 전
BONG,공원 경계를 따라 산책로가 마련되어있어서 빙글빙글 돌며 경사로와 평지를 반복하여 산책하기 좋다 버스 주차장 말고 일반 차량 주차장은 따로 어딨는지 매번 못 찾겠다 도로 소리가 좀 시끄러운 편이나 산책 하고 운동하기엔 불편함이 있는 정도는 아니다,별표 5개,1년 전
김상범,새롭게 바꿔 광장처럼 넓고 께끗하게 봐뀌고 독립운동가에 대한 형무소도 독립관도 있어 배울점이 많습니다 위로 한바퀴 돌다보면 도서관이 나오고 계단 으로도 네려오면 다른곳으로 둘러 볼수도 있고 지하철 타고 갈수도 있읍니다 위치 : 3호선 독립문역,별표 5개,6년 전
SA P,독립문도 좋지만 조금 더 올라가면 서대문형무소가 있음,별표 5개,6년 전
Hyun Chul Kim,서울 도심의 쉼표같은 공원,별표 5개,2년 전
TOMMY HAN,사대문 내 산책하기 좋은 곳이고 이진아 도사관은 꼭 들러보세요,별표 5개,4년 전
Chulhee Park,밤 산책 또는 데이트 코스로도 좋은 곳,별표 5개,4년 전
이젬마,역사적인 독립문이 위치해 있고 연계하여 서대문형무소도 인접해있으며 찻길을 건너면 다양한 먹걸이가 있습니다,별표 3개,5년 전
나야나,대한민국 국민이면 꼭 가봐야 할 곳 가족과 함께라면 더욱더,별표 5개,6년 전
한경훈,도심 속에 이런 친환경 공간이 있다니 귀한 곳 입니다,별표 5개,5년 전
송일범,공원 잘 구성되었고 역사교육에도 좋아요,별표 5개,6년 전
박효숙 (수기박),남녀노소 가리지않고 운동과 산책을 즐길수 있는곳이며 역사공부를 할수있는 곳이다,별표 5개,4년 전
신미영,공간도 넓고 바로 옆에 서대문 형무소 가 있어서 관람하기 편했어요 화장실 조금 멀었어요,별표 5개,10달 전
김헤레나MY,천천히 산책하기 좋아요^^,별표 5개,2년 전
햇살쨍 (햇살쨍),산책하기 좋눈 공원 이진아 도서관도 좋아요,별표 5개,4년 전
J Doya,"최근엔 안산 자락길 조성에 따라 초입으로서 등산객들이 많이 찾고 있기도 합니다 그래서 낮 시간엔 '독립문'을 보러온 사람들이 있고, 저녁 시간엔 공원에서 운동을 즐기는 사람들이 많습니다 서대문독립공원은 외부에서 멀리 찾아오는 사람들이 있다보기는 동네 주민들이 즐겨 이용하는 장소입니다",별표 5개,4년 전
K글라라,오랫만에 친구들과 만나 점심먹고 산책하기 참좋은장소 복잡한 찻집보다는 한두시간 산책하며 돌기좋은것같해요 도심속에 이런 공원 있다는것도좋고 조금 여유를 가지고 ᆢ,별표 5개,5년 전
Gregory P.,역사적 의미도 있고 시설도 좋아요,별표 5개,4년 전
푸드북TV,데크가 잘 조성돼 있어서 산책길로 최고예요,별표 5개,5년 전
WY Han,"인근 안산자락길을 따라 산책로가 조성되어 가족과 함께 부담없는 야외활동을 할 수 있다 우리나라 근대사의 살아있는 현장으로 독립문, 서대문형무소(경성감옥) 등이 있던 자리이며 형무소가 이전 한 후(1992년) 서대문독립공원으로 조성되었다 특히 학생들에게 우리나라의 힘겨웠던 역사를 되돌아보는데 좋은 장소이다",별표 5개,5년 전
Jisu Jeong,가벼운 산책으로 좋습니다 안산으로 가는 길이 잘 정돈되어있습니다,별표 5개,6년 전
박종서,31절 815에는 무료입장 화장실 깨긋 반려견 동반 환경 편하게 산책가능 편의점 1개 있고 서대문형무소 교육차 관람하면 좋습니다,별표 5개,2년 전
Heehwan Roh,산책로도 좋고 트랙킹코스로도 좋습니다 영천시장엔 간단한 먹거리도 있습니다,별표 5개,4년 전
김규민,한국역사를 알고자 하는 분들은 꼭 찾아가보길,별표 5개,6년 전
Jong Min Park,독립문과 구 서대문형무소가 있어서 중국 제국주의에 대한 경각심과 일제강점기 시절 독립운동가 선생님들의 투철한 애국심을 느낄 수 있어서 좋았다,별표 5개,2년 전
gyuan lee,대한민국의 역사를 배울수 있다,별표 5개,5년 전
Hyeongki Hahm,혼자 돌아보기에 좋은 시간이었어요,별표 4개,5년 전
해결자,한국사람이라면 가보시고 선현의 거룩한 뜻을 새기시길 덤으로 영천시장에 들러 꽈배기도 드시면 좋겠지요,별표 5개,4년 전
이영순,안산 둘레길 입구에 독립공원 있다 많은 인파가 몰리는곳 참좋은경험 할것 확신한다 안산 둘레길 정말 멋있게 해 놓았다♡♡,별표 5개,6년 전
권세진,"고등학교 때 만난 첫사랑과 행복한 시간을 보냈던 곳이며, 지금은 비록 떨어져있지만 그 시간은 항상 제 기억속에 행복한 모습으로 자리잡아 있을 것입니다 공원의 이름에서도 알 수 있듯이, 서대문 독립공원은 과거 일제강점기 시절 수많은 한국인들이 착취당하고 고문당하였으며, 사형당하였던 슬픈 장소입니다 잠시 그녀에 대해 묵념하는 시간을 갖도록하겠습니다",별표 4개,7년 전
백경기,"아베와 쥐어봐야 한줌도 안되는 일본 우익들이 야스쿠니 위령소에 갈 때, 우리는 이곳 독립공원 내, 독립관에서 독립운동가와 호국 영령을 기린다 서울 지하철 3호선 독립문역",별표 5개,6년 전
한CO,산책하기 좋은 공원이며 운동기기가 설치되어 있어 체력단련에도 도움이 되고 도시속 공원으론 👍,별표 5개,4년 전
김종석,코로나 때문에 조용하답니다,별표 4개,5년 전
