작성자,내용,별점,작성일
Karolina Krzemińska,두 사람 또는 온 가족이 함께 산책하기 좋은 곳입니다 아름다운 꽃들이 심어진 길과 나무들 사이에 숨겨진 벤치가 매력을 더하며 편안한 휴식을 취할 수 있도록 도와줍니다,별표 5개,1달 전
Joe Cho,"숲길을 따라 산책을 하다 보면 사슴 방사장도 만나고, 아이들과 놀기 좋은 놀이터나 잔디밭, 피크닉 하기 좋은 공간도 많아요 특히 봄에는 벚꽃이 흐드러지게 피고, 가을 단풍도 아름다워 사계절 내내 즐기기 좋습니다 서울숲 갤러리와 카페도 있어서 문화와 여유를 함께 즐길 수 있는 복합문화공간 느낌이에요",별표 5개,2달 전
Sung-Oh Ahn,아침 산책으로 30분 정도 즐기는 곳으로 맑은 공기와 볼거리들 그리고 특히 이곳을 찾는 외국 분들과 마주쳐 담소 나노는 소소한 일들이 일어나는 곳 이에요,별표 5개,2달 전
BK [245],근처에 갈 일이 있어 잠깐 들렀는데 예상했던 것 보다 훨씬 더 넓어서 놀랐습니다 잘 조성이 되어 있어서 볼만한 것들도 많고 언젠가 시간을 들여 다시 와 봐야겠다 하는 생각이 드는 공원이었습니다,별표 5개,1달 전
먹죽귀,"겨울 저녁, 서울숲을 혼자 걸었어요 원래 골프장과 경마장이 있던 곳을 시민공원으로 조성해 2005년에 개장한 곳이라 넓고 시설이 잘 정비되어 있었어요 날씨가 쌀쌀했지만 산책하는 사람들과 강아지를 데리고 나온 분들이 많아 한적하면서도 적적하진 않았습니다 일부 구간은 조명이 부족해 조금 어두운 느낌도 있었습니다 호수 근처 벤치에 앉아 쉬다가 한강 쪽으로 걸어갔는데 강바람이 세서 상당히 추웠어요 공원 주변에는 감성적인 카페와 베이커리, 레스토랑이 많아 식사나 커피 한 잔하기 좋았고 성수동과 가까워 분위기 좋은 곳을 찾기 쉬웠어요 조용히 산책하기 좋은 곳이지만 겨울엔 따뜻하게 입고 가는 게 필수입니다",별표 5개,5달 전
지둥이,사슴 방사장 사슴들도 때깔보니 건초 잔뜩먹고 관리 잘된거 같아 다행이었어요~ 어릴때 와보고 오랜만에 오니 추억도 다시금 생각나고 좋았습니당 ※ 서울숲역 4번 출구 바로 앞 위치 ( 방문일자 2025년 4월 1일 화요일 오후 3시 ) 봄에 꼭 가보세요 공원 자체도 크고 곳곳에 벤치가 비치되어 있어서 피크닉 하기 좋습니당,별표 5개,4달 전
Jisoo Yoon,"시간이 없어 일부밖에 못 봤지만, 굉장히 조용하고, 고즈넉한 분위기가 좋아요 산책하기 좋은 곳입니다😄",별표 5개,3달 전
꼬오옥,"거닐기 좋은 공원입니다 서울에 푸른 곳 찾기가 어려운데, 넓은 공간이 푸르른 나무와 새가 있어 좋습니다",별표 5개,3달 전
JOODY AHN,"한강공원보다 지하철역이 가깝고, 접근성이 좋아서 놀러나오기 좋아보여요 무튼 서울숲이 넓고, 이것저것 행사도 많이 해요 웰니스 뷰티 행사 보려고 방문했는데요",별표 5개,1주 전
"점심맛집과 카페탐방, 간혹 술집",중간중간 포토존이 있음 공간에 넓어서 다양하기 즐기기 좋음,별표 5개,3달 전
Tommy LEE,"넓은 산책길과 약간의 동물사육장이 있으며, 한강공원과도 연결되어 있음 3 서울숲역을 이용하면 편한 접근이 가능함 2 첨부하는 사진은 9월말 사진이라 단풍색은 없음",별표 5개,9달 전
Ohmy Camp,도심속에 자동차전용도로와 한강 그리고 숲,별표 5개,2달 전
YJ Oh,"공원 한쪽에 주차장이 마련되어 있으나 공원규모 대비 넓지 않아서 주차하기 쉽지 않은 아쉬움이 있다 조성된지 20년 가까이 되어서 나무와 숲이 제법 우거져 있기 때문에 도심속에서 평온함과 여유를 느낄수 있는 공간이 되어있다 내부에 문화예술공원, 자연생태숲, 자연체험학습원, 습지생태원 등 4가지 테마공원이 만들어져 있으며, 곤충식물원, 나비정원과 사슴을 키우고 있는 우리도 있다",별표 5개,8달 전
U L,행복해보이는 많은사람들~ 살랑살랑거리는 바람~,별표 5개,3달 전
