작성자,내용,별점,작성일
harry Kim (harry63),천장산은 의릉과 한국예술종합학교등이 인근에 있으며 운동기구및 쉼터가 곳곳에 있으며 데크와 숲길이 잘되어있어 걷기에 좋아요 정상에서 보는 북부간선도로 및 주변야경도 좋고 멀리 북한산과 도봉산 우측으로 이동하여 눈을 돌리면 수락산과 불암산도 조망할 수 있습니다,별표 4개,4년 전
용석정,"계단이 많다 의릉에서 오르는 코스 그리고 경희대학교 이문어린이집과 한국과학 기술 연구원, 한국 종합 예술학교에서 정상을 갈 수 있다 정상에서 불암산 도봉산 등을 볼 수 있다",별표 5개,3년 전
문주희,"가볍게 걷기 좋은길 시원한 바람과 뷰있는 전망대~ 성북,동대문구의 연결이라는점에 또 옆쪽으로는 예전 길이 있기도 하지만 아쉽게 막혀있다 잘정리된 데크길 폭이좁은 느낌",별표 5개,3년 전
숲속의적,천장산에 오르며 자연의 경치도 보고 멀리 도봉산과 북한산도 볼 수 있는 경치 맛집,별표 5개,3년 전
Shadrack Tab,계단이 있지만 가파르지 않아 산책하기 좋아요,별표 5개,1년 전
정리중,지역분들에겐 정말 좋은 산책 코스,별표 5개,1년 전
차세대,둘래길 계단이 많아 나이 많은 사람들은 불편함 놀이터 없음 화장실 없음 반려견 동반 환경 가능 피크닉 구역 없음,별표 5개,4달 전
백영기,홍릉에서출발 천장산 경희대후문쪽으로다녀왔습니다 깨끗하고 계단이많고숲길 조망은 좋은데 운동기구 화장실은 경희대후문쪽한곳뿐이라 좀~,별표 4개,2년 전
유지숙,"월곡정보도서관 뒤 천장산 전망대에 오르면 북악산부터 북한산 비봉, 보현봉, 백운대, 인수봉으로 도봉산 자운봉, 신선대, 만경대까지 완벽한 풀샷을 감상할수 있음당^^",별표 5개,수정일: 4년 전
Julian M,"서울처럼 콘크리트 숲 속에 이렇게 넓은 공원과 멋진 오솔길이 있을 거라곤 상상도 못 했을 만큼 초현실적인 느낌이었습니다 작은 공원일 줄 알았는데, 넓은 숲을 통과하는 긴 오솔길에 깜짝 놀랐습니다 아름답고 싱그러우며 잘 관리된 숲",별표 5개,10달 전
Sumit Ghosh,"두 캠퍼스를 연결하는 산책로가 있는데, 대부분 나무 사이를 지나며 아름다운 자연을 자랑합니다 산책로는 중간에서 두 갈래로 나뉘고, 다른 하나는 어린이 공원으로 이어집니다 가는 길에 북한산과 도봉산의 멋진 전망을 감상할 수 있는 전망대가 있습니다",별표 4개,3년 전
Yura Ibraev,전망은 좋아 보이지만 산불 예방을 위해 12월 1일부터 5월 15일까지 산으로 가는 길이 폐쇄됩니다,별표 5개,2년 전
