작성자,내용,별점,작성일
Karolina Krzemińska,잘 정비된 산책로 덕분에 모든 연령대의 사람들이 활동적인 레크리에이션을 즐길 수 있어요 올림픽 공원은 제가 서울에서 가장 좋아하는 공원입니다 주말에도 평화롭고 조용한 곳을 찾을 수 있어요,별표 5개,3달 전
Jess K,시민들의 소중한 휴시처에요 요즘은 관광객들도 많이 오는것같애요 도싱속에 스위스 부럽지 않은 아름다운곳이라 생각합니다,별표 5개,1달 전
먹죽귀,"올림픽공원은 1988년 서울 올림픽을 기념해 조성된 대형 공원으로 평화의문과 호수 올림픽경기장 호수공원, 88잔디마당 등 다양한 명소가 있어 산책하기 좋습니다 특히 평화의문은 올림픽의 평화적 의미를 담고 있어 멋진 사진 촬영지로도 유명하죠 겨울 저녁에 방문하니 차가운 공기 속 평화의문이 더욱 고즈넉하고 신비롭게 느껴졌어요 호수공원을 걸으며 바라본 고요한 물결은 마음을 편안하게 해주었고 공원 곳곳에 산책로가 잘 정비되어 있어 걷기 좋았어요 올림픽경기장 근처의 넓은 잔디밭은 여유로운 분위기를 더해 주고정원에서는 다양한 식물과 꽃들을 볼 수 있어 자연 속에서 힐링할 수 있습니다 넓은 공간에 잔디 밭고 정원에서 가족 연인 친구 등 봄이 되면 피크닉을 즐기기에도 좋아요",별표 5개,수정일: 3달 전
Tommy LEE,"가을 단풍도 잔잔하게 즐길 수 있으며, 전구역에 Wi-fi 서비스가 됨 4 몽촌토성역 1번 출구로 나오면 서울의 대표공원인 올림픽공원이 있음 2 공원내 2군데 카페가 있으며, 미술관( 소미미술관)도 있음",별표 5개,수정일: 3달 전
권예슬,내일부터 3일동안 비내려서 올해 마지막 벗꽃보러옴 걷기좋음 유료입장료가 없다 좋네 ㅋㅋ 대신 그만큼 볼건없음,별표 4개,4달 전
moonduck,가까이 있어서 지친 일상에 휴식이 되는 곳입니다 정말 좋아요 ㅎㅎ,별표 5개,4주 전
TAEWON KIM,산책하기 진짜 좋아요 어릴때부터 왔지만 지금도 참 크다라는 생각은 여전해요 잡생각있을때 생각없이 걷다보면 기분이 좋아지는 좋은 장소에요~,별표 5개,2달 전
나름의이유,소마미술관 주차장방향에 주차하시고 돗자리를 가지고와서 그늘에자리차지하고 피크닉하기에도 좋습니다 송파구에서 아이와 산책하기도 좋고 날좋은날 안심하고 자전거타기에도 좋은 곳입니다 주차장은 서울시민뿐만 아니라 경기도민도 경기똑D 도민카드의 다둥이 할인 50% 됩니다,별표 5개,9달 전
lala Kim,살짝 흐린 주말 오후에 방문했더니 선선하고 걷기에 너무좋았어요,별표 5개,2달 전
신정명,주차요금 너무 부담스러웠던 기억도 있고 찾아 봐야 사진을 제대로 담았을리도 없겠지만 몇 번 갔었는데 사진을 못 찾겠네,별표 4개,3달 전
