작성자,내용,별점,작성일
H O,"거리가 좀 있는 분들은 주차장은 좁아서 대중교통으로 타고와야 괜찮음 전반적으로 시설도 나쁘지 않고 산책하기 좋은 공원, 서울에서 너구리가 사는 곳은 처음본다",별표 4개,2달 전
Sangmin Kwak,사계절을 뚜렷하게 확인할 수 있고 시즌에는 고등학교 야구시합을 볼 수 있으며 산책로도 잘 되어 있어 조깅 러닝도 즐기기 좋다,별표 5개,2달 전
회 써는마린보이,비행기를 가까이서 볼수있고 아직 주차장이라던지 관리가 덜 되어있어서 아쉽지만 바람쐬러 올만해요,별표 4개,2달 전
한민호,특히 강아지가 너무 많아서 강아지를 좋아하는 분들은 행복하게 산책할 수 있어요 그리고 호수 근처 야생동물인 너구리를 찾는 재미도 쏠쏠하답니다 마지막으로 집가는 길 해지는 노을을 만끽하며 공원을 즐겨보세요 선선한 가을에 가족과 함께 걷고 놀기 너무 좋은 곳 입니다,별표 5개,10달 전
새벽별,해지면 가볍게 러닝하기 좋은곳 너무예쁘다 러닝 산책 데이트 모두 가능^^,별표 5개,3달 전
Juho Lee,주차장 요금은 저렴하지만 너무 좁네요 도착 후 주차완료까지 40분 걸림,별표 1개,1주 전
김지선,예뻐요 산책하기 좋아요 아래쪽은 선유도공원 느낌나요 살짝 미로같은 돌벽 위쪽은 조명등도 잘해놔서 밤에 산책하기 좋네요 여름낮에 가도 좋았는데 나무 많아 공기가 달라요~^^,별표 5개,1년 전
여행책방,공영주차장은 작지만 10분에 100원이라 저렴해서 좋아요 폐정수장을 멋지게 변신시킨 공원입니다 100인의 식탁이라 불리는 식탁에서 소풍을 즐기기도 좋구여 잔디밭도 넓은데 지금은 휴식기라 들어갈 수 없어요,별표 5개,2년 전
최명권,"강아지 산책하기 좋습니다 서서울호수공원은 양천구, 강서구, 고강동 사람들의 쉼터입니다 옆 능골산에서 맑은 공기가 내려와 도심 치고는 공기의 청량감을 느낄 수 있습니다",별표 5개,4년 전
HYEKYUNG SON,강아지와 늘 산책하는 공원입니다 깨끗하게 관리가 잘 되어있지요 비행기 소음이 큰게 단점이지만 그로인해 분수가 춤을 춥니다,별표 4개,4년 전
박성철,가끔씩 들러 가볍게 운동하기에도 산책하기에도 사진 찍기에도 좋아요~♡ 무료 이용이고 주차도 5분 단위로 50원씩이니 필요한 시간만큼만 있다 오기에 부담이 없네요 규모는 작지만 아담한 호수도 있고 나무도 많아서 지금 시기에는 단풍도 예쁘네요,별표 4개,4년 전
한선우,"꽃과 초록이 우거진 조경도 훌륭하고, 편하게 산책할 수 있는 둘레 산책길도 좋고, 특색있게 설계한 정원구경도 매력적입니다 김포공항에 인접하여 비행기 착륙소음이 매우 큰데, 그 소음이 날때마다 호수 한가운데 41개의 분수가 작동되어 솟아 오릅니다",별표 4개,4년 전
김현정,주차는 생각보다 오래 기다리지 않아 좋았어요 공영주차장이 야외인데 다른곳 보다 넓었어요 일산 호수공원보다는 많이 작지만 등산로가 있어서 강아지와 함께 운동하긴 좋았어요,별표 4개,수정일: 2년 전
황명의,아기자기 하다면 표현이 맞는지 잘모르겠네요 신월정수장을 이용해 멋진공원을 만들었네요 산림훼손을 덜하고 운동기구도 많고 산책로도 너무좋습니다,별표 5개,수정일: 2년 전
서현수,종종 걸으러가는데 달리는 분들도 많고 휴일엔 텐트도 많이 펴지고 가족이 노는 공원도 되고 너구리 거북이 잉어 아기들도 좋아해요 :),별표 5개,10달 전
bobo lee,세곳에 시설이 있고 깨끗하고 넓어서 사용하기 좋아요^^ 반려견 동반 환경 반려견과 산책하기 좋고 넓은 잔디광장이 있어서 많은 반려견이 모여서 서로 교감하기도 좋아요^^ 피크닉 구역 여러곳에 피크닉을 할 수있도록 해놓아서 사용하기 좋아요^^ 넓은 공원안에 호수가 있어 편안함을 주고 산책로와 정원이 잘되어 있어 반려견과 산책을 하기에도 좋은 곳이에요^^ 그리고 호수 옆에 음식을 가져와서 먹을 수있는 평상도 잘되어 있고 정문 앞 분식집에서 떡복이랑 오뎅 순대등을 사다가 먹어도 맛있더라구요^^ 놀이터 아이들이 놀 수 있도록 잘 꾸려진 놀이터가 있어요^^ 화장실 정문 옆에랑 호수 앞이랑 후문 쪽,별표 5개,수정일: 2년 전
Todd Cho,봄에는 산책로 주변에 뱀을 조심하라는 표지판이 붙는데 실제로 뱀을 목격했던적은 한번도 없다 아쉬운점은 주변에 주차할곳이 없어서 걸어서 가는게 좋다 쉽게 갈 수있는 좋은공원이다,별표 4개,6년 전
이소연,넓은 잔디밭과 작지만 호수 산책길 잘 되어있네요 머리 위로 떠다니는 비행기까지~^^ 뱅기 소음만 빼곤 나들이하기 좋아요,별표 5개,5년 전
허윤지,예쁘게 잘관리되었구 간단하게 운동겸 산책하기 이뻤는데요~♡ 입구마당쪽에 할아버지 할머니분들이 공원 앉는곳에서 술잔치하시구 담배피우시는게 썩 좋게보이진 않았습니다ㅠㅠ 가을 제대로 느꼇지요~ 시기가 시기인만큼 단풍여행은 못갓지만 집근처 공원에서나마 산책하며 단풍즐겼습니다~,별표 5개,4년 전
강이안,산책하고 운동하기 좋은 공원 작은 산으로 된 코스도 있어 등산 느낌으로 올라갔다가 내려올 수 있다 공원 크기도 꽤 커서 조깅하기에도 좋다,별표 4개,6년 전
부엉이,가을밤풍경 멋짐 산책하기 좋아요 화장실도 많아서 편리함 부천 고강동쪽으로 너무어가는길도 있고 경인고속도로를 육교로 거러 신월7동쪽으로 건너갈수도 있어요,별표 5개,4년 전
환환,밤에 산책하기 좋았다 여기도 선유도처럼 과거에 정수장으로 쓰던 곳을 공원으로 조성한 곳이다 신월동에 위치한 서서울호수공원,별표 4개,3년 전
여행자Dewey,나들이하기 좋지만 주차장이 주말에는 붐벼요 멍멍이들도 많고 가족들도 많이 산책하는 공원,별표 5개,10달 전
유자,자연친화적이면서 산책 러닝 피크닉하기에 좋음 건물 테마도 괜찮고 너구리도 살아요,별표 5개,1년 전
파르비나,온수 알라뷰♥) 강아지 산책 & 운동하기 좋은 공원으로 호수에는 오리도 있고 낙엽도 예쁘게 떨어져 노을이 질때는 색이 아주 이쁜 호수공원 산책로 ★★☆ 풍경 ★★☆ 화장실 ★★ (완전 깨끗하고 환기도 굳,별표 5개,5년 전
아르카나,🌸🍁🍂🌻 비행기 소음 방지 분수도 나오고 너구리 출몰이 많다는데 아직 한번도 못봄👀1,별표 5개,2달 전
Steven Hwang (아쭈s),"넓은 잔디밭과 산책로~충분한 공영주차장~저렴한 주차비~나름 볼거리가 많은곳 최근에는 서서울교육센터에어 주최하는 행사가 많아져서 봄,여름,가을,겨울 모두 볼거리, 즐길거리가 많아졌습니다~^^",별표 5개,수정일: 2년 전
유연한전시리뷰 (Muse Art Salon),산책하기 좋아요~ 강아지들도 많고 가족단위로 놀러나온 사람들도 많아요 잔디는 못들어가서 조금 아쉬웠어요 ㅠ 그리고 서서울예술교육센터가 있어서 다양한 교육프로그램에 참여도 가능할 것 같아 좋아요:),별표 5개,3년 전
박정미,걷기좋은 둘레길까지ㅡ완벽합니다 큼 그거빼곤 다 좋은곳 야구장 호수 주변공원,별표 5개,1년 전
이동근,쉬기좋고 산책하기도 좋고 등산도 좋고 애완견도 놀아주기 좋아요 안에는 없지만 정문쪽 분식집은 음식판매 합니다,별표 5개,1년 전
문서영,작은 호수와 정원이 아름다운 공원입니다 공항과 가까워서 착륙하는 비행기를 자주 보게 되는데 비행기 덕후라면 좋아할듯합니다 저녁에는 너구리도 만날수있으니 간식을 준비하는것도 좋을것 같아요,별표 5개,2년 전
