작성자,내용,별점,작성일
The Fantasy,"운동도 할 수 있게 운동기구도 설치되어 있고 놀이터도 있고 좋은 공원 같다 간단히 한 바퀴 돌거나 산책하면 좋은 곳이다 넓고 쾌적한, 도심 한가운데 있는 공원이다",별표 5개,2달 전
낄낄빠빠,첫째 아이의 학원이 근방에 있어서 둘째와 자주 가는데 관리도 잘되있고 아이와 할게 많다 그물망도 있고 넓은 공터가 있어서 자전거나 공놀이도 할수있다 여름에는 물놀이까지 할수있고 더우면 들어가서 쉬면서 무료로 보드게임까지 할수있는 곳도 있다 도서관도 있어서 하루종일 놀수있는 곳,별표 5개,1년 전
Lisa J,산책하기 좋고 살롱에서 장기까지 하면 좋음,별표 5개,5달 전
요즈,이번에 다시 리모델링해서 재개장 했습니다 파리공원은 물놀이 시간 때 방문하면 가족들끼리 물놀이 할수 있습다 중앙광장에 도서관과 화장실 파리공원을 설명하며 문화 교육을 할 수 있는 실내 휴게공간등을 잘 갖추고 있는 공원입니다 공간공간이 잘 설계되어 보는 눈이 즐거우며 산책하기 깔끔한 공원입니다,별표 5개,3년 전
Productive Minho,"# 어쩌다 들를 만한 장소 나들이로 들를 만한 곳은 아니고 한번 쯤 산책해볼 만한 공원이에요 한국 - 프랑스 수교 100주년 친선 목적으로 조성한 곳이라, 에펠탑 조형물과 화단 등 현지를 일부 수용한 시설이 보입니다 입구 쪽엔 ‘살롱 드 파리’라는 어르신들이 시간을 보낼만한 센터도 있습니다",별표 3개,1년 전
미르타임즈,벤치와 파라솔 테이블 등 편의 시설들도 추가되고 야간에도 조명 시설 변경으로 인해 기존의 어두운 사각지대를 많이 줄였습니다,별표 4개,2년 전
환환,새롭게 조성된 파리공원 ) 파리공원 양쪽으로 한 쪽은 절이 그 반대편에는 성당이 있다 파리공원은 프랑스 파리와 수교를 기념하며 만들어진 공원이다,별표 4개,2년 전
최명옥,리뉴얼되어 운동기구가 최신형으로 운동하기 좋아요,별표 5개,수정일: 3년 전
seongho lee,잘 정비가 되어 아이들이 뛰어 놀기 좋아요 파리 올림픽을 기념하여 파리공원에 놀러가는것도 재미 있습니다,별표 5개,1년 전
SEUNG JOON LEE,"인근에 양천도서관이 있고, 공원 근처에 노변 주차장을 갖추고 있다 오래된 공원이라 수목이 울창하고 소나무들도 멋지지만 관리가 너무 소홀한곳입니다 또 농구대와·철봉·역기 등 체육시설과 산책로도 갖추어져 있다",별표 4개,4년 전
이남희,멋져브러~ 한국과 프랑스는 사이가 좋은 혈맹관계이다,별표 5개,1년 전
유혜령99,지난봄 파리공원 산책로에서 밤에 성당의 모습은 최고예요 사계절이 모두 아름다운 역시 오랜시간 조성된 공원이라 으뜸입니다,별표 5개,4년 전
김영섭,"29,618㎡로 공원 크기는 크지 않지만, 목동 아파트 단지 사이에 있어 시민들의 휴식처로 사랑받고 있는 공원입니다 도심속 작은 공원, 파리공원 양천구 목동에는 우리나라와 프랑스 수교 100주년을 기념하여 만든 파리공원이 있습니다",별표 4개,2년 전
KYOUNGTAE MIN,"파리공원은 목동 2단지, 목동 3단지, 목동 5단지와 접하고 있으며 주변에 학원가와 도서관까지 있어서 그런지 산책하는 주민들도 많고 학생들도 많은 편이에요 파리공원 주변으로 산책로가 잘 조성되어 있어서 개를 산책시키는 주민들도 심심찮게 볼 수 있어요 파리공원 노상공영주차장은 평일 19시 이후, 토요일 15시 이후에는 무료이며, 공휴일과 일요일에는 무료로 개방되요 또한 파리공원에는 운동기구도 많고 바닥분수도 있어서 가족단위로 운동과 산책을 즐기기에 좋은 것 같아요",별표 3개,2년 전
커노(kerno),"리뉴얼 후 운동하기 더욱 좋아졌고 깔끔하니 좋습니다, 일주일에 3번 이상 방문하고 있어요",별표 5개,1년 전
Bart Chang,"주차공간은 없지만, 아파트숲에 작은 공원이 있어 좋습니다",별표 5개,2년 전
행복한 남자,그 문턱에 공원은 나의 사랑의 놀이터 였네요 파리공원 사곁에 30년전 추억이 있슴은 오늘의 아련함으로 다가옵니다 아이들과 카메라를 찍는 아가씨가 오늘따라 정감있게 다가옵니다,별표 5개,6년 전
DH,탁 틔여있어서 산책하기 좋다 깔끔하고 시설이 잘 정돈되어있음,별표 5개,2년 전
Jeoni,새로이 정비된 모습이 너무 보기 좋네요 우선 앉을 수 있는 다양한 공간이 너무 인상적 입니다,별표 5개,2년 전
Kim Romeo,"운동 기구며 테이블이며, 아이들 놀이터, 탁구대, 분수대 등 편의 시설을 많은것은 좋은데, 사람이 너무많고, 테이블에서 술을 먹는 사람도 있고, 이래저래 뭔가가 아쉬운 느낌이 드네여 ㅜㅜ 2023년 06월 06일 : 요즘 분수도 나오고 해서 막내랑 다시 찾은 파리 공원 분수때문에 아이들이 많네여",별표 4개,수정일: 2년 전
jeongtae lee,아이들 어렸을 때 바닥분수에서 즐겁게 놀던 기억이 리뉴얼 후 공원이 조금 더 세련되고 모던해졌다,별표 4개,3년 전
Krakatoa XC,길막고 포크레인이 지나가며 공사 중인데 오픈은 왜 한거냐 리모델링 했다는데 그다지 안 바뀜,별표 3개,수정일: 3년 전
