작성자,내용,별점,작성일
Amphawa Choi Family,"사진에 다 담지 못하였지만, 정말 깨끗하게 잘 관리된, 볼거리 많은 공원입니다 산책 후, 양화대교 위에 있는 전망좋은 카페(진정성)에서 커피나 음료를 드시는 것도 추천드립니다 내, 외국인 가족, 연인 또는 홀로 산책을 하시는 모든 분들께 정말 추천드립니다",별표 5개,3달 전
KWON SOOJIN,날씨까지 도와주니 찍는대로 멋지게 나와요,별표 5개,3주 전
4885,아름다운 선유도공원 산책하기도 좋고 쉬어가기도 좋아요,별표 5개,3달 전
아자자장,"넓고 산책로가 잘되어있고 시설물들이 독특하고 신기함 사진출사하기에 좋은곳 곳곳에 포토존도 많고 중간에 쉴 수 있는 공간도 마련되어있음 주차장은 양화한강공원 도보 10-15분거리, 버스 잘되어있음 돗자리 가지고와서 휴식을 취하는 사람도 많고 화장실도 관리가 잘되서 편하고 깨끗함 나들이 하기 좋은곳 화장실 화장실 쾌적 깨끗 관리잘됨",별표 5개,1년 전
여행책방,주차장 없지만 한강공원 주차장에 주차하고 선유교를 건너 가면 한강의 멋진 풍경을 감상할 수 있구요 공원내는 다양한 꽃과 나무들이 멋지구요 폐정수장 건물을 이용해서 만든 쉼터가 정말 좋아요 한강을 바라보는 정자도 있구요 나루라는 피자랑 떡볶이등을 먹을 수 있는 한간전망 카페도 있어요 피크닉하기 정말 좋은 공원이에요,별표 5개,수정일: 4달 전
Yunah Hahn,"잠시 쉬기에 딱좋은, 피크닉 하기에도 좋고, 걷기에도 좋고, 책읽기에도 좋고 너무 마음에 드는 공원이다",별표 5개,1년 전
NAMTAEK KIM,"* 선유도 가을 단풍과 산책, 노을하늘, 한강뷰 서울시 영등포구 양화동에 소재하는 한강의 하중도 선유도는 본래 선유봉이라는 작은 봉우리 섬으로 일제강점기 때 한강의 홍수를 막고, 길을 포장하기 위한 암석을 얻기 위해 봉우리를 깍아 암석을 채취하던 섬이다 선유도는 1978년부터 200년까지 서울 서남부 지역에 수돗물을 공급하는 정수장이 설치되어 사용되다가 200년 12월 폐쇄된 뒤, 서울특별시가 164억 원을 들여 공원으로 조성하였다 선유도공원에는 한강을 바라보면서 공원을 이용할 수 있도록 양평동 한강시민공원 양화지구와 선유도를 잇는 너비 4∼14m, 길이 469m의 보행전용 교량 선유교가 설치되어 있다",별표 5개,9달 전
benny,조용하게 산책할 수 있습니다 짙은 가을을 느끼기에 좋았어요,별표 5개,8달 전
김앗사가오리,"너무 더웠지만, 정말 좋아하는 곳",별표 5개,3주 전
JY Park,양화한강공원 3주차장에 주차하고 섬 한바퀴를 둘러보고 나오는데 두시간 정도 걸리니 방문할때 참조하세요 선유도 공원은 오래되고 쓸모없어진 공간을 어떻게 활용하면 좋은지에 대한 훌륭한 예시 입니다,별표 5개,1년 전
베리베리스위트,"2024년 5월 14일 (화) 전망대 공사해서 깨끗해지고 좋네요 새소리, 푸른하늘, 연두빛 잎사귀, 따스한 햇살, 바람에 날리는 꽃향기 행복한 봄햇살 가득하고 병풍처렴펼쳐진 한강, 북한산뷰 보고 힐링하고 왔어요",별표 5개,1년 전
jounghun ha,가볍게 산책하기 좋습니다 오늘은 날씨도 좋고 바람도 불고 단풍도 예쁘네요,별표 4개,9달 전
심종섭,"관리가 잘 되어 있고 여유롭게 산책을 즐길수 있는 화장실 깨끗하고 관리가 잘 되어 있음 폐정수장을 활용한 공원이 한강, 여의도, 북한산을 다 바라 볼 수 있고 한번쯤은 가볼만한 곳",별표 5개,1년 전
양미숙,사철 아름다운 재생 생태 시민공원으로 산책하며 자연과 교감하기 멋진 한강 공원이예요 반려견 동반 환경 반려동물과 산책하기 좋아요 반려견과 전동차나 자건거등으로 타인에게 피해주지 않도록 관리안내를 철저히 시행하고 있어요,별표 4개,수정일: 3달 전
jade chun,"공원으로 가서 수생 식물들과 잘 꾸며진 조경들을 구경하면서 작약, 찔레꽃, 해당화, 대 숲, 수련이 만개함에 경이로움과 자연의 신비를 다시금 느꼈어요 5/12 선유도, 초봄에 새싹들이 틀 때 왔다가 벚꽃 철을 놓치고 장미꽃 잔치를 보려고 왔어요",별표 5개,4년 전
황홍규,"신선이 노닐던 선유봉이었다 섬이 아니었고 한강 남쪽에 붙어있던 지역이었다 여의도 개발을 위해 바위와 흙을 캐면서 섬이 되었다 이후 용산 지역 주민을 위한 정수장으로 개발되었다 이제는 공원으로 바뀌었다 한강 남쪽에 설치된 선유교를 걸어서 들어갈 수 있다 한적한 곳이라 기분좋게 산책할 수 있다 나루 카페테리아 2층 건물에서 차 한 잔을 하며 한강 풍광을 차분히 즐길 수도 있다 양화대교 출입구쪽 선유도 이야기 전시관을 꼭 들러보길 추천한다 Seoul My Soul 화장실 인포메이션 센터 건물 내에도 있고, 별도 화장실 건물도 있으니 불편함이 없다",별표 5개,1년 전
hyunsook kim,"3월 중순이라 선유도공원은 아직 겨울처럼 좀 황량했지만, 사방으로 한강이 있어 물을 보며 산책하기 괜찮았다 벤치그네도 즐기면서 한강을 바라보며 쉴 수 있어 좋았다",별표 4개,1년 전
