작성자,내용,별점,작성일
이득준,경복궁과 청화대 그리고 멋진 서울전경을 볼 수 있는 산입니다 사직공원이나 창의문 쪽으로 주로 성곽을 따라 계단으로 올라가면 되는데 그리 힘들지는 않습니다 외국인도 많이 오고 어린이도 쉬이 올라갈 수 있을 것 같아요,별표 5개,수정일: 4달 전
렛츠 (Lets),"한양도성 코스의 난이도는 1(쉬움)~5(어려움) 중에, 2레벨 정도 이고요, 마지막 20분은 경사가 가팔라지면서 난이도가 3~4까지는 올라갑니다 부암동 쪽으로 내려가는 길에, <더숲초소책방> 카페, <청학 문학도서관> 등이 있으니, 연계해 들리시면 더욱 좋을 듯 합니다 산 정상에서의 경치가 좋지아니할 수 없지만, 점수로 따진다면, 5점 만점에 3",별표 4개,수정일: 3달 전
홍홍찌,인왕산 가볍게 등상할 수 있는 코스 저는 무척 즐겁게 웃으면서 다녔습니다 ✌️⛰️,별표 5개,1달 전
Insang Kauh,저는 인왕천약수터를 거쳐 범바위 부근으로 올라가는 길을 선호하는데 경사가 급하고 짧은 구간이지만 깊은 산을 오르는 느낌이 난다 산행 후 수동동계곡을 거쳐 서촌에서 식사를 해도 되고 이회영 기념관과 딜쿠샤를 본 후 독립문 쪽으로 내려와 대성집이나 영천시장에서 식사를 해도 좋다 인왕산은 성곽을 따라 오를 수도 있지만 계단이 많아서 단조롭다,별표 5개,10달 전
jounghun ha,인왕산 등산은 왕복 두시간이 조금 너무었습니다 서대문 독립공원주차장에 세우고 무악재하늘다리에서 올라갔는데 오후에도 사람이 많네요 바람도 시원하고 구름도 예쁘네요 땀도 알맞게 흘려서 상쾌합니다,별표 4개,1년 전
Keith Lee,이번에 인왕산을 다녀왔는데 청와대 인근 통행이 편해져서 아주 좋았습니다 서울을 방문해서 가장 인상 깊은 것은 아름다운 산들이 많다는 겁니다,별표 5개,2년 전
SeungHyun Lee,초보 등산객들에게 추천하며 한시간 정도 걸린다 내려오는 길은 북촌을 통해 가능하며 아래로 내려므오면 맛집과 카페들이 많다 도심에서 가까우며 산책느낌으로 쉽게 오를 수 있다,별표 4개,1년 전
BONG,홍제 개미마을부터 올라와서 부암동 내려가는 코스도 좋고 독립문 쪽 부터 올라와서 수성동 계곡 내려가는 코스도 참 좋다 슬쩍 둘러서 돌기에도 좋고 안산보다 뭔가 바위가 많아 더 매력있고 아름답게 느껴지는 산 언제 가도 고즈넉하니 조용하게 즐길 수 있는 야트막한 이쁜 산,별표 5개,1년 전
Brightwise PARK,"전 세계 주요 수도 중에 서울처럼 지하철을 타고 접근가능한 산들을 가진 대도시들이 얼마나 있을까 싶다 야간조명등과 스틱 등 안전장비를 갖추고 일몰 전 올라가서 일몰 후 정상에서 멋진 서울 야경을 감상하고 내려오는 분들도 많음 서울의 전경이 가장 잘 조망되는 곳 중의 하나로, 인왕산 내에도 수성동계곡 등 볼거리가 많지만, 인근 백악산(북악산)과 안산의 연계탐방도 가능하다",별표 5개,2년 전
최강티비TV,"3호선 독립문역에서 출발하여 안산에서 시작, 무악재 하늘다리를 지나 인왕산을 거쳐 북악산으로 이동 이름부터가 남다르듯 호랑이의 기운을 느낄 수 있음과 동시에 성곽과 바위를 따라 오르는 매력이 있는 멋진 산 높지 않아 트래킹처럼 많은 시민들, 관광객들이 찾는 산 체력과 시간에 여유가 있다면 북악산으로 이동하여 청와대 방향으로 하산하시는 것도 추천합니다 일부 밧줄을 잡고 올라야 하는 가파른 구간이 있으니 높이가 낮다고 만만히 볼 산은 아닙니다",별표 5개,2년 전
