작성자,내용,별점,작성일
national_jiographic,"타워를 올라가지 않아도 멋진 조망을 볼 수 있고, 이곳까지 제법 높이 올라가지만 시내버스가 다닙니다",별표 5개,4달 전
Cho앤디,다양한 코스로 트래킹이 가능한 곳 서울의 대표적인 공원,별표 5개,2달 전
ong H,버스를 이용하지 않고 걸어서 올라왔는데 시원한 바람과 함께 기분 좋은 땀을 흘릴 수 있었습니다 정상에 배치된 여러 벤치에서 서울 시내를 보며 여유를 만끽할 수 있습니다 탁 트인 서울 시내를 내려다볼 수 있는 곳입니다,별표 5개,11달 전
도사아몬드,바람이 불지만 사진촬영하기 좋은 코스입니다 순환버스들도 다양해서 버스로 쉽게 오르기에도 좋고 케이블카를 이용하기에도 편리합니다 개인적으로 힐튼호텔에서 오르는길이 예쁘게 단장되어 있어서 추천드려봅니다,별표 5개,1년 전
권예슬,"추억의장소 퇴근하고 매일올라갔음 주차장 있음 올라가는 길 2군데 있음 계단식 ㅡ시티뷰,밝음 ,왕복 힘들지 않음 옛날길 ㅡ나무숲 ,약간어두움 ,살 쫙쫙 빠짐 일주일 이상 한국에 있을 경우 남산공원 가보는거 추천 , 내려가서 근처 하얏트 호텔 가서 차마시고 입구 앞에서 사진찍는거 추천 ,밤에찍어야 예쁘고 실제로 봐도 정말 예쁨",별표 5개,1년 전
블루보넷,공기도 좋고 산책하기 좋은 장소입니다 남산타워 올라가기전 봄꽃들의 향연이 펼쳐질정도로 아름다운 꽃동산을 만들어 놓았답니다 남산타워까지 2km 거리로 서서히 언덕으로 걸어 올라가면서 다양한 색상의 튜울립을 볼 수 있고 탐방로가 있어서 자연보는 재미가 있답니다,별표 5개,2년 전
정용현,길 따라 올르는데 점점 설경이 좋았습니다 날씨도 그렇게 춥지 않아서 천천히 올랐는데 복숭아 꽃잎은 아니지만 눈송이가 정말 조용히 사방에서 내리니 별유천지 비인간이 아니네,별표 5개,1년 전
남정희,도심 한 가운데에서 차 없는 도로에 겨울 경치 고즈넉하게 산책하기 너무좋음,별표 5개,7달 전
강승철,서울에서 교통이 편리(충무로역 2번출구 남산타워행 버스)하고 여름철에 도심지에서 한강보다 시원하게 즐길 수 있는 무료 공원(>산),별표 5개,1년 전
POLLY TUI,"남산 근처에 사는 특권으로 벌써 20년 너무게 주말마다 오르고 있지만 언제나 오를때마다 새롭고 좋다높은 산은 아니지만 관리가 잘된탓에 심심치않게 보이는 야생동물(야생꿩,다람쥐 등등)들 보는 재미도 있다 곳곳에 편의 시설도 잘되어있어 방문하여 가벼운 운동도 즐길수 있다",별표 5개,2년 전
EJ K,오늘은 장충단에서 버스길을 따라 올라가는 코스를 선택했습니다 아이와 오르는 길이 힘들었지만 N타워를 마주하고 나면 역시나 그 기분은 말로 표현 할 수 없이 좋습니다 봄비가 내리니 꽃과 나무들이 좋아하는 느낌이라고 아이도 예쁜 말을 해주네요~,별표 5개,4년 전
Byung Eun Choi (니콜키드몽),도로도 깨끗하고 트래킹을 위한 별도의 성곽길도 있어 좋았습니다 길가에는 야생화들도 예쁘게 피어있고 사람들도 질서있게 남산을 이용하는 모습이 인상적이네요 한양도성길 동대문~남대문 구간 중에 걸었던 남산길,별표 5개,4년 전
유레카,언제든지 가벼운 마은으로 찾을 수 있는 곳 남산 공원 4계절 갈 때마다 너무 좋네요 가볼만한 서울 시내공원입니다,별표 5개,수정일: 3년 전
