작성자,내용,별점,작성일
이영진,좀 더 발전시키면 좋은 랜드마크가 될 수 있을 거 같은데 개인적으로는 아쉬웠다 반려견 동반 환경 좋음 피크닉 구역 없음 서울로-주변 상가와 다리나 엘리베이터로 이어지는 접근성이 떨어지기 때문에 할 게 없는 게 단점 여름에 가면 카페도 아닌 작은 책방 휴게소가 하나 있는데 이걸로 뭘 하라는건가 싶음,별표 3개,1달 전
Sepia Hh,"지리상으로는 남대문시장에서 시작하여, 서울역을 거쳐 서울역 동부 지역인 회현동과 서부 지역인 중림동을 이어주고 있으며 , 공원 중간중간에 나있는 17개의 보행길로 접근할 수 있다 서울교통공사가 1호선과 4호선을 운행하는 전동차 각각 1편성씩 가장자리 칸에 한해 서울로 7017밤에 가면 서울역 환승센터와 숭례문 야경, 서울스퀘어 미디어 파사드가 보인다 서울역에서 이 길을 따라 퇴계로 쪽으로 쭉 가면 끝부분에 남산육교는 물론 회현역으로도 엘리베이터가 있어 남산과 회현동으로도 쉽게 연계된다",별표 5개,4달 전
박재성,여름엔 덥지만 봄가을엔 산책하기 좋습니다 이전 차량고가도로를 보행자도로로 만든 산책로입니다,별표 4개,2달 전
SSING,서울역 고가를 철거하지않고 공원으로 만들어 아주 좋습니다 연결성이 좀 더 확장된다면 더 많은 사람들이 찾을 것 같아요,별표 5개,2달 전
Productive Minho,"전체 코스중 2/3가 선로와 도로뷰 시작 지점인 만리동 광장에는 윤슬이라는 공간 조형물이 있는데 이색 사진 포인트라 한번쯤은 갈만 해요 1970년 개통해 2017년 공원으로 개장, 높이 17m, 17개 통행로라고 해서 7017 입니다 위와 같은 이유로 방문객 평가가 일부 좋지만은 않은데 가보니까 어느정도 알 것 같습니다",별표 3개,9달 전
daniel,요즘 한창 장미가 예쁘게 피어 있는 계절이라 더 걷기 좋습니다,별표 4개,2달 전
마지마타,서울역에 가게 된다면 들리길 추천하는 잘 만들어진 관광 코스 걷다 보면 주변의 도시 풍경이 가깝게도 멀게도 보여 이색적이며 중간 중간 들어가 햇빛을 피해 쉴 수 있는 쉼터도 있어 좋다 다리의 폭과 길이가 제법 크고 다양한 식물군의 화단이 잔뜩 배치되어 도심 속 자연을 걷는 기분을 느끼게 해준다,별표 5개,수정일: 10달 전
신아루,쭉 걷기 심심하지 않게 나름 잘 꾸며놓은 것 같았고 밑에 기차가 지나가는 것도 봐서 신기했다 250216 여기가 어딘지도 모르고 서울역 가는 길에 그냥 거쳐간 곳이었다,별표 5개,6달 전
CHAN SONNY,화장실 가는 길 중간 중간에 무료 화장실 안내가 되어있음 건물안 화장실인데 자유롭게 사용 가능 Free bathroom in the middle of the street,별표 4개,수정일: 1년 전
완두콩,서울로 7017은 낮과 밤 모두 산책하며 걷기 좋다 원래 도로였던 길을 다시 활용하여 도심속에서 산책하며 나무들과 함께 산책할 수 있는 산책로이다 밤에 7017에 조명이들어오면 낮과는 새로운 느낌으로 산책할 수 있는 도심속에 산책로이다,별표 4개,1년 전
Y오키도키 (여행준비),"남대문시장쪽으로 가는 길을 택하여 걸어가다보면 중간중간 쉼터도 있고 까페도 있어서 시간이 있다면 햇빛도 즐기며 천천히 즐기면 좋을장소라 생각했다 옛서울역 광장, 연남방앗간 좌측에 위치한 엘볘를 타고 하늘공원으로 올라갔다 지금도 밤에는 야경이 꽤 멋있다는 말을 들었는데 곳곳에 조명이 있는 것을 보니 그럴만도 할 것 같았다",별표 4개,1년 전
Lonely JB,윗쪽은 남대문시장과 연결되어 한국의 전통미를 구경할수 있구요 남쪽은 만리단 길과 연결되어 예쁜 카페들을 많이 구경하실수 있습니다 이른 새벽에 조깅하기도 아주 좋은 코스랍니다 화장실 서울역이나 롯데마트 이용하세용,별표 5개,1년 전
YJ Oh,"총 길이가 1024미터에 이르고 공원에는 카페, 아담한 간이도서관, 실내쉼터 등이 마련되어 있고, 주변 빌딩들과도 연결되어 있다 도시재생 프로젝트 일환으로 높이 17미터의 고가교 위에 세워진 공원은, 콘크리트 바닥위에 커다란 화분 800여개를 설치해 녹색정원으로 꾸며 놓았다 숫자 7017의 '70'은 서울역 고가차도가 완공된 1970년을, 그리고 '17'은 공원화사업이 완료된 2017년을 의미한다고 한다",별표 4개,1년 전
hyun jo park,공중정원같은 고가공원길 엘리베이터 에스컬레이터등 올라갈수 있는 시설이 많고 서울역이나 남대운쪽등 전망도 좋은곳 야간에도 조명시설이 잘되어 있어 야경을 감상하기도 좋음 나무를 심은 큰화분이나 꽃을 심어놓은 위치들이 일정하지 않아 걸어갈때 주의가 필요하며 햇빛이 강한날은 그늘이 부족하다는게 조금 아쉬운점,별표 3개,4년 전
MB KIM,서울역 근처 서울 시내 산책하기 좋은 곳입니다 길을 따라 꽃과 식물이 가득하기 때문에 삭막하지 않고 힐링되는 공간입니다 남대문시장까지 길이 이어져있어서 남대문시장 구경가기 좋습니다,별표 5개,1년 전
오진실,문화역서울284 무료전시 보러 갔다가 올라가본 서울로7017 예전 고가도로를 산책길로 만들었다고 보긴 했는데 이제서야 와보네요ㅎㅎ 그 길이 생각보다 엄청 길더라고요~ 동과 동이 연결될 만큼~ 중간중간 예쁜 꽃들과 나무들이 구경하기 좋았고 아래로 내려다 보이는 서울역의 전경이 멋졌습니다~ 날씨가 많이 더웠던터라 얼마 걷지 못하고 내려오는데 쉼터도 중간중간 시원하니 휴식하기 좋았고요~ 서울역 롯데마트로 바로 연결되서 내려오니 지하철 타기도 편했어요~ 좀 더 선선해진 후라면 걷기 더 좋았겠지만 이번에 아이들과 좋은 경험하고 왔네요,별표 5개,1년 전
높이뛰기9,-- 빌딩 사이에 있는 정원 느낌 콘크리트 길이 아니라 흙길 이었으면 더 좋았을 것 같네요 봄과 가을철에는 걷기 좋을 것 같아요 오늘 날씨가 더워서 인지 오래 치분히 걷기가 어렵네요,별표 4개,수정일: 2년 전
Yeon Woo Kim,서울에서 차를 인식안하고 다닐수있는 좋은곳이다 생각보다 훨씬 만듬새가좋았다 화장실 화장실은 1층에있다 더울때는 가기힘들지만 선선할때는 걷기도좋고 나무와꽃향기도 느낄수있어 좋다,별표 5개,2년 전
변상언,밤에가면 멋진 야경이 아름다워 더욱 좋은곳,별표 5개,수정일: 3년 전
상엽정,과거에 서울역 뒷길 청파로와 퇴계로를 잇던 고가차도를 지상도로로 분산 연결하고 그 고가차도를 보행자 도로로 전환하면서 각종 수목과 꽃으로 약간의 그늘 쉼터를 제공한다 야간엔 서울스퀘어 빌딩의 LED투시 쇼도 즐길수 있고 롯데마트서울역점 연결공간의 문화 휴계공간도 둘러볼만 하다 서울역앞 버스환승센타도 한눈에 조망할만하다,별표 5개,1년 전
Casper,도심을 거닐수 있는 좋은 산책로 입니다 반려견 동반 환경 가능,별표 4개,7달 전
강데레사,건강을 생각하여 자동차보다는 대중교통을 이용할 수 있도록 마련해 준 곳이기도 하다 환경을 생각하여 자연과 더불어 즐길 수 있는 장소이다,별표 4개,4년 전
sungsoon Han (YUNA),예전엔 이길로 차량이 다녔는데 차량통행을 없애고 걸을 수 있는 산책로 형식으로 바꾸고 나니 몇년사이 나무들이 제법 자라서 걷기에 참 좋다 간간히 바람도 불고 햇살이 좋아 한참을 만끽하다 왔다,별표 5개,5년 전
최상희,"주변 경치도 보고, 멀리 남대문도 보이고, 옛서울역사 건물도 보고, 멀리서 찍는 사진도 멋있고, 길위를 걷는 산책코스로도 좋다 무엇보다 어렵게 시간을 많이 들여 걷던 길을 편하게 질러 갈 수 있어서 좋다 시간에 쫒길 염려없이 좁은 도로위에서 차와 마주 할 일 없고, 차위의 육교라 공기도 다른거 같다",별표 4개,수정일: 3년 전
오윤석,접근성이 쉽지만 아직 핫플레이스로 되기위해서는 꺼리를 민들어야 할 것 같습니다,별표 4개,5년 전
Hyeonu,"하지만 서울역과 남대문이 보이고, 서울 도심을 바라보며 여유롭게 산책하기에 좋았습니다 낮 시간에 방문했습니다",별표 4개,1년 전
휘자,방문 그냥 서울역 근방으로 산책하는 다리 중간중간 쉼터도 있어서 겨울이나 여름엔 비나 추위 피할공간 사람들이 많지는 않음,별표 4개,7달 전
이윤성,덕분에 이곳에서 서울역 앞의 생생한 모습들을 산책하면서 즐길수 있습니다 예전 서울역앞에 고가도로를 공원과 산책로로 만들었죠 이렇게 이런 산착로로 서울 곳곳이 연결되면 좋겠습니다 ^^,별표 4개,6년 전
모야모,"1970년 건설된 서울역 고가도로를 2017년 사람들이 걸어다닐 수 있는 고가인도 공원으로 만들었다 해서 7017이라 명명했다 한다 회현역 5번 출구부터 만리동 까지 풀, 꽃, 나무를 나름 정리하여 심고 군데군데 안내소, 카페, 빵집, 다방, 기념품점,빌딩 연결로, 엘리베이터 를 설치하고 나무를 그늘삼아 벤치도 만들어 쉴 수 있게 하였다 각각의 나무는 입양절차를 밟아 개인에게 입양도 하는듯하다 꽃과 나무를 좋아하거나 공부하는 사람에게는 조은 쉼터이자 참고장소가 될듯 한데 유난히 덥고 가물었던 탓인지 나무들 상태가 만족스럽지는 않았다",별표 4개,수정일: 3년 전
바푸리,공중 정원이 너무 인상적이고 좋았어요 자전거 타고 와서 오래 보진 못했지만 근처 직장인들이라면 정말로 좋을 것 같네요 :),별표 5개,4년 전
gyeol ha,구)서울고가도로를 공원화 한 서울역 고가공원 조성된지 몇년이 지났지만 아직 안정되어 보이지는 않다 조망할수 있는 공간도 3곳이 있지만 좁고 불편한 부분이 있다,별표 3개,5년 전
Yd Park,여름철에는 뜨거운 햇볕을 피할곳이 마땅치 않았는데 가을에 가족이나 연인들이 산책을 즐기기 좋은 길입니다,별표 4개,5년 전
EJ K,예전에 차로 많이 지나다녔던 길이 사람이 걷는 길로 바뀌어서 좋았습니다~ 곧곧에 쉴곳도 많고 의자랑 꽃과 나무가 많았습니다 집에 갈때보니 지하철에서 들고계시는 할머니 뵜네요,별표 4개,6년 전
smilan87 yangdng13,서울 도심 한복판에 잠시 휴식을 취하며 걸을 수 있는 산책로가 생겨 좋았습니다 나무며 꽃들을 잘 가꿔 놓아 보기 좋았네요,별표 5개,4년 전
망초,고가도로 철거 안하고 공원만드니 좋네 4월되어 파릇파릇해지면 정말 좋을듯,별표 5개,2년 전
JinYoung Lee,옛날 서울역을 새로운 각도에서 볼수있다는 점은 좋았어요,별표 3개,7년 전
Sangeon Byun,"회현역 앞에서부터 서울로 고가정원을 지나 서울역까지 멋진 야경 사진들을 담았습니다 그동안 여러번 가봤지만, 주간에도 좋지만 야간에 멋진 야경보면서 걸으니 더욱 좋습니다",별표 5개,수정일: 6년 전
A A,"생각보다 넓어서 휠체어 이용에도 무리없어보였고, 버스킹 자리를 마련한 것도 좋았다 한편 서울역에서 시위하는 (ㅋㅋ)분들을 한눈에 바라볼수 있어 나름대로 볼거리였다 참 공원은 참 잘해놓았다",별표 5개,7년 전
Ilhyun Kim,생각보다 산책할 수 있는 거리는 길지 않은 편 서울역 고가를 개조해서 만든 공중공원 디자인에선 호불호가 갈리지만 주변을 시원하게 관람할 수 있다는 면에서 개인적으로 만족스러움,별표 4개,7년 전
Tov Mazel,"자동차 조심할 필요 없고, 오토바이 자전거 PM도 다니지 않아서 정말 느긋하게 산책할 수 있는 곳 음악 들으면서 야경 보면서 산책할 수 있는 좋은 곳이라고 생각한다 꽃들과 각종 식물들, 피아노가 어우러지는 낭만적인 곳 에스컬레이터와 엘리베이터도 참 잘 되어 있다 서울 도심 한복판을 이렇게 여유롭게 누빌 수가 있을까",별표 5개,4년 전
Jaebong Jang,각종나무가 식재되어 있어 산책의 공간을 만들어 주네요~ 메타세콰이어 나무를 만날수 있는 좋은기회,별표 5개,6년 전
jay Kim,어제보단 조금 덜 추워서 곁옷하나만 걸치고 나갔는데 산책하며 구경하기딱좋았어요 저는 개인적으로 7017위에서 서울역을 바라보며 사진찍는걸 정말좋아해요 만리동광장부터 남대문시장까지 걸으면서 조경수도 바라보며 야경까지 보니 느낌이 굉장히 좋았어요,별표 4개,5년 전
김승훈,길이 깔끔하고 서울역 옆에 있어 가볍게 들러 산책하기 좋습니다,별표 5개,4년 전
Rosa Kim,"-환승센터의 수많은 버스들, 퇴근하는 사람들, 하나둘씩 들어오는 도시의 불빛에 평소에 보지 못했던, 고단하지만 아름다운 서울에 눈이 부십니다 -낮에도 좋지만 노을 지는 블루아워에 한 번 가보시길 추천드립니다",별표 5개,4년 전
lang hei,산책하기도 좋고 가끔 공연도 한다고 하네요,별표 5개,6년 전
DuckWon Kang,원래는 다시 고쳐서 차로로 계속 이용하고 싶었지만 다리의 하중 안전성 이슈로 일반인이 거닐 수 있는 거리 공원으로 바꿈 그래도 가끔 거리 공연도 있어서 시간과 정보를 잘 맞추면 무료 거리 공원도 볼 수 있어요 오래전 서울역 고가차로를 다시 리모델링하여서 만든 거리 공원,별표 4개,7년 전
Brian Park,저녁때 특히 너무 아름다워요,별표 4개,2년 전
이득준,여러가지나무와식물을 테마별로 심어놓았는데 뭔가 산만한 느낌이 많이 들고 제대로 관리가 안되는듯한 느낌이들었어요 주변분들은 가끔 걸으면 좋겠지만 일부러 찿아갈것까진 없는듯합니다,별표 3개,5년 전
빅마우스,"여름에 방문했을때는 꽃이 많아서 이뻤고 낮에는 햇살이 뜨겁고 더워서 힘들었지만 저녁무렵에는 시원하고 꽃구경, 초록 나무들구경에 산책하기 너무좋더라구요~ 겨울에 가보니 풀도 없고 나무가지들도 앙상해서 볼게 없네요ㅋ 트리라도 있었으면 좋았을텐데~",별표 3개,5년 전
한정원,"충정로에서 회현역까지, 서울역 끝부터 끝까지 길이가 길지 읺아서 가볍게 산책하기 좋습니다~^^ 겨울에 조명 달았을 때도 철거했을 때도 자주 걷는데 좋습니다~ 벌써 봄에 꽃피었을때가 기대됩니다~^^",별표 5개,4년 전
bird L.,산책로 아주 좋습니다 기차타고 서울 방문하신분들은 걸어보실 가치가 있어요 나무 종류별로 생태별로 나눠서 테마가 조성되어 있고 고가도로 복원한거라 높이에서 오는 뷰도 쏠쏠합니다,별표 5개,1년 전
유맘,남대문시장과 연결되어있어서 간식하나 사들고 걷기 참좋은곳 찻길을 이렇게 만든 아이디어에 극찬을 한다 걸으면서 다양한볼거리도 제공해주니 즐거운 하루를 보낼수있었다,별표 5개,6년 전
윤선하,가을이라 시원하고 적당히 산책하기 좋은 거리로 야경이 기대되는 곳 입니다 걷기좋은 넓은 옥상정원 느낌입니다,별표 4개,7년 전
Tina,지나가는 행인들이 피아노도 즐겨 쳐주시고 다만 좀더 가든관리를 해주면 더 예쁘고 아름다운 길이 될거같아요 산책 로로좋고 지름 길이 될수있어 좋왔어요,별표 4개,4년 전
Bettie Bae,서울역을 배경으로 펼쳐지는 전경도 꽤나 멋있어 포토 스팟도 몇군대 있습니다 서울로에 식물이 많아져서 걷기에도 좋고 보기에도 좋습니다 피아노도 두세대 정도 마련되어 있어서 누구나 연주할 수 있구요 쉬어가기에 좋습니다,별표 5개,5년 전
Les Miserables,고가차로를 없애면서 조성된 곳으로 많은 사람들이 방문하는 곳이며 중간에 건물사이를 연결한것도 괜찮아 보인다 회현역을 시작으로 서울역 방향으로 이어지는 고가공원,별표 4개,7년 전
박현 (카이로스),언제 한 번 사진 찍으러 방문하셔도 좋지 않을까 싶네요,별표 5개,5년 전
Tbro K,주변에서 밥먹고 산책하기 좋아요 다만 조금 아쉬운건 산책로가 그리 긴편이 아니에요 한 20~30분 정도 밤에는 조명도 켜지고 좋습니다,별표 4개,4년 전
BSD2 Kim,오래된 고가도로를 철거하지 않고 활용하여 서울역주변의 작은 녹지공원으로 만들어 색다른 경험을 할수 있었습니다,별표 4개,2년 전
박우일,서울에서 걷기가 좋은 장소입니다 보안관이 근무중이라 더욱 안전하지요 남산공원과도 연결이 돠지요,별표 5개,5년 전
