작성자,내용,별점,작성일
달님 (투더문),그다지 볼거리는 없습니다만 등산로 산책길은 최고예요입니다 가파르지않고 나무판자로 고르게 길을 내어놔서 아주 편안하네요~ 입구에 들어서면 시원하고 청량한 나무내음이 끝내줘요,별표 5개,수정일: 3년 전
Sunrye Lee,용마 한신 아파트에서 용마산 올라갈 때 지나갈 수도 있고 용마산 자락길은 산책하기에도 훌륭한 장소,별표 5개,4년 전
막걸Lee,사방이 아름다운 정자 라는 의미를 간직한 곳 이라네요 여기를 거처 등산길에 오르니 용마산 깔딱고개가 나옵니다,별표 4개,수정일: 4년 전
tv유업,정말 경치좋은 곳입니다 이 자연 속에서 산책을 합니다 사가정공원은 화장실 까지 마련되어 있습니다 제 생각으로는 불만을 못 느낄만한 공원입니다,별표 4개,6년 전
미순홍,관리 잘돼있구 산책하기 좋아요 화장실 공원주변 공사하느라 다 부수고 새로 짓고 있더군요,별표 5개,수정일: 2년 전
김산근,또한 올라가다보면 아름다운 정자도있고 약수터도 좋다 허나 둘랫길로 올라가려는 분은 깔닥고개가 너무 힘이드니 체력을 감안하고 산행을 준비하기 바람니다 광진구 용마산과 우면산을 잇는 둘렛길을 올라갈 수 있고 공원도 숲속에있어 아늑하다 너무 아름다운 둘렛길 이었습니다,별표 3개,수정일: 6년 전
배숙희,비온후 사가정공원 개천에 물흐름 소리가 계절과 어우러져 참좋아요,별표 5개,5년 전
나현경,역주변에 접근성좋아요 숲길로 다이어져있어서 한참 아파트 주변이 나 공원 공사중 이네염 올라오셔야지 숲이 쥬,별표 4개,6년 전
김영순,가볍게 운동도되지만 힐링도되고 단풍이 예쁘게 물들어 기분 전환이되었써요 근거리에사시는 분들은 말을보면서 용마산을 기억에 남을것 같아요,별표 4개,4년 전
김소정,운동 기구들도 많고 쉬어갈수 있는 장소도 많아서 좋아요,별표 4개,4년 전
꾸정왈 (꾸정왈),한적하고 좋아요 등산객도 있고요 용마산 올라가는입구,별표 5개,2년 전
송승수,아침에 눈이 내려서 완전 심쿵하네요^^,별표 5개,4년 전
유정열,짧은시간에 언제든 쉽게 접할수있는곳,별표 4개,6년 전
뚱전,"도심과 가까운곳의 편안한휴식처이자 아이들놀이터와 어르신들만남의장소로 산책로와 곳곳의 운동시설 치유의숲까지 남녀노소할것없이 온가족의 휴식처입니다 가볍게 용마산과 망우산,아차산까지두루두루 올라갈수있어 주말이면 등산객들로 붐비는곳이기도합니다 시간날때 한번씩방문해보세요 요즘은 단풍도곱게물들고 있어서 등산할재미도 배가되는시기입니다",별표 4개,2년 전
에요밍밍,가볍게 산책하기 좋고 용마산 들어가기 초입이라 등산러들한테 인기 많음 우리집 댕댕이가 좋아하는 산책로 다만 공원이라고 부르기엔 규모가 작아서 아쉽다,별표 4개,2년 전
이수진의훅Tv,중랑구 면목동 근처 용마산 입구에 있는 시민공원 으로 계곡에서 물도 흐르고 자그마한 웅덩이가 있어서 어린이와함께 물놀이 해도 좋습니다 공기 좋고 계곡에서 시원한 바람도 불고 화장실도 있고 좋습니다,별표 5개,3년 전
이계전,공원 입구에 아파트 공사현장으로 인하여 썩 추천드리기가 그렇네요 다만 도심에 이런 공간은 있다는건 주민이라면 큰 득이죠,별표 2개,6년 전
정의민,공원은 용마산 올라가는 초입에 있으며 초급자는 망우삼거리쪽 데크 산책로를 이용할수 있고 용마산 등산길도 어렵지 않습니다 여러곳에 운동기구와 족구장 배드민턴장들 체육시설도 다양합니다,별표 5개,4년 전
강제구,공원관리가 잘되어 있으며 특히 아침새벽 운동하기가 너무 좋아서 새벽 3시30분경 일만보 걷기운동을 하기에 공기도 줗아 간강에 좋아요,별표 5개,6년 전
이진실,자연과 더불어 다양한 놀이기구가 있는 놀이터를 아이가 즐거워 해요 다만 더운 여름 날 아쉬운 부분이 그늘이 져서 시원하게 앉을 넓은 평상과 같은 면적이 부족하다는 것과 물이 더 많이 흐른다면 참 좋을 것 같다는 생각이 듭니다,별표 4개,5년 전
방재호,둘레길이 정말 잘되어 있어요~,별표 5개,6년 전
Sungkuk An,숲길을 걷다보면 약수터가 곳곳에 있으며 따가운 햇살을 막아주는 그늘이 땀을 식혀줍니다,별표 4개,6년 전
최상위,근처의 용마폭포공원과는 달리 가볍게 산책하기 좋은곳 제일 완만한 등산로도 연결되어 있어서 등산하기 위해서도 꼭 가야하는곳,별표 5개,5년 전
바램바람,서울 동부권 용마산에 있는 공원으로 시설로 체육 편의시설이 잘 갖춰져 있습니다,별표 5개,수정일: 2년 전
바람따라서,망우산(망우리공동묘지) 아래 사가정공원,별표 3개,수정일: 8년 전
윤성기,모처럼 다녀왔네요 좋았습니다 우거진숲길 잔잔한바람 단하나 노마스크 여성들이 두루 보여서 싸우기도 그러고 가끔 계몽 아 이제는 그런 단계는 지났으니 나오셔서 단속좀 해주세요 수고하세요ᆢ단결,별표 4개,3년 전
나이스가이,시설은 중간정도~ 옆에 인공개울가 추천 용마산으로 올라가는 길도있고,별표 4개,5년 전
서양애,이런 좋은 공원들이 많이 있어 많은 사람들께 즐건 행복한 공원 되면 정말 좋겠습니다 근거리에 계신분들이 부럽네요,별표 5개,4년 전
