작성자,내용,별점,작성일
변상언,가양나들목을 나와 한강변 산책로를 따라 야경이 무척 아름다운 방화대교 주변까지 갔다왔구요,별표 5개,5년 전
황종각,강서 한강공원 늘 푸른물결 아름답고요 많은 사람들이 자전거 행열 아름다워요 생태공뭔에는 고란이가 놀고 있네요 가끔 강태공들이 낚시른 즐기고 있네요 즐겁고 아름다운하루,별표 3개,4년 전
shineui mo,김포에서 출발하여 방화대교 / 마곡(철도)대교/가양대교/ 미 개통대교 / 성산대교 그리고 선유도 까지 도보(4월에만 세번째) 하면서 여의도 방향의 국회/쌍둥이 빌딩 그리고 반대편 난지도 하늘공원 등 보면서 그간 서울/한국의 발전과 한강기적의 잠시나미 느껴고 머릿속엔 주마등 처럼 많은 그림이 스쳐간다 담엔 자전거로 잠실대교까지 가봐야지 하면서 발길은 돌린다 하루빨리 선진 강대국 반열에 올라야 하는데,별표 5개,4년 전
miseon kim,주차장도 근처에 있어 접근하긴 좋아요 그래서 일찍 접었는데 다음엔 책이라도 가져가서 시간을 보내야 겠어요 날씨 좋은날 그늘막 하나 가지고 바람쐬면서 휴식하기 좋아요,별표 4개,5년 전
jong kon park,또한 맞은 편에 행주산성이 있고 북동쪽 으로는 북한산이 한눈에 들어오는 전망이 좋은 곳이며 자전거도로가 연결되어 바이크 동호인들이 사랑하는 곳이기도 하다 한강 하구에 위치한 공원으로 공원내 생태 습지가 함께하고 있어 일반 쉼터공원으로 서의 역할 뿐 만아니라 생태습지공원으로 도 존재가치가 큰곳이다,별표 5개,3년 전
Dongmin Lee,뭔가 좀 없지만 넓고 쾌적해서 좋아요,별표 5개,2년 전
Jolie Ahn,생태보전이 잘 되어있는 편이고 사람이 많이 붐비지 않아서 좋다,별표 5개,5년 전
오소풍,강서한강공원 걷지 않으면 볼 수 없는 풍경들,별표 5개,3년 전
개조저항 115편성,전망대도 있고 둘레길도 매우잘만듬,별표 5개,7년 전
랙기,주차장 좋고 화장실좋은 넓은 공간,별표 4개,5년 전
DynamiteKorean,즐겁게 나들이 할 수 있는 곳 시민 공간 좋아요~ It is the place to hangout happily,별표 5개,4년 전
백미희,도심속 바쁜 생활중에 40분의 여유~ 참 좋았습니다,별표 5개,7년 전
김영섭,"강서한강공원 풍경, 조류관찰대",별표 4개,3년 전
Sangeon Byun,"여러종류의 숲풀과 수양버들이 멋지게 늘어져 있고, 여러종류의 새소리가 아름답게 들리는 곳으로 한강변으로 쭉 늘어진 생태공원길을 한번쯤 걸어보는 것도 아주 유익한 도움이 될 것입니다 강서구 쪽의 방화대교 옆에서 부터 행주대교 근처까지 쭉 길게 이어진 강서습지생태공원",별표 5개,7년 전
윤시영,시원한 바람 과 눈위에 탁티는 하늘 또잘정비된 시설과 목초는 찌든 도시인 들이 쉬면서 가벼운 운동도하고 마음을 다스리기에 적절한 곳이기도 하다,별표 5개,5년 전
안재성,평일에는 주차가 여유롭고 사람이 적음 매점이나 편의점이 없어서 불편함 정비를 위해 출입금지된 산책로가 많음,별표 2개,6년 전
최진종,"강서습지생태공원은 서울 방화대교 남쪽 끝에서 행주대교 남쪽 끝 사이의 한강 둔치에 있는 생태공원이다 갈대밭과 버드나무숲이 어우러져 있으며 탐방로 두 곳과 철새 조망대가 있다 담수지와 저습지 등을 인공적으로 조성하고 습생, 수생식물을 심었다",별표 3개,7년 전
함경태,산책길 수변공원도 분리하고 화장실도 괜찮고,별표 4개,4년 전
J. Hyun Baik,강서에 있는 한강공원이라 매우 한적하고 차가 없으면 못오는 곳이라 장사꾼들이 몰리지 않는 곳이다,별표 4개,8년 전
Octo S,도심 속 공원 느낌 보다는 정말 교외 지역으로 온 느낌을 준다 조용하고 사람들이 너무 많지도 않다,별표 4개,9년 전
Kwangho Moon,아이와 놀러갔는데 좋습니다~ 다만 주차장에서 공원까지 거리가 좀 있어요~,별표 4개,3년 전
윤연흔,서울서북부 지역에위치하며 개화산을끼고 강건너는 정발산행주산성이고 경인아래뱃길 출발지이기도하며 진경산수화의대가인 겸재선생의 진경산수회의 소재가되어있고 관계된그림도 여러점있다,별표 4개,4년 전
여행자,정말 아름답게 잘 정리해 놓아서 좋았습니다,별표 5개,6년 전
왕은용,조용하고 휴식을 하기 좋은곳 입니다,별표 4개,4년 전
신소라,경치는 좋은데 쉴곳이 좀 더 있었으면 좋겠어요,별표 3개,5년 전
감귤선생,아이 데리고 자연체험하기 좋아요,별표 5개,4년 전
Jongeun Lee,다른 한강공원보다는 조경,별표 3개,5년 전
김병환,장애인들이 체험하기는 좀 불편한것같음,별표 3개,7년 전
나부사,매점이나 편의점등이 없는것만 제외하면 괜찮음,별표 4개,4년 전
조이진,"자전거도로 좋음,강가로갈수있는 오솔길",별표 5개,6년 전
신현귀,방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 4개,수정일: 1년 전
문승진,버드나무 갈대숲 따라 걷기 좋아요,별표 5개,6년 전
예찬진,한강을 끼고 걷기 운동하기 좋아요,별표 5개,5년 전
dong wook kim,자전거 최고의 힐링 코스,별표 5개,8년 전
김00,생태공원 잘 정비되었어요,별표 5개,3년 전
JS,공원 잘 되어 있음,별표 5개,수정일: 9년 전
임창훈,한적하고 아름다운 곳,별표 5개,5년 전
Christin Lu,"봄에는 벚꽃, 여름에는 싱그러운 녹음, 가을에는 단풍, 겨울에는 눈꽃이 만발합니다 남한강은 맑은 물과 양옆으로 짙푸른 산들이 어우러져 그림처럼 아름다운 풍경을 자랑합니다 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요",별표 4개,7달 전
Jezar,강변에서 라면을 1800원에 먹을 수 있다 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,10달 전
korea indo arab pak food Best786,바다 전망은 저녁 시간에 더 아름다워요 신선한 공기를 마시며 산책하기 가장 좋은 곳이에요 사람들이 여기서 산책하는 걸 좋아해요,별표 5개,3년 전
subarashii Kim,깨끗하게 정비되어 산책에 적합한 공원,별표 4개,5년 전
SY Chun,자전거 라이더에게 좋습니다,별표 3개,5년 전
