작성자,내용,별점,작성일
마지마타,"규모부터 비교할 곳이 없을 정도로 크고 시설들도 끝내주며 볼거리도 다양하고 자연과 어우러져 큰 한강을 끼고 있는 난지공원은 그냥 거닐기만해도 힐링이 되는 최고의 공간이다 특히 바로 옆에는 하늘공원, 노을공원과 월드컵 경기장 그리고 문화비축기지까지 끼고 있어 안그래도 큰 규모가 더욱더 커서 아침 일찍 자리를 잡고 천천히 자연을 만끽하면 이런 장소들을 돌아본다면 이만한 휴식이 없을 정도로 최고다 각종 스포츠 시설들과 캠핑장까지 있는 난지한강공원",별표 5개,10달 전
휘자,주차하기가 매우 힘들어서 겨우겨우 주차하면 쉴공간은 많은 공원 상암이랑 이어져있어서 왔다갔다하기 좋음 반려견 공원도있어서 같이 오면 반려견공간에서 시간보내도 됌 젊은 애들 어린애들이 얼마 없어서 술판분위기는 아니라서 좋음 가족단위가 많아서 편하게 쉬면서 시간보내기 괜찮은 공원 화장실 곳곳 있음,별표 5개,10달 전
시진,주말에는 형형색색 의 텐트가 쳐지고 푸른잔디 위에 뛰노는 아이들과 애완견의 모습을 지켜보면 평화롭고 여유롭게 삶을 즐기고 있다는 생각이 절로 듭니다 평일 이른아침 산책코스로 최고의 장소 입니다,별표 4개,1년 전
소소한한라봉 (소소),도보로 올 수 있으면 산책하기 좋은 장소입니다 사람들도 많이 있어서 위험한 부분은 없지만 외곽으로 나갈 수록 위험할 수 있으니 주의해서 산책하세요 주변 경관을 보면서 여유있게 다닐 수 있다는게 정말 행복한 거 같아요,별표 4개,수정일: 1년 전
강성현,매우 사람들이 많으나 편의점도 있고 편의시설이 잘 가꾸어져 있습니다 가족들과 함께 방문하여 좋은 추억을 가질수 있는 멋진 장소 입니다,별표 5개,수정일: 1년 전
솔랑솔랭,근처에 있는 하늘공원에서 일몰을 즐기다 와도 괜찮은듯 공원은 항상 좋은 느낌을 준다,별표 5개,9달 전
조용철,주일을 맞아 가족과 방문했는데 마침 롹페스티벌도 하고있고 야구동호회에서 경기도 하고있고 주변 산책로엔 운동하러온 사람들과 쉬러온 사람들이 잘 어우러진 좋은곳 이더라구요 한강과 바로 맞다아서 윈드서핑을 즐길수도 있고 강가로 가는길에 벤치도 있는 멋진곳입니다 산챡로엔 튤립도 심어있는데 이건 철마다 바뀌는것 같고 강가에서 네잎크로바를 15개나 찾아 기분 좋았던기억 이네요 ㅎㅎ,별표 5개,6년 전
홀로서기,아이가 전날에 공연보러 간다고해서 걱정 많았는데 다음 날 같이가서 직접 경험해보니 참 좋은 문화같습니다 스탠딩으로 나가서 봐도되고 잔디에 돗자리 깔고 앉아서 봐도 되고 너무좋더라구요ㅎ 사람들도 매너들도 좋고 스탠딩에 서있다가 빠지는 사람들이 있으면 편히 들어가 즐기고 또 나와서 쉬면 뒷사람이 들어가고 신기하게 싸움하나 없더라구요 정말 맛없는 음식도 있어서 먹다버리기도 했어요,별표 5개,1년 전
Kyungmin Ko,"매점 등 편의 시설이 없는 점은 아쉽다 주차요금은 미리 정산기로 하는 것이 좋다 BMX 연습장, 농구 연습장, 작은 축구 연습장이 있고 주말마다 공연도 있다",별표 4개,2년 전
여니,공연보러 왔는데 하늘도 너무 예쁘고 날씨도 좋고 넓고 깨끗하고 공연도 잘 즐기고 갑니다 소중한 사람과 함께 오면 더 좋아요~ 올 때는 당산에서 빨간색 광역버스 타고 오거나 근처 역에서 내려서 걸어오면 됩니다,별표 4개,5년 전
