작성자,내용,별점,작성일
Anthony G,서울의 대표적인 한강 주변의 공원으로 지하철 7호 선 자양역 앞에 있어 다양한 먹을거리가 볼거리가 있습니다,별표 5개,2달 전
J. H. Park,"다시 호텔로 나가는 길이 좀 험난하긴 했지만, 그만큼 괜찮았다 ㅎㅎ 사람이 너무 많아 통신이 잘 안 터졌다 뚝섬한강공원에서 본 한강 드론쇼 너무 멋지다 13분 정도로 짧지만 강렬했다",별표 5개,3달 전
오준영,주차장시설도 잘되여 있지만 보다 대중교통편으로지하철7호선으로 자양역에내려서면 다양하게볼거리가 눈에들어오니차근하게 다녀보면 아쉬움없는 일정이될것같다 이번이곳뚝섬도 국제정원박람회로 많은시민들의발길을 같이하여 지금도 찾아와 숲과 강속에 꽃을보면 여가를즐기는모습이 자연스럽다 어느곳이든 한강을곁에두고있는 공원들의 모습은 시원하게 트인 주변경관부터가 시민들의발길을잡는것이 특징일것같다,별표 4개,1년 전
Mincho Park,"널찍한 잔디 마당도 있고, 기차(지하철) 지나가는 것도 구경할 수 있고, 급하게 필요한게 있으면 편의점 찾아가면 됨 놀이터 아이와 함께 놀 수 있는 놀이터가 있음",별표 5개,1년 전
SEH,관광버스로 오시는 분들도 많음,별표 5개,1년 전
김원선,서울국제정원박람회가 10월까지 상시전시된다고하는데 7호선 자양역2번출구로 나가면 공원과 바로 연결되요 강아지산책은 목줄착용 배변봉지 현재 수영장개장 화장실 장애인전용 화장실도 있어요 놀이터 보드타는 시설도 있어요,별표 5개,수정일: 1년 전
김문숙,"지하철 7호선 자양역 2번 출구로 내려오면 바로 앞이 뚝섬한강공원 입니다 한강 따라 산책, 걷기운동, 달리기, 자전거, 주변 잔디밭에 돗자리 깔고 한강 내려다 보면서 도시락 먹는 기분 참 좋았습니다 도시락 준비 안됐을 땐 선상 편의점 라면, 교촌치킨 먹는 맛도 재밌습니다 곳곳에 정원도 꾸며져 있습니다 바람 부는 날에는 윈드써핑 하는 모습 보는 것도 또다른 볼거리입니다",별표 5개,1년 전
오렌지우비,지하철 7호선에서 내리자마자 갈 수 있어서 교통도 아주 편리했습니다 화장실 자유롭게 이용할 수 있는 화장실 반려견 동반 환경 반려 동물의 출입과 산책이 자유롭습니다 피크닉 구역 정해진 구역에서 그늘막과 가지고 온 음식을 취식할 수 있습니다 정원 전시회가 열렸던 기간에 방문했는데 흥미로운 전시물과 다양한 행사가 진행되어 매우 즐거운 시간을 보낼 수 있었습니다,별표 5개,1년 전
이지영,📍장소: 뚝섬한강공원 📍기간: 2024년5월16일～10월 8일 📍개장시간: (5~8월 ） ~ （9~10월 ） ~ 📍가는 법 7호선 자양역 2번출구 (도보 2분 예쁜 꽃과 녹색식물에 둘러싸여 행복한 시간을 보냈어요 무료로 이런 행복한 시간을 보낼 수 있다니 최고네요,별표 5개,1년 전
홍모니카,반려견 동반 환경 모든장소동반 피크닉 구역 편의점 주변이 좋아요 규모는 크지않지만 좋은 날씨에 멋진나들이었습니다 한강은 참 멋진 장소같아요,별표 4개,1년 전
오대교,지하철 7호선 이용 주차장 완벽 텐트 존 이용 가능 잔디 마당에서 아이들이 뛰어놀고 치킨 맥주 배달 반려견 동반 환경 반려견과 산책 22 뚝섬한강공원 일대에서 놀이터 오리배를 탈 수 있는 곳,별표 4개,1년 전
Didion,특히 휴일에는 안가시는게 좋을듯요,별표 2개,1년 전
BORA LEE,저녁에 가면 시원하고 청량해서 좋아요,별표 5개,2달 전
