작성자,내용,별점,작성일
INcLine Museum_인클,"놀이터 관리가 잘 되어 있음 화장실 최소 3곳 있음 반려견 동반 환경 아주 좋음 피크닉 구역 잔디밭에서 피크닉 가능합니다 1층에는 한강라면 먹을 수 있는 공간도 있어요 한강공원에서는 돗자리 피고 앉아 배달음식을 받아볼 수 있어요 근처에 서울함 공원이 있고, 스타벅스 망원한강공원점에서 커피와 함께 카페를 이용할 수 있습니다",별표 5개,4달 전
모아스토리,"저도 자주 찾는 곳이구요 😍 놀이터 놀이터 있어요 화장실 화장실 많구요 반려견 동반 환경 반려견도 좋아하는 곳이에요 자동차로 가거나 걸어서, 자전거로도 갈 수 있는 망원한강공원이에요~ 서울함공원과 야구장, 노을 스팟이 있어 많은 사람들이 애정하는 곳이에요",별표 4개,4달 전
Jungki Hong,야경이 멋드러진 망원한강공원 산책하기 좋고 스벅&써브웨이 있어서 산책하고 간단하게 식사하기 좋아요 물론 한강하면 라면이 빠질수 없지만요~,별표 5개,1달 전
B K,이따금 답답할때 자전거타고 오면 탁트인 공간을 볼수있어 좋은곳 이곳에 방문하기 시작한지 10년도 더 되었지만 언제와도 좋다,별표 5개,수정일: 6달 전
Bella Rhie,반려견 동반 환경 반려견 데리고 산책하기 좋아요 한강공원 근처 망원시장에서 먹거리를 사서 한강공원에 돗자리 펴고 여유롭게 먹을 수 있습니다 ㅋ 화장실 공중화장실이 깨끗합니다,별표 5개,1달 전
김득환,합정역 8번출구에서 처음 나올때에는 이정표가 있어서 쉽게 찾아갈수 있을것으로 생각 하였는데 조금 걸으니 표지판이 없어서 물어서 찾아간 곳이다 합정역8번출구에서 공원까지는 34분이 걸렸다 한강에서 낚시가 가능한 곳이 몇군데 있는데 망원 한강공원은 도크로 되어있는곳에서 40여명이 낚시가 가능하다고 소개가 되어 있어 찾아가본 곳이다,별표 5개,1년 전
쥬츠꾱,예쁘요 날이 좋으면 훨씬 더,별표 5개,2주 전
박선영,1층에는 편의점이 있고 2층에는 스타벅스가 있어 간식거리를 구입하지 못했어도 충분히 즐길거리가 있는 곳이에요 선선한 가을에 간식거리 사들고 가면 기가막힌 추억의 장소가 되네요 바람이 시원하게 불고 야경이 좋아 최근들어 최고의 여행지였어요,별표 5개,1년 전
김숭호 (퓨처),공영주차장이면서 망원시장에 도보로 15분 정도면 가능해서 괜찮은 장소 입니다 주변에 편의점 2개와 스타벅스 서브웨이 맟 바른통닭이 있네요,별표 5개,1년 전
YO LEE,"마포인트나루라는 건물이 수상에 깨끗하게 만들어져있어 스타벅스부터 편의점 음식점까지 영업중이네요 아직은 낮시간이라 그런지 사람이 많지는 않았지만, 운동하는 사람이며, 강아지랑 산책하는 사람, 한강을 보며 앉아있는 연인들까지 평화로운 공원의 모습입니다 망원동 맛집 방문차 왔다가 약속시간이 남아 잠시 방문하게 되었습니다",별표 5개,2년 전
TED NAM,"하지만, 산책, 휴식, 자전거 라이딩, 아이와 놀이 등 여가를 즐기려고 나오는 사람들이 많아 사람이 너무많고, 유료 주차장도 있지만 차가 많아 주차도 힘들고 교통체증도 심하다 아이들이 좋아하는 전투함이라서, 내부를 호기심을 가지고 보느라 시간가는줄 모른다 서울함 주변으로 아이들 놀이터와 쉴만한 공간이 많아서 사람들이 많이 찾는다",별표 4개,수정일: 4년 전
다윤서윤 스토리,"텐트 설치 구역이 있어좋아요 망원 시장에 걸어서 가기 좋네요 시장에서 호떡, 닭강정, 치킨, 김밥, 아이스크림마시멜로 맛있게 먹었습니다 아이들 좋아합니다",별표 4개,2년 전
DAEWOO RYU,멋진 야경을 가진 산책코스가 있네요 오랫만에 근처에 망원시장 구경도 하고 붕어빵도 사먹고 식사도 하고 좋은 하루였습니다,별표 5개,2년 전
오영옥,한강변에 앉아서 성산대교나 강을 보는것도 좋고 편의시설이 있으니 먹고 마시고가 즐거운곳이에요,별표 4개,수정일: 1년 전
냥이 사랑,이 시간에 왠 사람들이 이리 많은건지ㅋㅋ 시원한 강 바람이 너무 좋았음 주차비 내려했더니 무료네요 걸으면서 데이트 하기 좋네요 12월 25일 새벽 3시,별표 5개,수정일: 1년 전
James Kang,"먹거리와 커피사서 넓은 한강공원 잔디밭에서 강을 바라보며 여유를 느낄 수 있는 곳 치킨이랑 피자도 시켜먹을 수 있고 편의점에서 라면도 끓여먹고 플로팅 별다방에서 즐거운 시간을 보낼 수 있는 곳 서울함상공원에서 3천톤급 군함과 잠수함을 구경할 수 있는 곳 밤에는 성산대교와 한강에 반사되는 달빛과 불빛이 알흠다운 야경이 있는 곳 주말에 차를 타고 간다면 헬게이트를 열게 될 것이야 갈수록 핫해지는 망원동과 망원시장, 월드컵시장의 수많은 먹거리들",별표 5개,3년 전
Lang Lang,강아지랑 산책하기 좋고 배달음식도 받을수있어서 좋습니다 입구 근처에 편의점2개있어서 편해요,별표 5개,1년 전
김덕진,"나무그늘 밑이 집보다 시원하고 좋아요 자전거 라이딩, 런닝, 산책, 휴식이 공존하는곳 우린 라면먹고 쉬다 갑니다~",별표 5개,11달 전
Stella,"ㅎㅎ 반려견 동반 환경 반려견을 데리고, 산책하기 좋아요 돗자리 깔고, 라면에 맥주 or 배달음식 시켜서 먹어도 좋을거 같아요 편의점에서 맥주한캔씩 마시면서 대화하니 선선하고, 너무 좋았어요",별표 4개,수정일: 1년 전
이순이,"새벽부터 많은 사람들의 발길을 반갑게 맞아주며 싱그러움을 가득안은 아름다움이 강을따라 너무실대다가 밤이되면 또 다른 도시의 모습을 보듬고 드넓은 온 강을 화려하게 수 놓아 일렁이는 물결따라 춤을추듯 반짝이는 불빛들이 어느새 말없이 넉을놓고 조용히 감상에 빠져들게 만드는 마성의 매력이 공존하는 곳입니다 도심 가까이에 숲과 강이 어우러진 휴식공간이 힐링공간이라고 생각됩니다 요즘 멀리가는것도 부담스럽고 소확행, 또는 잔잔한일상만으로 감사함을 느끼게 되는데요 도심 가까이에 이런곳이 있어서 너무 좋고 행복하고 또한 감사하는 마음이 저절로 생깁니다",별표 5개,5년 전
정윤재,음식 배달은 당연히 되면 여의도 한강공원보다 가까운 사람들은 여기를 추천한다 둘 다 똑같이 한강이 아름답다 화장실 공용화장실 있음 반려견 동반 환경 강아지 데려올 수 있음 피크닉 구역 텐트존 따로 있는 걸로 아는데 텐트 핀 사람 많으면 거기다 합정에서 가까운 한강공원 근처에는 음식점 돗자리 원터치 텐트 담요 빌리는 곳이 구비되어 있고 원터치는 2면인가 3면을 열어놔야하고 저녁 7시 이후는 텐트는 접어야한다,별표 5개,1년 전
유민재,5월이라 그런지 날씨도 선선해서 여자친구하고 자전거 타기 너무 좋았다 특히 라면에 맥주가,별표 4개,3년 전
racheal Kim,중간중간 편의점 있어서 필요할 때 이용할 수 있어서 좋구요 마음껏 숨쉴수 있는 곳이라 생각돼요^^ 자전거 타고 가면 바람도 시원하고 좋아요 마음을 가라앉히고 싶을때 가면 좋은것같아요^^,별표 5개,4년 전
이재호,"날도 좋고, 아둘도 좋아하고, 편의점음식도 맛있고 주차비도 나름 저렴하고 다들 행복해 보이네요 ^^ 놀이터 오랜만에 보는 모래(흙) 놀이터",별표 5개,2년 전
딸국티비,"퇴역군함으로 전시된 공간도 매력적이고, 날이 좋아져 잔디밭에 가림텐트로 즐거운 시간 보내는 사람들도 여유로워 보여 좋네요 그런데 몰리는 사람들보다 좁은 주차장은 개선이 조금 필요할 것 같습니다 서울함 공원이 된지 꽤 지났죠",별표 4개,6년 전
YOUNG SEO Kwon,군함 구경하는 곳도 있고 작은 공원도 있고 거닐고 자전거 타고 캠핑할 공간도 있고 너무 좋은 듯,별표 5개,수정일: 2년 전
Mil Lee (이번여름),"접근성이 좋고 주차장이 넓고 가격도 저렴하다 전망좋고 산책하기 좋다 )이 있고, 각종 편의시설이 있다",별표 5개,1년 전
SHIN PD 신피디 (신피디),"북적거리는 지금보다 옛 친구들과 어울리던 공터가 그립지만, 우울할때도 기쁠때에도 변함없이 찾게되는 공원이다",별표 4개,수정일: 1년 전
Younghee Gam,야경이 정말 아름다운 곳이고 날씨가 좋으면 공원에 많은 사람들이 산책도 하고 나들이하는 곳이다 옆에는 서울군함공원도 있다 이곳은 한강의 성수대교가 보이고 한강 수영장이 인접한 곳이다,별표 4개,6년 전
Inseok Kim,자전거 이용이 좀 불편하다는 것 외에는 괜찮은 편입니다,별표 3개,수정일: 1년 전
yunee Jeong,날씨좋은날 너무멋진곳입니다 스타벅스나 편의점라면 또는 다른음식점도 많아요,별표 5개,수정일: 1년 전
이도윤,그래도 가격대비 맛과 양 괜찮았음 ㅋ고기와 부추무침 무말랭이 이렇게 나왔다 맛도 괜찮은듯 아구찜은 시간이 걸리는듯 수육부터 나왔는데,별표 3개,6년 전
매력,잠깐 들린거라 편의점에서 한강라면 먹으면서 대화한게 전부지만 돗자리 펴고 도란도란 얘기하다가 책도 읽고 배고파지면 편의점에서 한강라면 먹고 치킨 시켜서 맥주 한잔해도 좋을거 같아요,별표 5개,1년 전
Dowon Yoon,월드컵공원에 주차하고 자전거 빌려서 너무어가면 딱임 공원자체는 월드컵공원이 더 쉬기 좋음 햇살 좋은날 자전거타기 제격인곳,별표 4개,2년 전
SeongKee Moon,"주차, 식사, 끽다, 산책 등 다양한 여가 활동이 가능한 시민공원",별표 5개,1년 전
HAKSOO HAN,"그래도 들어오기 전 캠핑 장비도 대여할 수 있고, 날씨가 오늘처럼 좋은 날, 즐겁게 피크닉을 즐길 수 있어요~",별표 3개,5년 전
삼순이,해지면 옆 잠두봉선착장에서 고기구워 먹기도 하고 서울이 좋아질때네요,별표 5개,4년 전
강한민,이곳은 주변에 망원공원 월드컵 상암공원 하늘공원 노을공원등 여러개 잊어서 다양하게즐길수 있씀니다,별표 5개,수정일: 2년 전
Yongcia (Summer Dragon),"한강변 자전거도로와 산책로가 잘 되어 있어서 주간이나 야간에 다니기가 편하고 휴게소가 있어서 물과 라면, 간식 하기가 너무좋습니다",별표 4개,5년 전
김기수,산책로도 잘 되어 있고 주차장 바로 옆에 시설좋은 아이들 놀이터고 있어서 아이들과 함께 하기도 좋은 곳 서울함 공원과스타벅스가 있어서 조용히 시간 보내기 좋다,별표 5개,3년 전
Changhan Lee,근처 마을버스 정류장도 있어 접근성도 좋아요 날씨가 화창하고 선선한 바람이 부는 날에 커피 한 잔 걸치며 산책하기 좋아요,별표 5개,1년 전
행운의귀똘이,조용조용 이어폰으로 음악 준비해오세요 멀리 sunset구경 갈 필요없어요,별표 5개,1년 전
