작성자,내용,별점,작성일
최상만,다만 바로 접근할 수는 없고 아파트 단지와 큰 도로를 지나야만 나온다는 것이 조금 아쉬운 점 잔디밭에 자리 깔고 있기도 좋고 자전거를 타기도 좋고 그냥 앉아서 강을 내다 보아도 좋다 서울 터미널에서 한강 쪽으로 쭉 가다보면 반포한강공원이 나온다,별표 4개,3달 전
BKstrawberry,반포한강공원은 서울에서 야경을 즐기기 좋은 곳 중 하나예요 피크닉 매트를 깔고 치맥을 즐기는 사람들도 많아서 저도 배달 음식을 시켜서 한강의 분위기를 만끽했어요,별표 5개,6달 전
JOODY AHN,"주차장은 작으니까 대중교통 타고 오세요 근처에 편의점, 화장실, 치킨집이 있어요 텐트치고 누워서 자연을 즐길 수 있어요",별표 5개,3달 전
J.n Lee,"여러 신나는 노래에 맞춰 춤추는 듯한 무지개분수, 저 멀리 보이는 남산타워, 광활한 한강을 가까이 즐길수 있는 뷰, 놀러온 듯한 느낌을 확실히 주는 분위기 등 매우매우 좋은 장소입니다 돗자리를 사거나 대여해서 자리를 잡고 맛있는 음식을 먹으며 여유롭게 즐길 수도 있습니다 치킨배달을 포함한 배달음식을 시키면 금방 오기 때문에 맛있는 음식들과 함께 반포대교의 분위기를 느껴보세요~ 피크닉 구역 돗자리를 깔고 자유롭게 즐길 수 있습니다",별표 5개,수정일: 1년 전
Jueon,탁 트인 한강뷰와 건너편의 남산타워 그리고 무지개 분수와 음악까지 외국친구에게 한국에 볼 게 뭐가있어라고 질문이 오면 당당하게 말 할 수 있는 반포한강공원,별표 5개,10달 전
도사아몬드,화장실 편의점 카페 내부에 화장실과 공공화장실도 많습니다 날씨가 좋아서 엄청난 사람들이 조깅 싸이클링 산책 피크닉으로 가득한 하루 였습니다 놀이터 잔디밭이 넓게 펼처져 있어서 뛰놀기 좋습니다,별표 5개,1년 전
그러니까,"자동차가 다니는 도로, 자전거가 다니는 도로, 사람들이 걸어 다니는 도로가 구분되어 있어서 상당히 좋았으며 넓기도 넓어 산책, 조깅하기에도 완벽한 한강 공원이다 솔직히 부럽다 그리고 근처에 편의점, 치킨 등 음식점도 있어서 간단히 한잔하거나 한강 라면을 먹으며 몸을 녹일 수가 있다 한강을 가운데에 두고 서울의 스카이라인들을 바라보면 아무 생각 없이 기분이 좋아진다 멍때리기 상당히 좋다 우리가 일상생활을 하면서 대한민국이 왜 선진국인지 알지 못했다면 한국의 빌딩숲을 보면 알수가 있다",별표 5개,1년 전
박기철,고속버스터미널 하차 8-1번 출구로 나와서 커피나 피자 치맥 사들고 가시면 아주 대박 입니다,별표 5개,1년 전
홍보부장홍부장,"그곳의 아름다운 경치, 다양한 휴식 시설과 이벤트, 그리고 한강의 여유로운 분위기는 방문객들에게 특별한 경험을 선사한다",별표 5개,1년 전
seong lim,놀이터 잔디공원이 많음 화장실 청결하고 넓음 반려견 동반 환경 반려견들이 환장하고 좋아함 피크닉 구역 나무가 많아 좋은 자리엔 항상 사람들이 많음 6월 달 봄축제가 많아 여유롭게 즐길수 있는 장소 여의도 한강 공원과 더불어 서울의 대표 공원 중 하나인 반포한강공원,별표 4개,1년 전
Yijin Kim (Jane),"잠수교에서 보는 음악분수(무지개분수) 너무 좋은데, 사진찍는 사람들과 달리는 사람들 사이에서 길따라 제대로 걷지를 못하겠어요",별표 4개,수정일: 10달 전
fred,"특히 날씨가 선선한 날, 주말 저녁 등 인파가 많은 시간대에는 주차장에 진입하는 것조차 어려울 정도로 사람이 많아서 앉을 자리도 부족하고, 편의점은 줄이 무지막지하게 길어요 분수쇼가 펼쳐지는 시간대에 가면 경치가 아름답고, 멍때리기도 좋아요 그렇지만 주차하긴 너무 힘든 것 같아요",별표 5개,1년 전
Serious Tom,다만 분수쇼하는 주변은 꽤나 번잡한데 특히나 물가쪽에 가까울수록 사람만 많은것이 아니라 모기와 파리들도 많이 있기에 그러한 점들만 제외한다면 괜찮은 편이다 맥주 몇캔들고 연인과 친구와 함께 노가리 까면서 여름을 보내기에 이보다 더좋은 장소가 없다고 생각한다,별표 4개,수정일: 2년 전
Changyun Jang_Korea,한국오면 꼭 방문하세요 놀이터 놀이터는 없음 화장실 화장실은 주차장 근처랑 새빛섬 근처에 있음 (강위에 떠있는 건물들) 반려견 동반 환경 ㅇㅇ 근데 건물 안은 안됨 피크닉 구역 계단이나 잔디에 뭐 깔아두고 쉬기 좋음 주차장도 많고 음식 사와서 먹어도 됨,별표 5개,3달 전
김상범,"주말에는 주차 하기가 쉽지 않지만 한강의 시원한 바람과 세빛섬, 반포대교의 아름다운 야경을 맛볼 수 있음",별표 4개,1년 전
강돌이,답십리에서 청계천따라 자전거로 20여분밖에 안걸려서 너무 좋아요~,별표 5개,7달 전
김루비,무지개분수도 예쁘고 통닭과 즉석 라면도 맛있게 먹고 공연도 보면서 저녁의 시간을 알차게 보냈습니다 주말에 다녀오기 좋은 장소입니다,별표 5개,수정일: 1년 전
SUMIN JO (Jofree_Life),앞쪽에는 푸드트럭도 있어 한강 매점 과 더불어 함께 먹거리를 이용할수 있으며 주차장이 몇 군데 있지만 주차 스트레스 받느니 지하철 고속터미널에서 걸어서 얼마 안걸리니 대중교통 이용하는게 좋음 분수는 시간이 정해져 있어서 검색해 참고 하고 가면 좋으며 이밖에도 서래섬 이라고 인공으로 만든 섬 도 구경할수 있고 세빛섬에도 다양한 편의시설들이 있다 한강 공원중 화려한 분수쇼도 보며 피크닉을 즐길 수 있는 곳,별표 5개,2년 전
강정미 (별빛),"바람 덜 부는 날씨에 가서 더 만족했던 것 같기도 한데, 사람들이 많기는 했지만 공간이 넓고 여유 있어서 편하게 쉬고 힐링하다 온 거 같아요^^ 더워지기 전에 한번 더 다녀올 예정입니다 ^^",별표 5개,3년 전
가면남,우선 한강 공원에서 볼만한것은 보라빛 분수쇼 저녁에 보면 확실히 예쁘긴 하네요,별표 4개,1년 전
김응기,한강 뷰가 일단 기본만족을 주는 곳으로 기타 추가 만족은 방문객이 무얼 하느냐에 따라 다르다,별표 4개,6달 전
