작성자,내용,별점,작성일
홍모니카,선유공원 한강중 가장 아름다운거 같아요,별표 4개,2달 전
유레카,"양화한강공원은 여의도 샛강 하구에서 강서구 가양대교까지로 한강남단에 위치하고 있으며, 둔치에 넓게 조성된 잔디밭에서 바라보는 탁 트인 전망이 다른 곳에서 쉽게 보기 힘든 풍광을 제공합니다 양화한강공원은 서울특별시 영등포구 노들로 221 (당산동 98-1번지)에 위치한 공원 및 스포츠 시설입니다 1 주경기장 시설은 토사 필드가 갖춰진 경기장이며, 1988년에 준공되었습니다",별표 4개,수정일: 9달 전
아스라이,"ㆍ 이곳엔 한강 전망대와 카페, 놀이터, 매점, 화장실과 자전거 도로 등의 편의 시설이 있어 하루종일 휴식을 취한다 한들 불편함을 전혀 느끼지 못할듯 ~ ㆍ 이곳에서 휴식을 취하는 시민들을 보며 마치 이곳이 미국이나 호주의 도시공원 같다는 생각을 했다 ■ 서울 수변공원중 으뜸 ㆍ 아마도 내가 아는한 서울의 수변공원중에서는 양화한강공원이 필드뷰와 한강뷰 모두 최고로 멋진 곳이 아닌가 싶다 ㆍ 제 1, 2 주차장이 비좁은 것을 제외하곤 단점이 거의 없는듯 ㆍ 선유도공원과 마주한 이곳은 잔디밭이 풍부해 도로면에 가까운 곳엔 시민들이 설치한 그늘막이 군데 군데 놓여 있고 한강면이 가까운 곳엔 돗자리와 비치의자, 간이테이블 등이 점거하고 있다",별표 5개,2년 전
반창민,"사람이 많은 여의도보다 벚꽃을 구경하기에 더 좋은 것 같습니다 국회의사당 쪽으로 가면, 벚꽃 사진을 찍기 좋은 장소가 있습니다 차량은 통제되니 택시나 대중교통을 타고 가시면 좋을 것 같습니다 반려견 동반 환경 자유롭게 반려견을 데리고 돌아다녀도 됩니다",별표 5개,1년 전
Origin,"모레바닥 아니고 우레탄 화장실 중간중간에 공중화장실 있음 반려견 동반 환경 반려견 동반 가능 피크닉 구역 거의 모든 구역 가능 중간중간 편의점도 있고 공중 화장실도 있으며 양화대교 아래에는 운동기구들이 있어서 유용함 2, 9호선 당산역과 9호선 선유도역이 근접해 접근성도 좋음",별표 5개,1년 전
gee Lee,주차도 편리해서 자주 갔었는데 차 말고 걸어서 다녀야겠습니다 저녁먹기전 산책 다녀왔는데 예전에 비해 많이 가꿔지고 쉴곳이 많이 생겼네요,별표 5개,1년 전
변상언,선유도공원 가는길에 잠시 들어가 보았고 장미단지에 피어난 아름다운 장미🌹꽃들과 함께 주변에는 다양한 동물 모형의 조형물도 있어서 가족나들이도 좋을 것 같습니다,별표 5개,3년 전
올때소고기,17 현재 양화한강공원 상태,별표 4개,1년 전
SeungHoon Lee,산책하면서 강가에서 조용히 멍때리기도 좋고 편의점도 가까워 편리하다 화장실 곳곳에 설치되어 사용하기가 편해요,별표 4개,1주 전
KYUNGHO KIM,선유도에 과거 정수처리장을 공원으로 만든 멋진곳입니다,별표 5개,4년 전
이윤배 TV,삼겹살 먹고 한강공원 산책중,별표 5개,3달 전
Jaebong Jang,사람이 붐비지않아좋습니다 주차장과 편의점 그리고 자전거 대여점이 시설의 전부인지라 한적한가 봅니다 자전거 타러 오기엔 아주 적합한곳입니다,별표 4개,6년 전
donhee yoon,새로 개점하기 어려우면 정리라도 깨끗히 해 놓았으면 좋겠습니다 강쪽으로 가면 시멘트로 둑이 있는게 보통인데 이쪽은 강물쪽으로 바로 가 볼 수 있어요 좋아요 양화대교우에 까페가 있는데 문을 닫은지 오래되어 주변이 보기가 좋질 않네요,별표 4개,6년 전
Eun Yu,밤산책하기 좋았어요 다들 돗자리 깔고 밤바람을 즐기네요 강아지들도 많이 보이고요 하지만 곧 벌레가 창궐할 듯 합니다,별표 5개,1년 전
Stone White,양화한강공원에서 선유교를 건너 선유도의 가을을 살피다,별표 5개,10달 전
남진경,나무 그늘과 잔디가 조화롭게 잘 조성되어 있습니다 여름엔 수영장도 있고 매점도 곳곳에 있어서 좋아요 선유도 공원과도 이어질 수 있어서 다양한 즐거움과 서울의 야경을 즐기기 좋습니다,별표 5개,5년 전
장유나,+ 한강공원의 매력을 완전 느낄수있는 휴식을위한 최고의 장소에요~ 어쩜 이렇게 잘되어 있는지 외국에 유명한 공원들에 온듯했어요+ 선유도공원 처음가본 오늘,별표 5개,5년 전
최윤석,평일 낮에 조용하고 화장실도 깨끗하고 좋았습니다 편의점이 있어서 더 편리했어요,별표 5개,2년 전
P J,한강공원 중 한적하고 평화로운 스팟 단 강북에서 보는 뷰를 좋아하는데(노을때문) 그게 아니라 별한개 깎음,별표 4개,4년 전
Ds1scp Kim,자전거도로및 공원시설이 잘 되어 있는곳,별표 5개,4년 전
Jonathan Lee,그리고 아이들데리고 산책나오기 가장 좋은 환경 한강공원 중 가잘 배스가 잘 잡히는 곳,별표 5개,2년 전
Aileen Choi,풍경좋고 노을 좋고 넓고 좋지만 벤치나 도보길(성산대교쪽)이 잘 되어있지않아 아쉬웠어요,별표 4개,4년 전
Himummu Y,을 기대하는 마음으로 방문했는데 생각보다 자그마하네여 ㅎㅎ 많은 분들이 사진찍기 위해 줄을 서계셨구 아예 각잡고 찍으시는 분들도 꽤 계시더라구요 ㅎㅎ ㅅㅏ람들 많은 건 백번 이해하는데 ㅎㅎ 장미구간이 너무 소박해서 아쉬웠어요 ㅎㅎ 나머지는 걍 걷기 좋구 눕기 좋구 앉기 좋은 평화로운 한강 공원 역이랑도 가깝고 (당산역 선유도역 다 가능~) 좋아여,별표 5개,3년 전
수요Suyo,진짜 분위기 좋은 공원 사람들이 대체로 선유도만 많이 가는데 여기도 진짜 좋음,별표 5개,5년 전
조매자,"산책도하면서,여유를즐길수 있어요",별표 4개,1년 전
YECHAN JO,"아직 날씨은 바람이 차서 쌀쌀했지만, 산책하며 기분전환으로 아주 좋았습니다",별표 5개,2년 전
엄경택,편히 쉬다 올 수 있는 주차장과 가까운 편의시설 등 잘 갖추어진,별표 5개,4년 전
crebtive,당산역 쉽게 이동하기 쉽게 연결되어 점심먹고 가볍게 산책할 수 있는 최고의 장소,별표 5개,4년 전
봉제산,"봉제산부터 가양대교 지나 한강공원 월드컵대교 당산철교 , 여의도 증권빌딩 국회의사당 까지 자전거 여행",별표 5개,2년 전
커노(kerno),"주기적으로 찾는곳, 언제든 각종 레저활동 및 여가를 즐길수있는곳으로 도시인들의 힐링명소가 아닐까 합니다",별표 5개,2년 전
JEH LYY,2주차장으로 주차후 3주차장쪽으로7분정도 이동하면 텐트 칠수있는곳 있음 아주 좋음,별표 5개,4년 전
yhy고란초,가을이 되어 코스모스꽃이 활짝피어 아름답고 예뻐서 사진 찍끼에 바쁘다,별표 4개,6년 전
이용한,코로나 영향으로 집콕탈출~ 탁 트인 장소와 한강 변을 거닐 수 있어 좋음~ 더불어 선유도 공원을 들를 수 있다는 장점~,별표 4개,수정일: 5년 전
권은오,봄날 잔차타기 딱좋습니다 물론 걷기운동하는데도 한강과꽃들 구경하면 더좋을듯싶습니다♥ 좋은하루들보내세요,별표 4개,7년 전
정로크,주변에 사신다면 들려보시길,별표 5개,수정일: 3년 전
DOSHIN PARK,편의점 있어 편하고 당산역에서 이동 하기 편하다,별표 5개,10달 전
Juhyeon Park,"양화대교 전망쉼터, 선유카페 여기가 개장하면 더 좋을 것 같아요 하지만 사람도 덜 모이고 더 한강하고 가깝게 앉아서 시간 보낼 수 있어서 좋아요 근처 미니스톱에서 다른 한강 공원처럼 라면도 먹을 수 있습니다",별표 4개,3년 전
YOONSUNG LEE,주차장에 주차를하고 선착장옆 공터에서 드론을 이륙시켰다 서울 스카이라인을 드론으로 촬영하기 위해 방문했다,별표 5개,9달 전
jihwan Lee,"여의도, 반포 한강공원보다는 덜 유명하지만 선유도도 있고 합정, 망원 방향 한강 뷰도 멋있는 여유로운 한강공원입니다 적당히 여유로운 한강공원",별표 5개,4년 전
빵빵투데이,이곳은 밤도깨비야시장과는 다르게 그늘막텐트를 금지합니다 (돗자리만 가능) 그래서 그런지 사람이 거의없네요 편의점도 엄청 한산하고 밤도깨비야시장과 매우 대조되네요 밤이되면 주변이 너무 어두워요 군데군데 조명이 있으면 좋겠습니다,별표 4개,6년 전
Learner,당산역에서 내려서 지하도보로 걸어가면 나옵니다 8월 저녁의 강 바람도 좋고 산책하기 괜찮은 장소 입니다,별표 5개,2년 전
김경아,청명한 하늘 적당한바람 깨끗한공원 모든것이 완벽했다,별표 4개,3년 전
김진영,다른곳은 차가 못들어기는곳이 많은데 이곳은 차를 댈수가 있었어요 바람이라도 쐬니 좋네요,별표 4개,4년 전
Seohee Jeong,계절마다 다른 느낌의 풍경을 제공해주어 좋습니다,별표 5개,4년 전
Yuri G,주차장도 가깝게 있어요,별표 4개,4년 전
진영주 (대진항 민영호),소형 선박면허 시험보러갔는데 주차도 편하고 바로 앞이라 좋았어요 경치도 좋음,별표 4개,4년 전
July L,다른 한강공원에 비해 사람이 적고 한산한 듯 평화로운 분위기가 좋았어,별표 4개,4년 전
강경하,사람도 많이 없구 저녁에 산책하러갔는데 너무 좋았어용,별표 5개,3년 전
뚜벅초,자전거 도로가 잘 되어있고 조깅하기 좋아요,별표 5개,3년 전
이명훈,근처 선유도도 있고 주차도 편하고 좋더라,별표 4개,6년 전
정소이,공원이 걷기 좋고 사람들도 많지만은 않아서 산책하기 좋아요,별표 5개,5년 전
박석민,분위기가 가족 단위로 나들이온 분위기라 친구들이랑 앉아서 술먹고 놀기에 좋은 환경은 아니네용,별표 3개,5년 전
woo young choi,철봉 평행봉 턱걸이용철봉 있음 커플많음 가끔버스킹함 여름에 따릉이타고 밤에 오기좋음,별표 5개,4년 전
