작성자,내용,별점,작성일
Tony Kim,요즘 날씨에 노을지는 풍광을 보며 산책하기 좋습니다,별표 4개,2달 전
무탐,항상 러닝으로 자주 오는 곳 아름다워요,별표 5개,4달 전
kimbabiv,분리수거 장도 있어서 먹고나서 쓰레기 처리도 깨끗하게 할 수 있다 화장실 사람들이 주로 머무는 잔디밭 앞에 바로 화장실이 있어 편리함 화장실도 앞에 있어 편리함,별표 4개,1년 전
김득환,서빙고역 1번출구에서 이촌한강공원의 낚시 가능한곳까지 시간은 12분정도 걸린다 용산역에서 경의중앙선을 타고 이촌역 지나 서빙고역에서 내려 1번출구로 나와서 조금 걷다보면 한강공원 이정표가 바로 보인다 망원한강공원과 달리 이정표나 표지판을 따라서 걷다보면 이촌한강공원에 갈수있다,별표 5개,1년 전
miku,"何度も渡韓してますが、初めて漢江公園を歩きました👣💫 ちょうど猛暑日に行ったので、夜でしたがめちゃくちゃ暑かったです💦笑笑 漢江ラーメンも食べましたが、美味しかったです😆🧡 次は、涼しくなってからレジャーシート持ってゆっくり過ごしたいな～！！🌈 몇번이나 한국에 와봤지만, 처음으로 한강공원을 걸었습니다 마침 폭염일에 갔었기 때문에 밤이었지만 엄청 더웠습니다ㅋㅋ 한강라면도 먹었는데 맛있었습니다 🍜 다음에는, 서늘해진 후에 돗자리를 가지고 느긋하게 지내고 싶다~",별표 4개,1달 전
DAEWOO RYU,"여러가지 체육시설들도 잘 되어있고, 산책하는 사람들도 많고 안전, 휴계 시설도 잘 되어있습니다 아름답고 긴 한강공원입니다",별표 5개,3주 전
백승애,도심속의 여유 자전거로 달리다가 잠깐 쉼을 즐길 수 있는 최고의 장소입니다,별표 5개,수정일: 10달 전
변상언,자연학습장 옆에 대나무숲길도 조성돼 있어요 동작역 1번출구 나와 동작대교를 건너가 이촌한강공원 한강변 산책을 했구요 미루나무 가로수길도 있고 거북선나루터 지나 한강대교를 건너니 야경이 멋지네요,별표 5개,3년 전
곰발바닥,"놀이터 공짜 화장실 공짜 반려견 동반 환경 밥과 간식만 있으면 오케이 피크닉 구역 집시가 되면 무엇이 더 필요한가 이몰에서 63빌딩 사이로 김포공항으로 서서히 착륙하는 비행기가 사진을 보면 명확하게 볼일것이다 , 이곳은 특히 매년 불꽃축제 핫플코스 이기도 하다",별표 5개,1년 전
Gi Hyuk Shin,저는 인라인타러 간거지만 주변에 잔디받이 있어 돗자리 깔고 쉬기 좋습니다 인라인 링크는 깨끗하고 사람들이 별로 없어 이용하기 편합니다,별표 4개,1년 전
Seungjoo Lim,여의도 불꽃축제를 보러 찾아간 이촌한강공원 공원은 다른 곳에 비해 한적한 편입니다,별표 5개,5년 전
GANG SU LEE,"자전거도로에 텐트설치, 일찍와서 오지 않은 사람들 자리까지 맡는 무개념 사진가들, 본인쓰레기 안치우는 비양심적인 사람들로 가득해지는 지독한 장소가 됩니다 평범한 서울의 좋은 공원이지만, 서울세계불꽃축제가 진행하는 날은 그야말로 헬게이트",별표 4개,4년 전
김실비아,보행로에 그늘이 좋고 원두막에서 쉴수있어서 좋은데 자전거 길은 그늘이 없네요~ 자연학습장도 풀이 많으네요~ 강가 근처에 샛길로 갈수 있는데 거기도 좋아요,별표 4개,5년 전
김진성,"서울에 대나무 숲이 있고 미루나무 길이 있다고 하여, 이촌 한강 공원을 찿아가 본 결과 , 두 가지 길이 다 있어 옛날 신 작로 길 과 대나무 밭길을 연상하며, 걸어보니 좋았으나 , 두 길에 대한 안내 도가 없어 찿는데 어려움이 있었음",별표 4개,1년 전
최준호,구간마다 화장실있고 걷기도 평탄하고 틈틈히 벤치도 있는데 강북라인은 마포대교에서 동작대교까지에는 편의점같은 음료등을 살곳은 없음,별표 3개,5년 전
Andy Kim,"동작대교와 한강대교에서 엘리베이터로 접근할 수 있으며 강변 산책로와 자전거길 등이 잘 설치되어 강변 산책과 운동, 석양과 노을 보기도 좋아요",별표 4개,1년 전
신차정보 연못구름,여유롭고 시설좋고 다른지역의 한강공원보다 모든시설이 더 잘 갖춰진 곳,별표 4개,9년 전
Jinhee Kim,접근이 쉽고 다양한 모습이 있는 편안한 공원입니다,별표 5개,수정일: 2달 전
이사랑,여기 미루나무길 대나무길 예술공원 정말 예쁘요 주변에 꽃들도예쁘서 운동할때 기분이 더 좋아져요 공영주차장 이용 편리하네요,별표 5개,5년 전
무운지니,산책하기 좋은 날 입니다,별표 5개,1년 전
Byungkyu SHIN,최근에 편의점이 없어졌지만 여전히 다른 위치의 한강공원보다 편리성과 접근성면에서 가장 좋은 위치와 시설을 가지고 있음 너무 편하게 잘 만든 서울에 없어선 안되는 시설,별표 5개,1년 전
김루비,인프라 너무 좋고 조용함 피크닉 구역 취식이 가능 테이블 있음,별표 5개,5달 전
임효묵,여기는 언제가 좋은곳이고 편안하다 캠핑존도 있어 많은 가족이 쉬는곳,별표 5개,5년 전
김가람쥐,아이와함께 주말마다 차범근 축구교실에서 뛰어놀기도 하고 산책하면 힐링되고 너무 좋아요,별표 5개,1년 전
양정연,주차장이 네곳이나되네요 각 구역별로 다른 느낌이네요,별표 4개,1년 전
SY Jeon,중간중간 화장실 및 편의점도 잘 되어있어요 이촌역 혹은 동작대교에서 접근 가능합니다,별표 5개,1년 전
리밀,말모말모♡ 내가 사랑하는 공간 두다리만 멀쩡하다면 사계절을 다 느낄수 있는 아름다운 곳,별표 5개,수정일: 5년 전
김상한 색소폰,버스킹하기 좋은 계절인것 같습니다^^ 북킹 책읽는 한강공원에서 연주하고 왔어요,별표 5개,10달 전
Hs Lee,도심속 한강공원 으로 조용히 산책하고 걷기,별표 5개,수정일: 4년 전
yongho row,산책하기 좋고 곳곳에 예술작품도 있어서 찾아보는 즐거움이 있음,별표 5개,5년 전
정현화,이촌역이랑 가까워서 쉽게 걸어 갈수 있고 돗자리를 펴고 피크닉가기 좋습니다 여름에 청보리밭이 펼쳐져있는 풍경이 좋았습니다,별표 4개,8년 전
Dongmin Jang,좋은계절을 잘느낄수있었어요 바람에흔들리는나무들 산책하기 좋았어요 그늘집이 좀 더 많으면 더 좋을거같아요,별표 5개,1년 전
Hye Ok Lee,) 같은 곳을 지나면 깔끔한 산책로가 나와요 반포대교에서 500m정도 시골길(,별표 5개,2년 전
정정종혁,생태공원 이 조성뒤어있는 이촌한강공원 가벼운 운동코스로 아주 좋아요,별표 4개,4년 전
달윗,딱 서울같아요ㅎㅎ 한강이랑 높은 빌딩들 산책하기 좋아요ㅎㅎ자전거타는사람이랑 걷는사람 엄청많고 돗자리펴서 쉬고있는사람도 많았어요 한가로운느낌ㅎㅎ,별표 5개,5년 전
W P,역에서는 다소 멀지만 주차장이 잘 갖추어져 있고 여의도 등 기타 한강공원에 비해 사람이 적은 편 와인병은 편의점 휴지통에 버릴 수 없으니 화장실 쪽 휴지통에 버려야함 멋 부리지 않은 잔디밭에만 충실한 공원이라 좋으며 63빌딩 쪽으로 해가 지는 멋진 모습을 감상할 수 있음,별표 5개,5년 전
김경식,"오후에 나오면 햇빛이 사람 쪽으로 비치는 탓에 한강 사진은 다소 아쉽게 나오지만, 자연의 여유를 즐기기에는 좋은 환경입니다 중간중간 조형물과 스포츠 공간이 많아 즐길거리가 많습니다 이촌한강공원은 조금 더 활기차고 운동을 즐기는 사람들로 가득합니다",별표 5개,3년 전
정룡,"그래서 더 조용하게 쉴 수 있고, 편하게 산책 할 수 있다 한강공원 중에서 제일 좋아하는 곳이다 이촌한강공원은 반포나 뚝섬과는 다르게 놀러온 사람이 적은 느낌이다",별표 5개,3년 전
yhy고란초,2018 서울세계불꽃축제가 여의도~이촌한강시민공원 사이 한강에서 쏘아 올려져 아름다운 가을밤을 수놓았다,별표 5개,6년 전
J Persona (myaongjji),날 좋을 땐 피크닉 하려는 사람들로 바글바글 그만큼 뷰도 장소도 좋다는 뜻이게찡,별표 5개,2년 전
김희진,한강은언제나좋네요~^^ 아이들인라인강습으로왔는데 자주올꺼같아요~,별표 5개,3년 전
JH K,"한강변 따라 자전거 타고, 걷고, 앉고, 웃고 떠들며 가을을 느끼기 좋은 공원",별표 5개,2년 전
문성준,화장실 주차장 지나서 2층에 있음 돗자리 있으면 편하게 한강 구경 가능,별표 4개,1년 전
ks shin,토요일 오후 이촌 한강공원에서 많은 시민들이 휴식을 취하고 있네요,별표 4개,2년 전
Eunice Kang,한강이 한눈에 보이면서도 각종 나무들을 심어놔서 경치도 좋고 잘 관리되어 있어서 산책하기 딱 좋아요,별표 4개,4년 전
한국학생,거기다 날씨 좋은 날에 피크닉 와서 컵라면이랑 음료수 마시면서 한강을 보면 진짜 서울 아니겠습니까 저는 괜찮았는데 여사친이랑 동생들이 계속 기다렸어요 다만 놀이터에 무개념 초등학생들이 있습니다,별표 4개,4년 전
양성훈,한강에 몇안되는 낚시가능구역 전체적으로 깨끗하게 관리되어있고 곳곳의 쓰레기통과 화장실이 구비되어있어 편의성이좋다 단점은 편의점이 한곳인데 일반편의점의 1 5배에서 2배정도의 가격으로 판매가되는게 유일한 단점이다,별표 4개,2년 전
정창욱,한강과 접근성이 좋고 인라인 트랙이 있어 인라인 스케이터들의 성지입니다,별표 5개,11달 전
Kim MyoungGeun (소담),여의도 한강 불꽃축제 다녀왔어요 정말 많은 사람들과 즐거운 시간을 보냈습니다,별표 5개,6년 전
순대국밥,이촌동에 먹방하고 산책하기 좋아요-,별표 4개,7년 전
Eunbyul Kim,사람도 다른 한강공원에 비해 적고 한적하고 뷰도 좋고 일몰이 잘 보이며 넓어서 좋습니다,별표 4개,5년 전
Jonathan Lee,한강공원들 중 가장 괜찮은 산책로와 시설,별표 5개,4년 전
Eunjin Jo,다른 한강에 비해서 사람이 많이 없어서 너무 좋아요 이런저런 건축물도 많이 생겨서 볼거리도 많아졌어요~,별표 5개,6년 전
Tim Choi,코로나이후 처음나온 한강공원입니다,별표 5개,3년 전
김경빈,사람이 적당히 있어서 좋아요 😆,별표 5개,1년 전
BrilliantJ,특별할것 없는 그냥 한강공원,별표 3개,9달 전
전지현 (긴여정),휴일이라 해지고 산책 갔는데 오랜만에 봐서인지 건너편 야경이 너무 멋졌네요,별표 4개,4년 전
납사TV(아자),건너편의 서래섬에 있는 낚시터에서도 동일한 납자루들이 잡힙니다^^ 체고가 낮고 길죽한 모습이 납자루아과의 납자루입니다 반포대교 북단에 위치한 한강공원입니다,별표 5개,5년 전
