자치구,합계 발생,합계 검거,살인 발생,살인 검거,강도 발생,강도 검거,강간·강제추행 발생,강간·강제추행 검거,절도 발생,절도 검거,폭력 발생,폭력 검거
합계,86213,64823,150,144,129,117,5764,5395,37038,21600,43132,37567
종로구,2981,3485,5,6,5,7,239,1138,1169,953,1563,1381
중구,3348,2465,3,3,6,5,212,144,1520,864,1607,1449
용산구,3021,2268,3,4,3,3,245,219,978,561,1792,1481
성동구,2023,1411,2,1,2,2,119,85,893,472,1007,851
광진구,3424,2333,2,2,5,3,238,178,1616,830,1563,1320
동대문구,2957,2301,5,6,4,3,146,116,1280,847,1522,1329
중랑구,3324,2474,6,6,2,2,169,134,1402,786,1745,1546
성북구,2411,1958,1,1,1,1,141,112,984,683,1284,1161
강북구,2497,2142,7,7,1,1,141,102,917,730,1431,1302
도봉구,1921,1406,7,6,4,3,90,72,995,582,825,743
노원구,3567,2607,7,6,3,4,159,131,1632,845,1766,1621
은평구,3493,2678,7,7,3,1,153,126,1614,1070,1716,1474
서대문구,2385,1641,5,5,-,2,160,132,1194,668,1026,834
마포구,3834,2888,3,1,4,4,447,339,1472,856,1908,1688
양천구,3019,2135,6,5,2,2,113,93,1404,732,1494,1303
강서구,4296,3544,1,2,6,4,300,225,1794,1243,2195,2070
구로구,3737,2632,12,12,7,7,194,144,1624,849,1900,1620
금천구,2240,1753,4,3,5,4,128,95,987,629,1116,1022
영등포구,4418,3387,12,12,10,10,310,217,1854,1192,2232,1956
동작구,2642,1763,3,2,3,4,191,107,1183,601,1262,1049
관악구,4769,3496,16,17,10,10,328,268,2013,1166,2402,2035
서초구,4522,3049,7,8,9,5,412,300,1941,934,2153,1802
강남구,6763,4992,14,11,20,18,678,567,2480,1284,3571,3112
송파구,5223,3520,8,5,9,8,307,229,2416,1243,2483,2035
강동구,3398,2495,4,6,5,4,144,122,1676,980,1569,1383
