자치구,CCTV 총계,방범,어린이보호구역,공원·놀이터,쓰레기무단투기,시설안전·화재예방,교통단속,교통정보수집·분석,기타목적
합계,"113,273","74,807","8,704","15,417",830,"4,482","8,648",18,367
종로구,"2,339","1,779",105,270,0,52,133,0,0
중구,"3,118","2,132",76,297,62,221,330,0,0
용산구,"3,609","2,669",162,371,0,5,402,0,0
성동구,"4,638","2,994",422,429,239,115,439,0,0
광진구,"4,636","3,102",642,561,65,174,92,0,0
동대문,"3,846","2,777",309,484,32,1,229,0,14
중랑구,"5,392","4,336",141,521,11,79,304,0,0
성북구,"4,906","3,362",453,664,0,74,335,18,0
강북구,"3,584","2,881",355,194,0,49,105,0,0
도봉구,"2,808","1,807",194,622,0,71,114,0,0
노원구,"4,105","2,117",358,"1,113",106,252,159,0,0
은평구,"5,683","3,922",150,985,0,255,371,0,0
서대문,"4,218","2,447",132,859,0,359,421,0,0
마포구,"3,809","2,868",227,527,40,0,147,0,0
양천구,"4,854","2,918",840,706,0,0,198,0,192
강서구,"3,874","2,816",302,594,21,0,141,0,0
구로구,"5,694","3,498",583,787,41,318,467,0,0
금천구,"3,458","2,487",266,453,46,4,191,0,11
영등포,"5,133","3,742",287,471,0,5,613,0,15
동작구,"3,664","2,290",403,609,20,134,73,0,135
관악구,"6,614","3,606",235,919,147,956,751,0,0
서초구,"6,036","2,896",203,817,0,883,"1,237",0,0
강남구,"8,352","5,385","1,111",771,0,270,815,0,0
송파구,"4,665","2,698",480,844,0,205,438,0,0
강동구,"4,238","3,278",268,549,0,0,143,0,0
