R_SEQ_NO,CD_AREA,NO_EQUP_SE,SD_NM,SGG_NM,CD_EQUP,GB_ACMD,EQUP_NM,RDNMADR_CD,BDONG_CD,HDONG_CD,LOC_SFPR_A,SECT_EQUP,QTY_CPTY,XCORD,YCORD,XX,YY,CD_GUBUN
3751,1156000000,416,서울특별시,영등포구,1,학교,양화중학교,1156012100100480000037220,1156012100,1156060500,서울특별시 영등포구 당산로 56(문래동3가),725,279,126.89605,37.51977,190810.6356,546703.32,긴급
3800,1159000000,11,서울특별시,동작구,1,학교,서울신상도초등학교,1159010200102040333026309,1159010200,1159054000,서울특별시 동작구 장승배기로 14(상도동),530,203,126.94406,37.50028,195053.8134,544536.2178,안전
3798,1156000000,461,서울특별시,영등포구,14,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",푸드뱅크마켓3호점,1156013200147290000009413,1156013200,1156068000,서울특별시 영등포구 신길로8길 7(신길동),62,24,126.90933,37.49573,191982.1121,544034.2814,안전
3763,1156000000,445,서울특별시,영등포구,3,경로당,구립문래제1경로당,1156012100100730001000001,1156012100,1156060500,서울특별시 영등포구 문래로20길 7(문래동3가),201,77,126.8942,37.51846,190646.4768,546558.4688,안전
3799,1156000000,421,서울특별시,영등포구,1,학교,서울영문초등학교,1156012400100130000037490,1156012400,1156060500,서울특별시 영등포구 문래로 56(문래동6가),720,277,126.88754,37.5196,190058.5474,546685.1817,긴급
3750,1156000000,407,서울특별시,영등포구,1,학교,서울문래초등학교,1156012100100770007024783,1156012100,1156060500,서울특별시 영등포구 문래로 104(문래동3가),225,87,126.8932,37.51822,190558.7283,546531.4582,안전
3805,1156000000,411,서울특별시,영등포구,1,학교,서울우신초등학교,1156013200102100000012811,1156013200,1156066000,서울특별시 영등포구 신길로 190(신길동),633,243,126.91142,37.50957,192168.1928,545570.1385,안전
3801,1159000000,13,서울특별시,동작구,1,학교,서울상도초등학교,1159010200102380002020971,1159010200,1159056000,서울특별시 동작구 성대로21길 62(상도동),680,261,126.93723,37.49971,194449.5423,544473.7946,안전
3806,1156000000,427,서울특별시,영등포구,1,학교,장훈고등학교,1156013200101880117015479,1156013200,1156051500,서울특별시 영등포구 영등포로64길 26(신길동),804,309,126.91474,37.5136,192461.9697,546017.174,긴급
3762,1156000000,406,서울특별시,영등포구,1,학교,문래중학교,1156012400100440000022320,1156012400,1156060500,서울특별시 영등포구 선유서로13길 6(문래동6가),775,298,126.88425,37.52051,189767.3013,546786.7834,긴급
3749,1156000000,409,서울특별시,영등포구,1,학교,서울영등포초등학교,1156011900100350002024261,1156011900,1156060500,서울특별시 영등포구 경인로 756(문래동1가),710,273,126.89816,37.51294,190996.3533,545944.9988,안전
3802,1159000000,49,서울특별시,동작구,1,학교,국사봉중학교,1159010200102140437021332,1159010200,1159056000,서울특별시 동작구 양녕로20길 20(상도동),907,348,126.94502,37.49371,195138.1593,543807.6259,안전
3764,1156000000,433,서울특별시,영등포구,6,교회,문래동성결교회,1156012200100270015022622,1156012200,1156060500,서울특별시 영등포구 도림로141다길 30(문래동4가),332,128,126.88942,37.51562,190224.1386,546243.7498,긴급
3803,1159000000,87,서울특별시,동작구,1,학교,숭실대학교,1159010200105110000033836,1159010200,1159053000,서울특별시 동작구 상도로 369(상도동),851,327,126.95828,37.49724,196310.7901,544198.9553,안전
3804,1159000000,10,서울특별시,동작구,1,학교,서울강남초등학교,1159010200100070168033947,1159010300,1159053000,서울특별시 동작구 강남초등길 15(상도1동),198,76,126.95368,37.50599,195904.1107,545170.5146,안전
3810,1156000000,423,서울특별시,영등포구,1,학교,서울영신초등학교,1156013200101170002018135,1156013200,1156063000,서울특별시 영등포구 도신로60길 23(신길동),390,150,126.91799,37.51003,192748.7747,545620.7929,안전
3808,1156000000,422,서울특별시,영등포구,1,학교,영신고등학교,1156013200146560002009270,1156013200,1156068000,서울특별시 영등포구 대방천로14길 18(신길동),895,344,126.90975,37.49767,192019.0736,544249.3244,안전
3811,1156000000,450,서울특별시,영등포구,3,경로당,구립율산경로당,1156013200100090102000001,1156013200,1156063000,서울특별시 영등포구 여의대방로61길 36-5 (신길동),198,76,126.92263,37.51573,193159.6347,546252.8044,안전
3809,1156000000,404,서울특별시,영등포구,1,학교,서울대영초등학교,1156013200103410001011766,1156013200,1156067000,서울특별시 영등포구 신길로23길 43(신길동),180,69,126.90603,37.50235,191690.5113,544769.2835,안전
3807,1156000000,419,서울특별시,영등포구,1,학교,영등포여자고등학교,1156013200101840003000001,1156013200,1156051500,서울특별시 영등포구 영등포로62길 13(신길동),923,355,126.91557,37.51539,192535.3234,546215.6311,안전
3821,1159000000,54,서울특별시,동작구,1,학교,동작고등학교,1159010700102360007006121,1159010700,1159065100,서울특별시 동작구 솔밭로 51(사당동),3240,1246,126.96524,37.48224,196925.477,542533.1556,안전
3814,1156000000,414,서울특별시,영등포구,1,학교,서울신대림초등학교,1156013300109680000005275,1156013300,1156070000,서울특별시 영등포구 대림로8길 25(대림동),663,255,126.9056,37.49208,191651.862,543628.8073,안전
3820,1159000000,12,서울특별시,동작구,1,학교,강현중학교,1159010200103350005026047,1159010200,1159055000,서울특별시 동작구 상도로13라길 22(상도동),680,261,126.9311,37.50308,193907.8089,544847.6819,안전
3817,1156000000,456,서울특별시,영등포구,3,경로당,구립다사랑경로당,1156013300107030006002395,1156013300,1156071000,서울특별시 영등포구 대림로23가길 5(대림동),192,74,126.89948,37.49273,191110.2359,543702.25,긴급
3819,1156000000,460,서울특별시,영등포구,14,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",대림정보문화도서관,1156013300106080002000001,1156013300,1156072000,서울특별시 영등포구 도신로 27(대림동),216,83,126.89605,37.50431,190809.0182,544987.9175,안전
3813,1156000000,408,서울특별시,영등포구,1,학교,서울도신초등학교,1156013300107410003001128,1156013300,1156072000,서울특별시 영등포구 도림로53길 32-9 (대림동),360,138,126.90119,37.49872,191262.5703,544366.4387,긴급
3822,1159000000,59,서울특별시,동작구,1,학교,서울남성초등학교,1159010700103240018007885,1159010700,1159064000,서울특별시 동작구 사당로23길 57-14 (사당동),804,309,126.97581,37.48461,197860.4196,542796.3266,안전
3816,1156000000,457,서울특별시,영등포구,3,경로당,동심경로당,1156013300107420000000716,1156013300,1156072000,서울특별시 영등포구 대림로35길 7(대림동),132,50,126.8973,37.49864,190918.2709,544358.6153,긴급
3815,1156000000,455,서울특별시,영등포구,3,경로당,구립대림1경로당,1156013300108990002005798,1156013300,1156070000,서울특별시 영등포구 디지털로 441(대림동),60,23,126.90602,37.49543,191689.4136,544001.1791,긴급
