"순번","행정동 이름","시설 이름","주소","시설유형","이용가능인원","평일이용시간","주말이용시간","회원제 여부","X좌표","Y좌표","면적","비고"
"3","종로구","혜명경로당","서울특별시 종로구 혜화로9길 24-9","노인시설","100","09:00~18:00","","","199848.342439","554277.074165","",""
"4","중구","광희경로당","서울특별시 중구 퇴계로 303-9 광희동주민센터 4층","복지회관","30","09:00~18:00","","","200445.672843","551660.313597","",""
"5","중구","약수노인종합복지관","서울특별시 중구 다산로6길 11","복지회관","150","09:00~18:00","","","200823.359322","550327.417073","",""
"6","중구","청구e편한세상경로당","서울특별시 중구 청구로 64 청구 e편한세상 109동","노인시설","40","09:00~18:00","","","201490.134182","551230.446120","",""
"7","중구","현대아파트경로당","서울특별시 중구 다산로 36길 109 현대아파트 정문 앞","노인시설","40","09:00~18:00","","","202029.533020","551219.584585","",""
"8","용산구","남영동주민센터","서울특별시 용산구 두텁바위로 25","주민센터","10","09:00~18:00","","","197775.046331","549589.475474","",""
"9","용산구","원효로2동주민센터","서울특별시 용산구 효창원로8길 3","주민센터","20","09:00~18:00","","","195718.571993","548317.224262","",""
"10","용산구","이촌제1동주민센터","서울특별시 용산구 이촌로71길 24","주민센터","10","09:00~18:00","","","197642.310331","546874.827637","",""
"11","용산구","한남동주민센터","서울특별시 용산구 대사관로5길 1","주민센터","20","09:00~18:00","","","200044.928931","548340.589648","",""
"12","성동구","마장국민체육센터","서울특별시 성동구 마조로11길 6,(마장동)","기타","30","09:00~18:00","","","203604.434487","551398.489654","",""
"13","성동구","성동구민종합체육센터","서울특별시 성동구 왕십리로 89(성수동1가)","기타","40","09:00~18:00","","","203892.368318","549596.734252","",""
"14","성동구","성동책마루","서울특별시 성동구 고산자로 270(행당동)","기타","100","09:00~18:00","","","203260.850137","551544.493279","",""
"15","성동구","열린금호교육문화관","서울특별시 성동구 무수막길 69(금호동2가)","기타","55","09:00~18:00","","","201756.140965","550353.987709","",""
"16","성동구","서울숲복합문화체육센터","서울특별시 성동구 성수동1가 685-63","기타","60","09:00~18:00","","","203663.380547","550012.981919","",""
"17","광진구","아차산경로당","서울특별시 광진구 자양로47길 9-4","노인시설","31","09:00~18:00","","","208097.942323","550298.298936","",""
"18","광진구","광나루역버스정류장","서울특별시 광진구 아차산로 571","기타","10","09:00~18:00","","","209186.595173","549526.825035","",""
"19","광진구","광진문화예술회관버스정류장","서울특별시 광진구 능동로 90 ","기타","10","09:00~18:00","","","206267.449510","548763.884099","",""
"20","광진구","광진구청버스정류장","서울특별시 광진구 자양로 117 ","기타","10","09:00~18:00","","","207266.657243","548715.285109","",""
"21","광진구","구의역2번출구버스정류장","서울특별시 광진구 자양로18길 96 ","기타","10","09:00~18:00","","","207847.439087","548787.605604","",""
"22","광진구","중곡역버스정류장","서울특별시 광진구 능동로 417","기타","10","09:00~18:00","","","207422.806514","551768.320095","",""
"23","광진구","자양사거리버스정류장","서울특별시 광진구 아차산로 355","기타","10","09:00~18:00","","","207302.287964","548650.606531","",""
"24","광진구","잠실대교북단사거리버스정류장","서울특별시 광진구 자양로 46","기타","10","09:00~18:00","","","207599.136549","548082.968404","",""
"1","종로구","구립무악경로당","서울특별시 종로구 통일로14길 19","노인시설","30","09:00~18:00","","","196269.045247","552874.889096","",""
"2","종로구","동원경로당","서울특별시 종로구 숭인동2길 28","노인시설","35","09:00~18:00","","","201788.909851","553193.215471","",""
"25","광진구","신자초등학교버스정류장","서울특별시 광진구 뚝섬로46길 64","기타","10","09:00~18:00","","","206627.351729","547840.876632","",""
"26","광진구","화양천주교회버스정류장","서울특별시 광진구 능동로 172 ","기타","10","09:00~18:00","","","206538.435503","549609.753262","",""
"27","광진구","군자역버스정류장","서울특별시 광진구 능동로 295 2층","기타","10","09:00~18:00","","","206931.143452","550737.088841","",""
"28","광진구","긴고랑어린이공원","서울특별시 광진구 긴고랑로39길 8","기타","15","09:00~18:00","","","208036.445526","551070.378305","",""
"29","광진구","구둘어린이공원","서울특별시 광진구 자양로42길 40","기타","15","09:00~18:00","","","208139.998491","549880.359971","",""
"30","광진구","구의어린이공원","서울특별시 광나루로56길 86","기타","15","09:00~18:00","","","208401.798219","548592.368878","",""
"31","광진구","무궁화어린이공원","서울특별시 광진구 구의로16길 93","기타","15","09:00~18:00","","","208360.132906","549109.956014","",""
"32","광진구","개나리어린이공원","서울특별시 광진구 강변역로 17","기타","15","09:00~18:00","","","208135.515749","548718.367668","",""
"33","광진구","가중나무어린이공원","서울특별시 광진구 광나루로14길 36-5","기타","15","09:00~18:00","","","206003.207143","549681.716473","",""
"34","광진구","햇님어린이공원","서울특별시 광진구 아차산로25길 30","기타","15","09:00~18:00","","","205942.166844","549242.129105","",""
"35","광진구","목련어린이공원","서울특별시 광진구 아차산로59길 49","기타","15","09:00~18:00","","","208009.532038","549004.081357","",""
"36","동대문구","고황경로당","서울특별시 동대문구 이문로9길 52","노인시설","59","09:00~18:00","","","204992.527902","554995.325216","",""
"37","동대문구","답십리3동경로당","서울특별시 동대문구 황물로 30","노인시설","70","09:00~18:00","","","203992.024075","552735.303142","",""
"38","동대문구","청량경로당","서울특별시 동대문구 왕산로43다길 5","노인시설","49","09:00~18:00","","","204174.701616","554081.595772","",""
"39","동대문구","동부경로당","서울특별시 동대문구 천호대로45길 57","노인시설","10","09:00~18:00","","","203857.465144","552865.886828","",""
"40","동대문구","명성경로당","서울특별시 동대문구 무학로28길 22-2","노인시설","20","09:00~18:00","","","202820.321589","552757.481602","",""
"41","동대문구","만수경로당","서울특별시 동대문구 약령시로5길 22","노인시설","10","09:00~18:00","","","203020.415368","553830.773758","",""
"42","동대문구","섬마을경로당","서울특별시 동대문구 고산자로62길 32","노인시설","15","09:00~18:00","","","203324.295160","554500.347149","",""
"43","동대문구","제기경로당","서울특별시 동대문구 경동시장로23길 14","노인시설","20","09:00~18:00","","","203486.430336","554021.540445","",""
"44","동대문구","전농1동경로당","서울특별시 동대문구 전농로27길 81","노인시설","15","09:00~18:00","","","204605.382340","553254.766404","",""
"45","동대문구","청송경로당","서울특별시 동대문구 전농로17길 19-8","노인시설","20","09:00~18:00","","","204905.145191","553238.770686","",""
"46","동대문구","화목경로당","서울특별시 동대문구 전농로31길 33","노인시설","10","09:00~18:00","","","204560.517296","553708.540186","",""
"47","동대문구","중산경로당","서울특별시 동대문구 답십리로48길 54","노인시설","20","09:00~18:00","","","205089.573955","552314.214597","",""
"48","동대문구","미나리경로당","서울특별시 동대문구 천호대로87길 43","노인시설","20","09:00~18:00","","","206016.301947","551589.145084","",""
"49","동대문구","샛별경로당","서울특별시 동대문구 장한로17길 20","노인시설","10","09:00~18:00","","","205962.696365","552037.036437","",""
"50","동대문구","안골경로당","서울특별시 동대문구 천호대로77다길 20","노인시설","15","09:00~18:00","","","205688.051590","551749.535814","",""
"51","동대문구","근린경로당","서울특별시 동대문구 장한로 191","노인시설","10","09:00~18:00","","","206308.593765","553115.671809","",""
"52","동대문구","늘봄경로당","서울특별시 동대문구 장한로26나길 6","노인시설","20","09:00~18:00","","","206413.610366","552424.171345","",""
"53","동대문구","장평경로당","서울특별시 동대문구 한천로28길 27","노인시설","15","09:00~18:00","","","206047.231657","552636.451836","",""
"54","동대문구","회기동경로당","서울특별시 동대문구 이문로3길 54","노인시설","15","09:00~18:00","","","204596.516861","554572.799124","",""
"55","동대문구","아름경로당","서울특별시 동대문구 휘경동 119-35","노인시설","20","09:00~18:00","","","206038.156737","554869.726022","",""
"56","동대문구","수복경로당","서울특별시 동대문구 망우로6길 24","노인시설","15","09:00~18:00","","","204910.682507","554123.655810","",""
"57","동대문구","휘경2동경로당","서울특별시 동대문구 망우로20가길 34-6","노인시설","20","09:00~18:00","","","205722.646943","554511.813426","",""
"58","동대문구","진성경로당","서울특별시 동대문구 이문로16길 19","노인시설","10","09:00~18:00","","","205275.207080","554975.312087","",""
"59","동대문구","신이문경로당","서울특별시 동대문구 신이문로8길 32","노인시설","20","09:00~18:00","","","205597.229326","555772.002496","",""
"60","중랑구","망우3동주민센터","서울특별시 중랑구 겸재로61길 40","주민센터","20","09:00~18:00","","","208386.549826","554708.620650","",""
"61","중랑구","망우본동주민센터","서울특별시 중랑구 망우로67길 10","주민센터","50","09:00~18:00","","","208964.464376","555671.877401","",""
"62","중랑구","면목2동주민센터","서울특별시 중랑구 동일로101길 20-15 ","주민센터","20","09:00~18:00","","","206979.829304","554470.801202","",""
"63","중랑구","면목3.8동주민센터","서울특별시 중랑구 사가정로51길 48","주민센터","50","09:00~18:00","","","207778.855335","553714.990925","",""
"64","중랑구","면목4동주민센터","서울특별시 중랑구 면목로 246","주민센터","20","09:00~18:00","","","207562.085485","552797.548623","",""
"65","중랑구","면목5동주민센터","서울특별시 중랑구 동일로 619 ","주민센터","30","09:00~18:00","","","207021.476296","554026.775052","",""
"66","중랑구","면목7동주민센터","서울특별시 중랑구 면목로36길 4","주민센터","50","09:00~18:00","","","207602.313127","553137.554437","",""
"67","중랑구","면목본동주민센터","서울특별시 중랑구 면목로 397","주민센터","70","09:00~18:00","","","207731.886507","554197.792131","",""
"68","중랑구","묵1동주민센터","서울특별시 중랑구 공릉로2가길 5","주민센터","30","09:00~18:00","","","206929.313146","556983.131876","",""
"69","중랑구","묵2동주민센터","서울특별시 중랑구 중랑역로 181 2층","주민센터","15","09:00~18:00","","","206699.531049","556665.780599","",""
"70","중랑구","상봉1동주민센터","서울특별시 중랑구 상봉중앙로1길 6","주민센터","15","09:00~18:00","","","207696.768763","555587.144303","",""
"71","중랑구","상봉2동주민센터","서울특별시 중랑구 동일로114길 10","주민센터","40","09:00~18:00","","","207140.774897","554824.676690","",""
"72","중랑구","신내1동주민센터","서울특별시 중랑구 용마산로129나길 35","주민센터","15","09:00~18:00","","","208785.165546","556265.111531","",""
"73","중랑구","신내2동주민센터","서울특별시 중랑구 봉화산로 190","주민센터","20","09:00~18:00","","","208315.021681","556301.029135","",""
"74","중랑구","중화1동주민센터","서울특별시 중랑구 동일로134길 17","주민센터","50","09:00~18:00","","","207123.204569","555735.430906","",""
