연번,서ㆍ센터ID,서ㆍ센터명,유형구분명,도서지역포함여부,상위서ㆍ센터ID,일련번호,X좌표,Y좌표
1,1110108,쌍문119안전센터,안전센터/구조대,,1110000,1,202367.98100000000,560953.28700000000
2,1125000,강북소방서,소방서,,1100000,2,203372.13415000000,559271.25373500000
3,1125101,번동119안전센터,안전센터/구조대,,1125000,3,203369.03920700000,559276.67560400000
4,1125201,구조대,안전센터/구조대,,1125000,4,203375.74270700000,559265.79495200000
5,1113105,공덕119안전센터,안전센터/구조대,,1113000,5,196444.77984900000,550061.60010800000
6,1103108,종로119안전센터,안전센터/구조대,,1103000,6,199314.85600000000,552411.26800000000
7,1103000,종로소방서,소방서,,1100000,7,198914.66478200000,553043.23812200000
8,1103102,세종로119안전센터,안전센터/구조대,,1103000,8,198908.64567900000,553028.11507100000
9,1112105,녹번119안전센터,안전센터/구조대,,1112000,9,194253.57539800000,555729.36896400000
10,1112202,119구조대,안전센터/구조대,,1112000,10,192919.99074300000,558806.00204700000
11,1116102,봉천119안전센터,안전센터/구조대,,1116000,11,194824.20500000000,542949.90000000000
12,1120106,가락119안전센터,안전센터/구조대,,1120000,12,209404.69997700000,543904.32770200000
13,1113103,염리119안전센터,안전센터/구조대,,1113000,13,195187.58053200000,549133.37920800000
14,1119108,공단119안전센터,안전센터/구조대,,1119000,14,191021.31692500000,542757.69176900000
15,1108000,영등포소방서,소방서,,1100000,15,191526.84214200000,546560.60757000000
16,1108101,영등포119안전센터,안전센터/구조대,,1108000,16,191529.16114200000,546547.26857000000
17,1108201,구조대,안전센터/구조대,,1108000,17,191531.84814200000,546551.60057000000
18,1114000,강남소방서,소방서,,1100000,18,205904.58100000000,545647.84700000000
19,1114402,구조대,안전센터/구조대,,1114000,19,205898.61273600000,545643.35293400000
20,1114401,삼성119안전센터,안전센터/구조대,,1114000,20,205916.57700000000,545650.85200000000
21,1117104,발산119안전센터,안전센터/구조대,,1117000,21,185588.49400000000,550648.75300000000
22,1108103,당산119안전센터,안전센터/구조대,,1108000,22,191092.14100000000,548448.62200000000
23,1115104,서초119안전센터,안전센터/구조대,,1115000,23,202439.13682300000,543179.17255600000
24,1123101,연희119안전센터,안전센터/구조대,,1123000,24,194344.55800000000,552625.20700000000
25,1113106,성산119안전센터,안전센터/구조대,,1113000,25,191440.25100200000,552344.46175200000
26,1118000,강동소방서,소방서,,1100000,26,211043.48766900000,547760.41718700000
27,1122102,면목119안전센터,안전센터/구조대,,1122000,27,207055.48100000000,552592.48200000000
28,1122103,망우119안전센터,안전센터/구조대,,1122000,28,208881.69428000000,555365.98482400000
29,1120102,거여119안전센터,안전센터/구조대,,1120000,29,213423.65221500000,543861.49954700000
30,1118101,성내119안전센터,안전센터/구조대,,1118000,30,211038.26813400000,547762.82036500000
31,1118103,고덕119안전센터,안전센터/구조대,,1118000,31,213433.65025300000,550859.46803300000
