순번,쉼터_구분,쉼터명,구이름,도로명주소,X좌표,Y좌표,운영시간
1,CU,남대문로5가점,중구,"중구 세종대로 8-1, (남대문로5가)",197649.2868,550893.7822,24시간
2,CU,경희당점,종로구,종로구 경희궁길 36 (신문로2가),197352.6385,552593.6265,24시간
3,CU,동숭아트점,종로구,종로구 동숭길 114 (동숭동) 1층 CU,200338.5856,553737.1762,24시간
4,CU,동묘토성점,종로구,종로구 지봉로4길 21,201500.5888,552420.2493,24시간
5,CU,행당삼부소월점,성동구,성동구 왕십리로 284 (행당동) 1층 CU,203259.2865,551132.8573,24시간
6,CU,자양차이나점,광진구,광진구 뚝섬로23가길 17 1층 CU,205780.3027,548727.4752,24시간
7,CU,전농우성점,동대문구,"동대문구 사가정로 190, 상가(전농동, 전농우성아파트) 2층",205863.9969,553171.577,24시간
8,CU,장안관광호텔점,동대문구,"동대문구 천호대로 377, (장안동)",205388.4614,551424.2036,24시간
9,CU,군자초교점,동대문구,동대문구 천호대로77길 22 1층 CU,205423.9675,551512.2754,24시간
10,CU,답십리점,동대문구,동대문구 답십리동 서울시립대로2길 60 (답십리동) 1층 CU,204324.492,552555.8259,24시간
11,CU,CU중랑동부점,중랑구,"중랑구 중랑천로10길 48, (면목동)",206685.1762,554728.9493,24시간
12,CU,망우경남점,중랑구,중랑구 양원역로 37 경남아파트 1층 1동 1호 1층 CU,209399.0829,556080.8041,24시간
13,CU,CU안암센트럴점,성북구,성북구 고려대로28길 16 안암랜드빌딩 (안암동5가),202702.9001,554000.7645,24시간
14,CU,동선대로점,성북구,성북구 동소문로27길 1 (동선동4가) 1층 CU,201662.3409,555009.1424,24시간
15,CU,창동그랜드점,도봉구,도봉구 해등로 119 (창동),203580.964,561619.6345,24시간
16,CU,도봉무수골점,도봉구,도봉구 도봉로173길 40 (도봉동),203663.6629,564444.2594,24시간
17,CU,방학삼익점,도봉구,도봉구 도당로 36 1층 CU,203088.9415,562398.1427,24시간
18,CU,상계불암점,노원구,노원구 덕릉로94길 21 상계불암대림아파트 1층 CU,206761.3377,562658.9258,24시간
19,CU,중계주공3&4단지점,노원구,노원구 한글비석로 325 1층 CU,206858.1427,561869.4204,24시간
20,CU,서대문센트럴점,서대문구,서대문구 이화여대8길 62 (북아현동) 두산아파트 B1층 상가동 05호,195573.1984,551125.7989,24시간
21,CU,신촌르메이에르점,서대문구,"서대문구 신촌로 127, 메이에르타 (창천동)",194697.8037,550772.62,24시간
22,CU,마포아이비점,마포구,"마포구 서강로 136 (노고산동, 아이비타워) 지하1층 B101호",194327.2936,550511.2514,24시간
23,CU,마포센트럴점,마포구,마포구 대흥로24길 7 (대흥동) NK빌딩 1층,195268.2464,550550.7213,24시간
24,CU,홍대상상점,마포구,마포구 잔다리로 25 (서교동) 1층 1동 101호,192936.9093,550150.3509,24시간
25,CU,신목동점,양천구,양천구 신목로5길 13 1층 CU,188726.3812,546467.7375,24시간
26,CU,방화리치점,강서구,강서구 방화동로 107 (방화동) 1층 CU,183445.5932,552285.6415,24시간
27,CU,관악푸른점,관악구,"관악구 낙성대역길 61 (봉천동, 킹스빌리지) 킹스빌리지 1층",196682.0948,541757.404,24시간
28,CU,관악우체국점,관악구,관악구 남부순환로187길 9 (신림동) 1층 CU,194106.8164,542870.9574,24시간
29,CU,관악인헌길점,관악구,관악구 인헌12길 42 태양빌라 1층 CU,196907.195,541260.4316,24시간
30,CU,CU상도삼호점,동작구,동작구 상도로 407-5 삼호아파트 상가동 지하1층 101호,196164.634,543756.8912,24시간
