"순번","쉼터명칭","사용여부","도로명주소","지번주소","시설유형","시설면적","이용가능인원","운영시작일","운영종료일","평일개방여부","평일 개방시간","평일 종료시간","토요일개방여부","토요일 개방시간","토요일 종료시간","일요일 개방여부","일요일 개방시간","일요일 종료시간","공휴일 개방여부","공휴일 개방시간","공휴일 종료시간","위도","경도","비고","X좌표","Y좌표"
"1","청운효자동주민센터","Y","서울특별시 종로구 자하문로 92","서울특별시 종로구 궁정동 12-1","주민센터","200.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.97065580","37.58409520","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","197408.138837","553838.071974"
"2","세종마을경로당","Y","서울특별시 종로구 자하문로11길 33","서울특별시 종로구 통인동 54","노인시설","141.90","50","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","126.96991550","37.58037120","","197342.618600","553424.771148"
"3","사직동주민센터","Y","서울특별시 종로구 경희궁1길 15","서울특별시 종로구 신문로2가 1-122","주민센터","400.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.97065170","37.57139400","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","197407.336351","552428.384882"
"4","사직경로당","Y","서울특별시 종로구 사직로9길 15-25 ","서울특별시 종로구 사직동 262-197","노인시설","158.50","30","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","126.96558640","37.57645350","","196960.067394","552990.082688"
"5","삼청동주민센터","Y","서울특별시 종로구 삼청로 107","서울특별시 종로구 삼청동 105-1","주민센터","200.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.98176010","37.58499430","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","198388.958652","553937.613444"
"6","복정경로당","Y","서울특별시 종로구 삼청로4길 22","서울특별시 종로구 삼청동 35-113","노인시설","200.00","30","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","126.98212490","37.58239690","","198421.124801","553649.325421"
"7","부암동주민센터","Y","서울특별시 종로구 창의문로 145","서울특별시 종로구 부암동 265-21","주민센터","400.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.96407630","37.59243540","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","196827.350725","554763.941863"
"8","신영경로당","Y","서울특별시 종로구 세검정로6길 76-19 ","서울특별시 종로구 신영동 87-1","노인시설","143.24","30","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","126.96364450","37.60129100","","196789.596226","555746.829554"
"9","평창동주민센터","Y","서울특별시 종로구 평창문화로 65","서울특별시 종로구 평창동 186-9","주민센터","200.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.96837860","37.60638670","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","197207.835485","556312.244876"
"10","평창경로당","Y","서울특별시 종로구 평창문화로 48","서울특별시 종로구 평창동 235-2","노인시설","288.00","40","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","126.96691540","37.60531780","","197078.593354","556193.653215"
