연번,자치구,도서관명,이용시간,휴관일,주소
1,강남구,논현도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정공휴일,서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층
2,강남구,논현문화마루도서관(본관),"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,"서울특별시 강남구 논현로131길 40, 4~5층"
3,강남구,정다운도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정공휴일,서울특별시 강남구 학동로67길 11 3층
4,강남구,청담도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,서울특별시 강남구 압구정로79길 26 청담주민센터 7층
5,강남구,대치도서관,평일 : 09:00~21:00. 주말 : 09:00~17:00 ,매주 화요일 및 법정공휴일,서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호
6,강남구,즐거운도서관,평일 : 09:00~22:00. 주말 : 09:00~17:00 ,매주 월요일 및 법정공휴일,서울특별시 강남구 도곡로77길 23 4층
7,강남구,행복한도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정공휴일,서울특별시 강남구 영동대로65길 24(대치2문화센터 3층)
8,강남구,역삼도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,"서울특별시 강남구 역삼로7길 16, 5층"
9,강남구,강남역삼푸른솔도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 화요일 및 법정공휴일,서울특별시 강남구 테헤란로8길 36. 4층
10,강남구,개포하늘꿈도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정공휴일,서울특별시 강남구 개포로 110길 54
11,강남구,열린도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호
12,강남구,강남구립못골도서관,"평일 : 09:00~22:00, 주말 : 09:00~22:00",매주 화요일 및 법정공휴일,서울특별시 강남구 자곡로 116
13,강남구,못골한옥어린이도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,서울특별시 강남구 자곡로7길 3 
14,강남구,도곡정보문화도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,서울특별시 강남구 도곡로18길 57
15,강남구,강남구립세곡마루도서관,월~토 09:00~18:00,"매주 일요일, 법정공휴일","서울특별시 강남구 헌릉로590길 68, 2층"
16,강남구,일원라온영어도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,서울특별시 강남구 영동대로 22 B1(일원동 743)
