자치구,2021,2022,2023
종로구,80.25,79.09,76.36
중구,78.12,77.92,75.86
용산구,81.45,78.53,78.98
성동구,80.74,80.68,82.10
광진구,82.44,82.55,83.62
동대문구,71.64,75.04,74.02
중랑구,79.60,77.33,77.00
성북구,79.02,81.65,80.59
강북구,80.27,78.74,76.16
도봉구,82.22,83.33,81.98
노원구,79.46,79.75,78.37
은평구,80.11,80.33,81.03
서대문구,80.35,80.89,82.08
마포구,78.43,80.43,79.19
양천구,77.76,81.54,81.59
강서구,77.40,77.79,79.88
구로구,77.48,77.19,78.86
금천구,76.20,80.40,78.46
영등포구,70.74,67.80,75.63
동작구,78.91,79.44,77.94
관악구,79.22,79.82,80.03
서초구,77.61,77.63,76.89
강남구,71.06,62.24,69.34
송파구,69.29,72.46,70.74
강동구,80.62,80.86,80.94
