gu,pharmacy_count,pharmacy_score
강남구,559,100.0
강동구,308,66.51693158258466
강북구,169,36.497926744989634
강서구,290,62.629578438147895
관악구,242,52.263303386316515
광진구,181,39.089495507947476
구로구,199,42.97684865238424
금천구,144,31.098825155494126
노원구,239,51.61541119557705
도봉구,126,27.21147201105736
동대문구,291,62.845542501727714
동작구,205,44.272633033863166
마포구,217,46.86420179682101
서대문구,163,35.20214236351071
서초구,294,63.49343469246717
성동구,159,34.33828610919143
성북구,206,44.488597097442984
송파구,403,87.03351762266759
양천구,199,42.97684865238424
영등포구,283,61.117829993089146
용산구,119,25.699723565998617
은평구,237,51.18348306841741
종로구,193,41.681064270905324
중구,173,37.361782999308915
중랑구,189,40.81720801658604
