자치구,보건소,보건분소,보건지소,phcenter_score,phbranch_score,phsubcenter_score,phcenter_mean_score
강남구,2,2,2,0.0,50.0,24.999999999999996,25.0
강동구,2,0,4,0.0,0.0,49.99999999999999,16.666666666666664
강북구,2,0,4,0.0,0.0,49.99999999999999,16.666666666666664
강서구,2,2,4,0.0,50.0,49.99999999999999,33.333333333333336
관악구,2,2,2,0.0,50.0,24.999999999999996,25.0
광진구,2,0,4,0.0,0.0,49.99999999999999,16.666666666666664
구로구,2,0,4,0.0,0.0,49.99999999999999,16.666666666666664
금천구,2,0,6,0.0,0.0,74.99999999999999,24.999999999999996
노원구,2,0,8,0.0,0.0,99.99999999999999,33.33333333333333
도봉구,2,0,2,0.0,0.0,24.999999999999996,8.333333333333332
동대문구,2,2,0,0.0,50.0,0.0,16.666666666666668
동작구,2,2,2,0.0,50.0,24.999999999999996,25.0
마포구,2,0,4,0.0,0.0,49.99999999999999,16.666666666666664
서대문구,2,4,2,0.0,100.0,24.999999999999996,41.666666666666664
서초구,2,0,4,0.0,0.0,49.99999999999999,16.666666666666664
성동구,2,2,4,0.0,50.0,49.99999999999999,33.333333333333336
성북구,2,0,6,0.0,0.0,74.99999999999999,24.999999999999996
송파구,2,0,2,0.0,0.0,24.999999999999996,8.333333333333332
양천구,2,0,4,0.0,0.0,49.99999999999999,16.666666666666664
영등포구,2,2,0,0.0,50.0,0.0,16.666666666666668
용산구,2,2,0,0.0,50.0,0.0,16.666666666666668
은평구,2,0,6,0.0,0.0,74.99999999999999,24.999999999999996
종로구,2,2,0,0.0,50.0,0.0,16.666666666666668
중구,2,0,6,0.0,0.0,74.99999999999999,24.999999999999996
중랑구,2,2,2,0.0,50.0,24.999999999999996,25.0
