구이름,climateshelter_count,climateshelter_score,climateshelter_mean_score
강남구,49,100.00000000000001,100.00000000000001
강동구,15,20.93023255813954,20.93023255813954
강북구,16,23.255813953488374,23.255813953488374
강서구,34,65.11627906976744,65.11627906976744
관악구,16,23.255813953488374,23.255813953488374
광진구,24,41.86046511627907,41.86046511627907
구로구,15,20.93023255813954,20.93023255813954
금천구,6,0.0,0.0
노원구,27,48.83720930232559,48.83720930232559
도봉구,16,23.255813953488374,23.255813953488374
동대문구,20,32.55813953488372,32.55813953488372
동작구,13,16.27906976744186,16.27906976744186
마포구,24,41.86046511627907,41.86046511627907
서대문구,16,23.255813953488374,23.255813953488374
서초구,26,46.51162790697674,46.51162790697674
성동구,14,18.6046511627907,18.6046511627907
성북구,13,16.27906976744186,16.27906976744186
송파구,22,37.209302325581405,37.209302325581405
양천구,17,25.58139534883721,25.58139534883721
영등포구,20,32.55813953488372,32.55813953488372
용산구,9,6.976744186046513,6.976744186046513
은평구,26,46.51162790697674,46.51162790697674
종로구,26,46.51162790697674,46.51162790697674
중구,22,37.209302325581405,37.209302325581405
중랑구,19,30.232558139534884,30.232558139534884
