구이름,coldshelter_count,coldshelter_capacity,coldshelter_area,coldshelter_count_score,coldshelter_capacity_score,coldshelter_area_score,coldshelter_mean_score
강남구,62,2207.0,12517.2,62.5,28.848240582855368,13.346157796092328,34.898132792982565
강동구,60,2852.0,9479.59,59.722222222222214,38.84669043559138,9.446686692854758,36.005199783556115
강북구,85,2716.0,12760.9,94.44444444444444,36.73849015656487,13.65900279853141,48.280645799846916
강서구,87,5223.0,25360.29,97.22222222222221,75.60068206479616,29.833217797632802,67.55204069488373
관악구,80,2098.0,26105.03,87.5,27.158580065106186,30.789262882230606,48.48261431577893
광진구,74,3476.0,17431.14,79.16666666666666,48.519609362889476,19.654330021309917,49.11353535028868
구로구,23,5079.0,16354.8,8.333333333333332,73.36847000465045,18.27260006675396,33.324801134912576
금천구,50,1917.0,8766.43,45.83333333333333,24.35281351728414,8.531181801843438,26.239109550820302
노원구,89,3102.0,14351.05,99.99999999999999,42.72205859556658,15.7003260674215,52.80746155432936
도봉구,52,3874.0,25874.71,48.6111111111111,54.68919547356999,30.493594187270528,44.597966923983876
동대문구,32,2456.0,23241.29,20.833333333333332,32.708107270190666,27.112993915119773,26.88481150621459
동작구,31,1705.0,15275.98,19.444444444444446,21.066501317625175,16.887686461783357,19.132877407950996
마포구,17,667.0,2120.81,0.0,4.975972717408153,0.0,1.6586575724693844
서대문구,36,900.0,7950.83,26.38888888888889,8.587815842505037,7.484171609027189,14.153625446807036
서초구,61,1294.0,15880.56,61.1111111111111,14.695396062625948,17.663803948753497,31.156770374163514
성동구,31,346.0,11614.29,19.444444444444446,0.0,12.1870651364605,10.543836526968315
성북구,37,6797.0,80018.81,27.777777777777775,100.0,99.99999999999999,75.92592592592592
송파구,71,2610.0,77150.7,75.0,35.09533405673539,96.31812113276334,68.80448506316624
양천구,78,3834.0,31028.52,84.72222222222221,54.069136567973956,37.109694729004595,58.63368450640025
영등포구,28,1111.0,18440.54,15.277777777777775,11.858626569524104,20.950127089270584,16.028843812190818
용산구,33,1798.0,79529.66,22.222222222222218,22.50813827313595,99.37206346761148,48.03414132098988
은평구,57,2386.0,10077.7,55.55555555555554,31.623004185397612,10.214498446686694,32.46435272921328
종로구,35,1353.0,7842.62,24.999999999999996,15.609982948380095,7.345259185088191,15.985080711156094
중구,65,3387.0,21145.96,66.66666666666666,47.139978297938306,24.423155921846515,46.07660029548382
중랑구,54,2293.0,8022.7,51.388888888888886,30.18136722988684,7.576433284551592,29.715563134442437
