구이름,heatshelter_count,heatshelter_capacity,heatshelter_area,heatshelter_count_score,heatshelter_capacity_score,heatshelter_area_score,heatshelter_mean_score
강남구,119,2745.0,14410.87,20.869565217391305,3.600464576074332,6.491835537643565,10.3206217770364
강동구,231,14059.0,43172.37,69.56521739130434,72.76117122073477,40.08441154505877,60.803600052365965
강북구,94,2639.0,12667.72,10.0,2.9525032092426198,4.455888216838813,5.802797142027145
강서구,186,9587.0,41772.75,49.99999999999999,45.424536952136435,38.449697040199894,44.62474466411211
관악구,141,3343.0,34954.38,30.43478260869565,7.255944739898526,30.486043806826125,22.725590385140098
광진구,96,3737.0,21057.89,10.869565217391305,9.664404914725838,14.255357070693266,11.596442400936802
구로구,264,9905.0,36229.69,83.91304347826087,47.368421052631575,31.975567931368197,54.41901082075355
금천구,94,2813.0,12004.54,10.0,4.016137905739958,3.6813137142364614,5.89915053999214
노원구,301,2710.0,14970.46,100.0,3.386515068158202,7.145420003265643,36.84397835714128
도봉구,158,8400.0,38459.67,37.82608695652174,38.16859221223791,34.580118203259985,36.858265790673215
동대문구,116,3971.0,24340.170000000002,19.565217391304344,11.094810196222264,18.08896242429509,16.249663337273898
동작구,165,18515.0,82168.18,40.869565217391305,100.0,85.630357041494,75.4999740862951
마포구,85,2502.0,8852.65,6.086956521739133,2.115043706828045,0.0,2.734000076189059
서대문구,137,6185.0,40123.74,28.69565217391304,24.628644782688426,36.52370243762396,29.949333131408476
서초구,110,2156.0,18763.35,16.95652173913043,0.0,11.575402640220082,9.510641459783505
성동구,213,5040.0,45400.71,61.7391304347826,17.62943945228926,42.68704634575983,40.685205410943894
성북구,278,7511.0,88429.69,90.0,32.73427471116816,92.94361436799612,71.89262969305476
송파구,207,7817.0,94471.27,59.130434782608695,34.604804694663486,100.0,64.57841315909073
양천구,193,7597.0,45968.020000000004,53.043478260869556,33.25997921633351,43.3496475416212,43.21770167294142
영등포구,200,4998.0,29513.25,56.08695652173913,17.3727000427899,24.13096590437921,32.53020748963608
용산구,88,3272.0,24982.78,7.391304347826086,6.821932880982944,18.839511779096647,11.017583002635225
은평구,199,2274.0,10181.7,55.65217391304348,0.7213154838315301,1.5522908451456026,19.308593414006868
종로구,82,3070.0,27484.95,4.782608695652172,5.5871385781526985,21.761971870137593,10.710573047980821
중구,71,3348.0,18646.96,0.0,7.286508955315115,11.439462584190215,6.241990513168443
중랑구,155,5401.0,23608.7,36.521739130434774,19.836175805367077,17.23462723412267,24.530847389974838
