자치구,libshelter_count,libshelter_score
강남구,16,93.33333333333334
강동구,6,26.666666666666664
강북구,6,26.666666666666664
강서구,5,20.0
관악구,5,20.0
광진구,8,40.0
구로구,11,60.00000000000001
금천구,4,13.333333333333334
노원구,9,46.666666666666664
도봉구,7,33.333333333333336
동대문구,10,53.333333333333336
동작구,11,60.00000000000001
마포구,4,13.333333333333334
서대문구,3,6.666666666666666
서초구,9,46.666666666666664
성동구,7,33.333333333333336
성북구,17,100.00000000000001
송파구,8,40.0
양천구,9,46.666666666666664
영등포구,7,33.333333333333336
용산구,2,0.0
은평구,6,26.666666666666664
종로구,5,20.0
중구,8,40.0
중랑구,7,33.333333333333336
