gu,발생건수,사망자수,부상자수,traaccident_score
종로구,917,5,1253,14.257263035463852
중구,976,16,1236,35.10095363862086
용산구,868,12,1174,26.086682300545576
성동구,919,7,1155,17.20233171535983
광진구,785,4,1018,9.175386368153356
동대문구,1520,5,1906,25.668752466849742
중랑구,1199,8,1623,25.663346391891093
성북구,1286,7,1628,24.748530037482123
강북구,877,5,1123,12.811006768615792
도봉구,522,5,671,5.555555555555556
노원구,1288,5,1717,21.773150597502497
은평구,1218,2,1574,14.358561333232558
서대문구,818,6,1105,13.911230499640292
마포구,1201,11,1641,31.38265878114529
양천구,1274,7,1689,25.109818551829743
강서구,1538,12,2001,39.57276611885107
구로구,1320,7,1736,25.95796872944292
금천구,798,8,1071,17.1383073421846
영등포구,1948,8,2643,41.49886839829021
동작구,1230,2,1615,14.808341521175018
관악구,1254,13,1581,35.155880409923945
서초구,2027,17,2959,61.493026688165
강남구,3754,11,4863,83.33333333333333
송파구,2500,20,3424,75.62440165772303
강동구,1428,9,1921,32.246589798929
