한강공원,safety_score,CRI_score,DRM_score,FIR_score,MED_score,RST_score,TRA_score
잠실한강공원,57.1381583216405,35.93657602407243,55.6240712108581,50.0,52.347125872871935,52.86335627140813,82.09510839873393
잠원한강공원,55.15107937734749,53.83638739934256,42.893510898802866,40.625,61.53255765587866,50.50486937666555,73.57672587809536
광나루한강공원,45.20731469772369,30.37895659906014,45.10188390685744,50.0,48.61013206221844,42.19227793999483,55.10324560390387
강서한강공원,43.04814330993672,35.82281436684055,54.169117599067825,50.0,44.91791912089222,59.52980237227168,27.586115549941077
반포한강공원,42.50404025927541,37.73174608802667,39.41608671245211,31.25,41.81511531175733,36.68509012510112,56.51459527948483
양화한강공원,38.86352410609551,25.79664071460008,42.46120476109843,31.25,39.91413982063262,26.021147421126763,53.481464194899786
여의도한강공원,38.86352410609551,25.79664071460008,42.46120476109843,31.25,39.91413982063262,26.021147421126763,53.481464194899786
망원한강공원,28.177157708514372,27.15820349442884,19.6217024642417,50.0,20.925393727109498,19.01438241645162,35.384455116848265
난지한강공원,28.177157708514372,27.15820349442884,19.6217024642417,50.0,20.925393727109498,19.01438241645162,35.384455116848265
뚝섬한강공원,26.905267451724605,23.30585384379941,30.750744019404944,50.0,22.133322578299055,41.54924442672079,12.752615910446009
이촌한강공원,25.853653934117048,20.108197804013955,20.609000169906153,50.0,10.59159755816632,23.106112503078084,33.23997329885311
