자치구,CRI_score,DRM_score,FIR_score,MED_score,RST_score,TRA_score,safety_score
종로구,42.66212308963238,33.16217319982235,33.33333333333333,25.23541138733049,28.069740752051217,41.96228042842285,35.97738657225928
중구,19.011878045604128,18.840121849743618,56.25,18.581432209635743,37.938560099742936,50.98862923605867,32.53656261150927
용산구,20.108197804013955,20.609000169906153,50.0,10.59159755816632,23.106112503078084,33.23997329885311,25.853653934117048
성동구,14.31268457739058,28.621904494622303,50.0,21.649763991564647,19.061248950331333,18.994122473816553,23.83764495177743
광진구,23.30585384379941,30.750744019404944,50.0,22.133322578299058,41.54924442672079,12.752615910446007,26.905267451724605
중랑구,30.743477278593343,41.4500796025573,50.0,27.42180899642293,29.76566658192175,42.698068729494274,37.90448009656603
성북구,26.450307388225426,40.51354013870848,50.0,28.98263233303314,54.07126124665259,25.121800070740782,35.004285887975975
강북구,23.665208845598258,22.35365400801528,50.0,19.850382464959118,31.861530282203496,33.72308054521759,28.923416682144133
도봉구,6.846853378731742,22.36960324667961,33.33333333333333,15.449864806295118,34.16067226338955,9.748623529714644,17.693314410146712
노원구,25.142974040974735,31.31082898527363,50.0,34.64577095127966,49.00893284504278,31.011107881849338,33.974549404607934
은평구,34.97884981760274,34.77953186689403,50.0,31.78675784637133,36.18791826254336,18.423805690125597,32.09407196366692
마포구,27.15820349442884,19.6217024642417,50.0,20.925393727109494,19.01438241645162,35.384455116848265,28.177157708514372
양천구,23.26706951387201,31.03078650233929,31.25,24.949238853288215,42.67446877605579,19.078208677550165,27.068033460681164
강서구,35.82281436684055,54.169117599067825,50.0,44.91791912089222,59.52980237227168,27.586115549941077,43.04814330993672
구로구,32.44713773390639,30.57603287502829,50.0,30.86959914644452,33.1439145592962,32.93816661975867,33.76932879105209
금천구,15.930672831225564,12.674280207919878,31.25,18.71153997594457,12.418892207660669,34.70656291523982,21.269388565395563
동작구,11.822366251340465,24.47521735465081,31.25,25.302383073949933,27.71477627878665,35.6702012259985,25.82754383070408
관악구,46.50296766241203,27.29681515062616,33.33333333333333,27.808820994853676,32.96793034622093,34.206187791582074,34.08735273547526
서초구,37.73174608802667,39.41608671245211,31.25,41.81511531175733,36.68509012510112,56.51459527948483,42.50404025927541
강남구,69.94102871065846,46.37093508515362,50.0,81.25,64.32464862823,90.63885647670588,67.79811849541957
송파구,35.93657602407243,55.6240712108581,50.0,52.347125872871935,52.86335627140813,82.09510839873393,57.1381583216405
강동구,24.821337174047848,34.579696602856785,50.0,44.873138251564946,31.521199608581526,28.111382809073806,33.27647107380687
동대문구,25.79664071460008,36.94123611916591,50.0,37.81950350867527,30.73548008350005,52.893801848221486,39.47358599398439
영등포구,25.79664071460008,42.46120476109843,31.25,39.91413982063262,26.021147421126763,53.481464194899786,38.86352410609551
서대문구,25.79664071460008,28.512093959834836,50.0,30.242742751245693,18.62537573992568,18.451108399546282,26.786940581882433
