gu,park_name,navermap_reviews_count,kakaomap_reviews_count,total_reviews
강남구,도산근린공원,2081.0,26.0,2107
강남구,율현공원,222.0,30.0,252
강동구,길동생태공원,466.0,37.0,503
강동구,일자산허브천문공원,997.0,63.0,1060
강북구,북서울꿈의숲,6556.0,587.0,7143
강북구,북한산국립공원(북한산),3993.0,126.0,4119
강서구,방화근린공원,510.0,61.0,571
강서구,우장산근린공원(우장산/우장산근린공원),711.0,8.0,719
강서구,서울식물원,21360.0,2706.0,24066
관악구,서울대공원,11538.0,1187.0,12725
관악구,관악산공원(관악산),6915.0,208.0,7123
광진구,어린이대공원,14921.0,1862.0,16783
광진구,아차산공원(아차산),4364.0,140.0,4504
구로구,고척근린공원,335.0,15.0,350
구로구,푸른수목원,5595.0,163.0,5758
금천구,금천체육공원,146.0,12.0,158
금천구,금천폭포근린공원,26.0,6.0,32
노원구,수락산도시자연공원(수락산),3961.0,84.0,4045
노원구,불암산도시자연공원(불암산),3891.0,71.0,3962
도봉구,서울창포원,2514.0,241.0,2755
도봉구,북한산국립공원(북한산),3993.0,126.0,4119
동대문구,용두근린공원(용두공원),248.0,40.0,288
동대문구,배봉산근린공원(배봉산),554.0,14.0,568
동작구,국립서울현충원,3957.0,314.0,4271
동작구,보라매공원,7733.0,1119.0,8852
마포구,문화비축기지,2553.0,196.0,2749
마포구,경의선숲길,4935.0,34.0,4969
서대문구,독립공원(서대문독립공원),706.0,70.0,776
서대문구,북한산국립공원(북한산),3993.0,126.0,4119
서초구,청계산도시자연공원(청계산),4284.0,161.0,4445
서초구,매헌시민의숲,3406.0,216.0,3622
성동구,서울숲,30582.0,204.0,30786
성동구,달맞이근린공원,680.0,66.0,746
성북구,청량근린공원(천장산),332.0,8.0,340
성북구,북한산국립공원(북한산),3993.0,126.0,4119
송파구,올림픽공원,22371.0,1546.0,23917
송파구,송파나루근린공원(석촌호수),20825.0,1146.0,21971
양천구,서서울호수공원,2724.0,258.0,2982
양천구,파리근린공원(파리공원),722.0,116.0,838
영등포구,선유도공원,131.0,581.0,712
영등포구,여의도공원(여의도도시근린공원),5072.0,433.0,5505
용산구,용산가족공원,3745.0,401.0,4146
용산구,효창근린공원(효창공원),1137.0,63.0,1200
은평구,진관근린공원(구파발폭포/이말산),118.0,6.0,124
은평구,북한산국립공원(북한산),3993.0,126.0,4119
종로구,북한산국립공원(북한산),3993.0,126.0,4119
종로구,인왕산도시자연공원(인왕산),8249.0,331.0,8580
종로구,낙산공원,6192.0,296.0,6488
중구,남산공원,1216.0,124.0,1340
중구,서울로 7017,3282.0,192.0,3474
중랑구,사가정공원(용마산),2828.0,140.0,2968
중랑구,중랑캠핑숲(중랑가족캠핑장),1555.0,283.0,1838
