작성자,내용,별점,작성일
가드프레스,"가볍게 피크닉 또는 경치구경하러 오기 좋은 곳입니다. 근처에 돗자리,텐트, 먹거리 모두 주문 가능하나 무분별하게 버려지는 쓰레기도 가끔 눈에 띕니다. 거리 공연도 참여나 즐길 수 있어 흥미롭고 여름에 오기 참 좋은 곳입니다. 낭만을 다방면으로 즐길 수 있어요.",별표 3개,2달 전
J. H. Park,"여의도 한강 공원이 밤에 이렇게 핫할수가 !! 서울에 있는 각종 젊은이들이 다 여기로 모여든 것 같다. 빛도 거의 없는 어두운 풀밭에 자리를 깔고, 어떤 그룹들은 이야기를 나누고 커플은 데이트를 즐겼다. 물론 그룹 중에 남자만 온 경우는 없어 보였다.  여기만 보면 서울이 참 매력적이고 행복지수가 높아보였다. 한편으로는 이렇게 젊은이들이 재밌게 모여놀 수 있는 장소가 있다보니, 더욱 지방으로는 가지 않고 출산도 미루게 되는게 아닐까 싶기도 하다.  여기서 빼놓을 수 없는게 한강라면이다. 🍜 라면기계를 잘 사용할 줄 몰라 앞서 이용하던 일본인 관광객께서 특유의 친절함으로 알려주셨다. 🤣 여의도 한바퀴 10km를 뛴 다음 먹는 한강라면과 맥주는 정말 꿀맛이었다 !! 피크닉 구역 풀밭에 돗자리깔고 피크닉을 즐길 수 있음.",별표 5개,3달 전
모아스토리,"겨울을 지내고 오랜만에 가본 여의도한강공원, 5호성 여의나루역 쪽 공원입니다. 편의점도 사라지고 곳곳에 아직도 공사중이어서 환경이 좋지는 않네요. 봄을 준비하는 거겠죠~~ 😆 자전거 대여점, 푸드트럭, 매트나 테이블 빌려주는 곳들이 있어서 편하게 시간을 보낼 수 있어요. 유람선도 탈 수 있구요. 유람선 선착장 공사를 대규모로 하는 걸 보니 뭔가 변화가 있을 것도 같네요. 공원 전체가 무장애환경이라 휠체어, 유모차 타고 산책 오셔도 참 좋아요~~ 놀이터 놀이터가 여러 곳 있어요 화장실 화장실은 많은데 고장이거나 수리중인 곳들도 많았어요 반려견 동반 환경 반려견에겐 참 좋은 환경이죠 피크닉 구역 대부분의 장소에서 피크닉 가능해요",별표 4개,4달 전
jounghun ha,오후되니 날도 따뜻해지고 사람들도 엄청 많이 놀러오네요 벗꽃과  개나리틈에서 사진도 찍고  한강구경도 했네요 다음주되면 축제기간이 되니 사람들도 더 많아질거 같네요 오늘은 텐트 돗자리 갖고 온분들도 많고 라면먹는 분들도 많습니다,별표 4개,4달 전
BKstrawberry,"여의도 한강공원은 서울 시민들에게 가장 익숙한 휴식 공간이에요. 봄에는 벚꽃이 피고, 여름에는 불꽃축제가 열려서 언제 가도 볼거리가 많아요. 저는 자전거를 빌려 한강을 따라 달렸는데, 시원한 강바람이 불어서 기분이 상쾌했어요. 곳곳에 푸드트럭도 있어서 간식거리도 쉽게 구할 수 있었어요. 밤이 되면 도심의 불빛과 한강이 어우러져서 더욱 분위기 있는 장소가 돼요.",별표 5개,6달 전
soo B,"4월부터 10월까지 꽃축제, 공연, 마라톤대회, 불꽃축제 등 다양한 볼거리가 있는 곳입니다. 지하철 5호선 여의나루역에서 접근성이 좋고 편의점과 화장실도 잘 갖춰져 있습니다.",별표 5개,수정일: 4달 전
z_zino,이크루즈 배타고 40분 정도 한강 돌아보면 전혀 다른 뷰를 볼 수 있어요~!~ 날씨 맑을때 한번 배타보기 추천합니다~!!,별표 5개,2달 전
달빛조각사,🌸 벚꽃 맛집 🌸 화장실이 곳곳에 있었음 돗자리 들고 와서 피크닉 즐기거나 자전거 타고 돌아다니면서 경치 구경하는 것을 추천함 (돗자리 파는 곳이 많아서 경쟁이 치열해서 그런가 생각보다 비싸진 않았음) 한강라면 먹을 수 있는 곳임 (TV에서만 보던 곳이라 기대했는데 괜찮았음),별표 5개,4달 전
노성빈,"휴식과 여유로움을 느낄 수 있음 라면, 떡볶이, 타코야키, 회오리 감자, 에이드 등 대부분 5000원 (회오리 감자 5000원은 비싸지만 못 먹을 정도는 아닌 듯함) 대형 쓰레기통과 준수한 청결도의 화장실도 있어서 편하게 시간을 보낼 수 있음 화장실 준수한 청결도",별표 4개,2달 전
JOODY AHN,"오늘 서울의 기온은 영상 23도. 피크닉존에서 멀리 63빌딩이 보여요. 날이 좋다면 한번쯤은 방문하는걸 추천해요. 피크닉존이 넓어서 사람들이 많아도 공간이 넉넉해요. 반포한강공원에 비해 그늘이 많아서 텐트 없어도 충분히 시원하게 있을 수 있어요. 배드민턴, 자전거 타는 아이들도 있어요. 문제는 주차가 힘들어서 각오하고 와야해요.",별표 3개,수정일: 2달 전
